"","X","Fish","Tank","Trigger","Prev_tank","Condition","Status","Status_Long","Time_Day_2","Behaviors_Day_2","Behaviors_Per_Time","Change_Length","Change_Mass","Log_11KT","Log_E2","Average_Area_2.5x","Total_Slides_With_Gonad","Estimated_Volume_2.5x","Log10_Volume","Percent_Testicular","Testicular_Estimate","Log10_Testicular_Estimate","Percent_Ovarian","Ovarian_Estimate","Log10_Ovarian_Estimate","length_final_cm","mass_final","length_init_cm","mass_init_g","z_11kt","z_mass","z_time","z_behavior","z_percent_testicular","z_testis","z_volume","SexState","Phase"
"1",1,"A12D","A12","pairing","A11","Experiment","E","Expanded",274,68,0.248175182,112.7272727,147.1429,1.53932706,NA,162318.6136,87,14121719.39,7.149887577,0,0,0,0.444624821,6278866.95,6.79788128,6.2,5.15,5.5,3.5,-1.56370506372654,0.023901947075284,-0.516775564879126,-0.801268730015345,-1.01070736487726,-1.38468654860346,1.49896093068785,0.919598557741805,"LI"
"2",2,"A12S","A12","pairing","A23","Experiment","EP","Expanded Partner",557,546,0.980251346,102.0833333,98.13953,2.631423474,NA,45782.46667,61,2792730.467,6.446029023,0.37269314,1040831.487,6.017380422,0.579203155,1617558.298,6.208859942,4.9,2.11,4.8,2.15,0.402223218985773,-0.965536951428378,0.922314077047494,1.26137120507633,0.441772841509875,0.648105465049137,-0.722337263773523,-0.535863446766026,"LIP"
"3",3,"A22D","A22","pairing","B15","Experiment","D","Dominant",274,746,2.722627737,108.3333333,131.3889,3.124533568,NA,63569.20455,89,5657659.205,6.752636784,0.247576874,1400705.58,6.146346859,0.675497712,3821735.849,6.582260666,6.5,4.73,6,3.6,1.28989125621964,-0.112796848112722,-0.516775564879126,2.12440046662096,-0.0458371527660277,0.362066526054839,0.245282241660722,-0.414609345126582,"I"
"4",4,"A22S","A22","pairing","B12","Experiment","S","Subordinate",24,2,0.083333333,100,97.60956,2.078529315,NA,30791.76923,31,954544.8462,5.979796337,0.0594,56713.75025,4.753688366,0.881610062,841536.3406,5.925072875,5.2,2.45,5.2,2.51,-0.593064605963115,-0.854876021990468,-1.7880561672878,-1.08606838632507,-0.779210417390128,-0.39915200301731,-2.19371502529275,0.142380662847258,"IP"
"5",5,"A25D","A25","pairing","T18","Experiment","D","Dominant",571,543,0.950963222,110.1694915,148.8827,2.473194909,NA,69189.02778,74,5119988.056,6.709268948,0.203388771,1041348.079,6.01759592,0.6836543,3500301.848,6.544105497,6.5,5.33,5.9,3.58,0.117389382816356,0.0824871450130007,0.993505790782379,1.24842576615316,-0.218049458485677,0.240474618336375,0.108418243550533,-0.117560008165923,"I"
"6",6,"A25S","A25","pairing","C25","Experiment","S","Subordinate",162,0,0,102.0833333,93.18182,2.333185208,NA,37532.63158,40,1501305.263,6.176469007,0.127975843,192130.806,5.283597005,0.778046391,1168085.142,6.0674745,4.9,2.05,4.8,2.2,-0.13464791674939,-0.98506535074095,-1.08630927475821,-1.09469867894052,-0.511952869816776,-0.0206933984682197,-1.573038265327,-0.135670953353502,"IP"
"7",7,"B21F","B21",NA,NA,"Control","F","Female",449,120,0.267260579,NA,NA,1.66996737,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.9,10.61,NA,NA,-1.32853399549584,1.80098628451936,0.373120856806946,-0.576881122013741,-1.01070736487726,-1.38468654860346,NA,1.18294490573128,"F"
"8",8,"B21M","B21",NA,NA,"Control","M","Male",600,600,1,NA,NA,2.894460065,NA,105617.05,81,8554981.05,6.932219052,0.7093771,6068707.645,6.783096216,0.22743091,1945667.128,6.289068542,5,2.49,NA,NA,0.875726352048099,-0.84185708911542,1.14097434066179,1.49438910569338,1.75391609080081,1.33573771680379,0.812023620874929,-0.915661183335188,"M"
"9",9,"B23F","B23",NA,NA,"Control","F","Female",344,120,0.348837209,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.9,10.07,NA,NA,NA,1.62523069070621,-0.160816996204697,-0.576881122013741,-1.01070736487726,-1.38468654860346,NA,1.11500745969786,"F"
"10",10,"B23M","B23",NA,NA,"Control","M","Male",490,294,0.6,NA,NA,NA,NA,84679.2931,119,10076835.88,7.003324185,0.623477906,6282684.538,6.798145254,0.314964096,3173841.507,6.501585235,6.4,4.73,NA,NA,NA,-0.112796848112722,0.581610875601969,0.17395433553009,1.41914502678388,1.14749941135105,1.03642339928529,-0.666730038029206,"M"
