"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC129348986",-0.0282916068648939,0.814679160034595,0.00484945218353731,0.968966176051137,0.0331410590484312,0.794414120855731,NA,TRUE,"1","1","1"
"2","trip4",-0.126566480168432,0.412548969502216,0.0541385969795287,0.724770469903906,0.180705077147961,0.256790291959275,NA,TRUE,"1","1","1"
"3","chrna7a",-0.303308611751735,0.610131198529982,-1.22231122508873,0.131174828400408,-0.919002613336996,0.276474349050204,NA,TRUE,"1","1","1"
"4","cln6a",-0.549392676852261,0.0632725364206236,-0.239495323410732,0.421657343606116,0.309897353441528,0.308827571050317,NA,FALSE,"1","1","1"
"5","LOC118470268",-0.211546317791448,0.652939609799564,-0.522752382408705,0.30343460920218,-0.311206064617257,0.582733055369752,NA,FALSE,"1","1","1"
"6","calml4a",0.731683349857302,0.551655133283619,1.42742734955967,0.203935698083077,0.69574399970237,0.425618677579164,NA,TRUE,"1","1","1"
"7","LOC111568352",0.0301403054727116,0.925262128730128,-0.344077133183249,0.321531180470279,-0.374217438655961,0.311325637145537,NA,FALSE,"1","1","1"
"8","rxfp3.3a2",-0.232514868853267,0.590322627335156,-0.59816051399739,0.213361460552077,-0.365645645144123,0.468462848680864,NA,TRUE,"1","1","1"
"9","rps17",0.687557909518399,1,0.346833427342182,1,-0.340724482176218,1,"Model failed to converge with max|grad| = 0.011051",FALSE,"NA","NA","NA"
"10","LOC129347713",0.0409989837187561,0.976923516279293,1.14036384574513,0.325223631752599,1.09936486202638,0.342947138939645,NA,TRUE,"1","1","1"
"11","csnk1g1",0.352060176302798,0.0220730703324236,0.22298868374687,0.166880764363938,-0.129071492555928,0.399981841757737,NA,TRUE,"1","1","1"
"12","LOC111571203",0.0399063154883999,0.893192993988261,0.0226128418975987,0.94032585551299,-0.0172934735908012,0.954376945205429,NA,TRUE,"1","1","1"
"13","neo1a",-0.0819935562244231,0.491956787531332,0.00686151873295713,0.95570619564843,0.0888550749573803,0.482011453512767,NA,TRUE,"1","1","1"
"14","LOC129349243",1.12820487797442,0.169674051421261,0.448123277119928,0.625496083591848,-0.680081600854491,0.340829720614448,NA,TRUE,"1","1","1"
"15","LOC111567962",-0.0142523661086261,0.950774353319277,0.233396879514452,0.290719392108093,0.247649245623078,0.271365714225995,NA,FALSE,"1","1","1"
"16","LOC129347359",30.6552819871563,0.999993106131867,30.6631986099415,0.999993104351549,0.0079166227851543,0.995543939869327,NA,TRUE,"1","1","1"
"17","bbs4",0.0526644645016897,0.77633954847336,0.187245076972933,0.314110789861298,0.134580612471244,0.468025847547915,NA,TRUE,"1","1","1"
"18","scamp2l",-0.237662342253274,0.503571513980149,-0.40625903239909,0.252483892958202,-0.168596690145816,0.654703142277742,NA,FALSE,"1","1","1"
"19","LOC129347348",-0.643014295522028,0.367537660940266,-0.347891891844331,0.594597489798395,0.295122403677697,0.701779337345418,NA,TRUE,"1","1","1"
"20","myo9aa",0.0534423655168585,0.842892034178688,0.0203812371182415,0.941980199852041,-0.0330611283986171,0.905276690636228,NA,FALSE,"1","1","1"
"21","senp8",-0.560919094489206,0.321592537166741,-0.0698484393087983,0.88816109043195,0.491070655180407,0.396767730322188,NA,TRUE,"1","1","1"
"22","LOC111580711",-0.139499948709905,0.587801500336755,-0.355347337844348,0.190661909588822,-0.215847389134443,0.443984547561399,NA,TRUE,"1","1","1"
"23","anp32a",-0.372256945780689,0.268279603393219,-0.596076206781603,0.0970189638456011,-0.223819261000913,0.563541326307583,NA,TRUE,"1","1","1"
"24","coro2ba",-0.107403587026167,0.460002214502161,-0.0721622827872071,0.626975381817949,0.0352413042389596,0.817432836795666,NA,TRUE,"1","1","1"
"25","itga11a",-0.7714830288198,0.130092772246533,-0.643324710694231,0.191506608599208,0.128158318125569,0.819583151902237,NA,FALSE,"1","1","1"
"26","LOC111564424",0.732068665223716,0.400586660048281,0.734416498100454,0.399496981297158,0.00234783287673832,0.997376769165616,NA,TRUE,"1","1","1"
"27","LOC129349160",-0.656297769353028,0.593146905574228,-0.654129346993842,0.594544103955203,0.00216842235918596,0.998779800789988,NA,TRUE,"1","1","1"
"28","LOC111564416",0.0149601859554577,0.976507259689142,0.036554885539905,0.942781628296586,0.0215946995844474,0.966192772005192,NA,TRUE,"1","1","1"
"29","cpeb1b",-0.0193464258251322,0.946739225695484,-0.3394877716163,0.281581167810314,-0.320141345791168,0.313917092689272,NA,TRUE,"1","1","1"
"30","LOC111564421",-0.669504129795232,0.279361154970175,-0.94999638287714,0.164810804573771,-0.280492253081909,0.715661526642607,NA,TRUE,"1","1","1"
"31","LOC111564418",-0.164785589533682,0.681937688013913,0.409551519991978,0.253336510615879,0.57433710952566,0.132762970408176,NA,FALSE,"1","1","1"
"32","LOC111564417",1.18891011744853,0.0925698308323791,0.302572517554591,0.682995601894913,-0.886337599893938,0.177828076349438,NA,FALSE,"1","1","1"
"33","LOC111564410",-0.118169746657755,0.643759606950077,-0.150763792504663,0.562611252847277,-0.032594045846908,0.903391598536065,NA,TRUE,"1","1","1"
"34","crybgx",133.963475097893,0.999970978782979,102.605426667923,0.999985628042839,-31.3580484299698,0.999994242242199,NA,TRUE,"1","1","1"
"35","cars1",0.434968506451821,0.0495929384146937,0.515015626442351,0.0195945039783918,0.0800471199905292,0.692820918091179,NA,TRUE,"1","1","1"
"36","pex16",-0.280214746934045,0.366208240722426,-0.604359591483568,0.07980533528545,-0.324144844549523,0.372966809960662,NA,TRUE,"1","1","1"
"37","arfgap2",-0.185913307548033,0.3558396763429,-0.288146796474435,0.16592231999534,-0.102233488926402,0.638911939382803,NA,TRUE,"1","1","1"
"38","LOC118469870",-0.238275913433974,0.756842477549552,-19.4682247644824,0.953271791707926,-19.2299488510484,0.953843012672029,NA,TRUE,"1","1","1"
"39","glceb",-0.242912200863389,0.204336569546567,-0.414900128644656,0.040269117232146,-0.171987927781268,0.415074695680248,NA,TRUE,"1","1","1"
"40","paqr5b",-0.658078578364688,0.592610155262326,-0.65334989048032,0.595520905142177,0.00472868788436797,0.997342088485443,NA,TRUE,"1","1","1"
