"","cluster","gene","behavior_p.value","behavior_estimate","behavior_p.value.1","behavior_q.value"
"1",4,"LOC129348986",0.51027002620393,-9.37489056101063e-05,0.51027002620393,0.996892528797092
"2",4,"trip4",0.0644917247290822,0.0001799205573411,0.0644917247290822,0.996892528797092
"3",4,"cln6a",0.904758737340089,6.14157429766478e-06,0.904758737340089,0.997382279771841
"4",4,"LOC118470268",0.0582869231471357,-2.10958055025328e-05,0.0582869231471357,0.996892528797092
"5",4,"calml4a",0.37394512503786,1.22485239031929e-05,0.37394512503786,0.996892528797092
"6",4,"LOC111568352",0.124343458686479,-2.1060540370575e-05,0.124343458686479,0.996892528797092
"7",4,"rps17",0.473786406336155,-2.92600646822082e-05,0.473786406336155,0.996892528797092
"8",4,"csnk1g1",0.441586330983842,-8.19631665588672e-05,0.441586330983842,0.996892528797092
"9",4,"LOC111571203",0.129791001873774,7.8750859531877e-05,0.129791001873774,0.996892528797092
"10",4,"neo1a",0.942620148978303,5.90824502170837e-06,0.942620148978303,0.997382279771841
"11",4,"LOC129349243",0.482054027323831,-1.0352976430052e-05,0.482054027323831,0.996892528797092
"12",4,"LOC111567962",0.35076831308634,-9.33701401798946e-05,0.35076831308634,0.996892528797092
"13",4,"bbs4",0.967728503813723,-2.3471254740973e-06,0.967728503813723,0.999135840531757
"14",4,"scamp2l",0.637171930931238,-5.07484858207557e-06,0.637171930931238,0.996892528797092
"15",4,"LOC129347348",0.31398269132429,1.55235141354143e-05,0.31398269132429,0.996892528797092
"16",4,"myo9aa",0.254982232803601,9.002336930813e-05,0.254982232803601,0.996892528797092
"17",4,"senp8",0.820002308021673,3.73728638081209e-06,0.820002308021673,0.996892528797092
"18",4,"LOC111580711",0.225179486920702,-1.07597992004805e-05,0.225179486920702,0.996892528797092
"19",4,"anp32a",0.956424949269024,1.6915205610593e-06,0.956424949269024,0.998089153254606
"20",4,"coro2ba",0.0953268987225435,0.00012494174834977,0.0953268987225435,0.996892528797092
"21",4,"itga11a",0.107699862338718,-7.69154271592208e-05,0.107699862338718,0.996892528797092
"22",4,"LOC111564424",0.0755362506003609,2.11670289574344e-05,0.0755362506003609,0.996892528797092
"23",4,"LOC111564416",0.46542179823804,-1.29342697765184e-05,0.46542179823804,0.996892528797092
"24",4,"cpeb1b",0.600375355179763,-1.75362701417796e-05,0.600375355179763,0.996892528797092
"25",4,"LOC111564418",0.335152236698724,-2.43726034099459e-05,0.335152236698724,0.996892528797092
"26",4,"LOC111564417",0.27524730645502,1.45763193630703e-05,0.27524730645502,0.996892528797092
"27",4,"LOC111564410",0.346946136149205,4.23600322848918e-05,0.346946136149205,0.996892528797092
"28",4,"cars1",0.300962452246096,5.59430196751085e-05,0.300962452246096,0.996892528797092
"29",4,"pex16",0.699659690216174,1.38929455243383e-05,0.699659690216174,0.996892528797092
"30",4,"arfgap2",0.475907721996972,3.12694806035105e-05,0.475907721996972,0.996892528797092
"31",4,"glceb",0.566595374581185,4.55995232868175e-05,0.566595374581185,0.996892528797092
