"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",430,492,103,695,850,194,0.618705035971223,0.578823529411765,0.530927835051546,0.373344182473956,0.396538420449851,0.171660703359374,0.525874837719992,FALSE,NA,"LOC129348986",6,0.827800828195582,0.74580513219234,0.996769558529849,0.891427184346038
"2",195,198,52,695,850,194,0.280575539568345,0.232941176470588,0.268041237113402,0.68492143223167,0.388691889108133,0.816304641961823,0.626069890754013,FALSE,NA,"trip4",6,0.910058619380968,0.741630385337684,0.996769558529849,0.928861255692486
"3",71,73,25,695,850,194,0.102158273381295,0.0858823529411765,0.128865979381443,0.212178988908288,0.324920679192791,0.321191008910414,0.0843796611529223,FALSE,NA,"cln6a",6,0.748335011735203,0.713847305178117,0.996769558529849,0.613716995870297
"4",18,10,2,695,850,194,0.0258992805755396,0.0117647058823529,0.0103092783505155,0.0882858049988919,0.0433791062667752,0.211414263507103,0.863849226744782,TRUE,NA,"LOC118470268",6,0.625964727219155,0.43076373367013,0.996769558529849,0.983271888792341
"5",9,6,4,695,850,194,0.0129496402877698,0.00705882352941176,0.0206185567010309,0.229847095527269,0.247230870635831,0.435526819673816,0.0951099187091536,TRUE,NA,"calml4a",6,0.761181183915805,0.673692827439964,0.996769558529849,0.641654037706449
"6",12,11,4,695,850,194,0.0172661870503597,0.0129411764705882,0.0206185567010309,0.660694845873698,0.486437002774259,0.756452884402949,0.421664176733549,TRUE,NA,"LOC111568352",6,0.903196959498761,0.793900209364581,0.996769558529849,0.865796725628167
"7",2,6,1,695,850,194,0.00287769784172662,0.00705882352941176,0.00515463917525773,0.542961098916504,0.27049423572612,0.633535819123132,0.770257158748718,TRUE,NA,"rxfp3.3a2",6,0.877582577424522,0.674110022103833,0.996769558529849,0.958733368208277
"8",38,30,7,695,850,194,0.0546762589928058,0.0352941176470588,0.0360824742268041,0.245749459532173,0.110396687828427,0.327824157277749,0.881478472550686,FALSE,NA,"rps17",6,0.773969562204776,0.551049300450813,0.996769558529849,0.983271888792341
"9",219,204,57,695,850,194,0.315107913669065,0.24,0.293814432989691,0.359658333063149,0.156077914948699,0.481983791892114,0.636230688434666,FALSE,NA,"csnk1g1",6,0.820843239779829,0.595546253462803,0.996769558529849,0.931235739695218
"10",59,49,16,695,850,194,0.0848920863309353,0.0576470588235294,0.0824742268041237,0.271702428209432,0.117635268077229,0.901038238389816,0.308244785664699,FALSE,NA,"LOC111571203",6,0.784124062604875,0.557202428362012,0.996769558529849,0.810573213908085
"11",309,361,75,695,850,194,0.444604316546763,0.424705882352941,0.38659793814433,0.765659801549114,0.695998177458601,0.468892252105609,0.718768611616265,FALSE,NA,"neo1a",6,0.938721686139279,0.895988548079516,0.996769558529849,0.9585782909408
"12",3,16,2,695,850,194,0.00431654676258993,0.0188235294117647,0.0103092783505155,0.0677337508008956,0.0221193116323004,0.338607514526826,0.446070062456807,FALSE,NA,"LOC129349243",6,0.576675819130686,0.348474859858223,0.996769558529849,0.881799529734249
"13",179,175,37,695,850,194,0.257553956834532,0.205882352941176,0.190721649484536,0.0841738667338422,0.0503467402281335,0.0971077137722925,0.7089212567809,FALSE,NA,"LOC111567962",6,0.618178527551364,0.444918232049221,0.996769558529849,0.954936003148446
"14",123,86,35,695,850,194,0.176978417266187,0.101176470588235,0.180412371134021,0.0389964817220036,0.0170432920300336,0.94385212314533,0.0584614955461733,FALSE,NA,"bbs4",6,0.490882308278819,0.31400509292337,0.998046553591426,0.559033407794604
"15",61,51,23,695,850,194,0.0877697841726619,0.06,0.118556701030928,0.0892563859665156,0.163747103422414,0.297749387352285,0.032142050940693,FALSE,NA,"scamp2l",6,0.629065611155695,0.607518110233569,0.996769558529849,0.448623114381789
"16",7,5,4,695,850,194,0.0100719424460432,0.00588235294117647,0.0206185567010309,0.171173612872587,0.35645757717351,0.250005321857615,0.0603049531848238,TRUE,NA,"LOC129347348",6,0.724513869302525,0.727485772064728,0.996769558529849,0.559033407794604
"17",56,53,8,695,850,194,0.0805755395683453,0.0623529411764706,0.0412371134020619,0.424944458107582,0.915672683394667,0.201159188042981,0.265166245757032,FALSE,NA,"myo9aa",6,0.849112265465632,0.971200746968321,0.996769558529849,0.800946193284601
"18",12,15,3,695,850,194,0.0172661870503597,0.0176470588235294,0.0154639175257732,0.978062039347336,0.954676340469805,0.86324620410637,0.833177799431033,TRUE,NA,"senp8",6,0.995783440095741,0.986733240953907,0.996769558529849,0.977291110459642
"19",13,9,1,695,850,194,0.018705035971223,0.0105882352941176,0.00515463917525773,0.243279208117626,0.186171454216797,0.210799389277935,0.492626124066074,TRUE,NA,"LOC111580711",6,0.772962156794933,0.625757416050284,0.996769558529849,0.888910352397437
