,d_m,d_f,f_m,Label
1,<,<,<,"Transiently downregulated, reduced rebound"
2,<,<,>,"Transiently downregulated, high rebound"
3,<,<,NS,"Transiently downregulated, full rebound"
4,<,>,<,Progressively downregulated
5,<,>,>,Impossible_1
6,<,>,NS,Impossible_2
7,<,NS,<,"Early downregulated, no rebound"
8,<,NS,>,Impossible_3
9,<,NS,NS,"Early downregulated, reduced rebound"
10,>,<,<,Impossible_4
11,>,<,>,Progressively upregulated
12,>,<,NS,Impossible_5
13,>,>,<,"Transiently upregulated, high rebound"
14,>,>,>,"Transiently upregulated, reduced rebound"
15,>,>,NS,"Transiently upregulated, full rebound"
16,>,NS,<,Impossible_6
17,>,NS,>,"Early upregulated, no rebound"
18,>,NS,NS,"Early upregulated, reduced rebound"
19,NS,<,<,Impossible_7
20,NS,<,>,Late upregulated_1
21,NS,<,NS,Late upregulated_2
22,NS,>,<,Late_downregulated_1
23,NS,>,>,Impossible_8
24,NS,>,NS,Transiently weakly upregulated
25,NS,NS,<,Terminally downregulated
26,NS,NS,>,Terminally upregulated
27,NS,NS,NS,No Pairs
