"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value"
"1","LOC129348986",-0.103292753005116,0.660776236328562,-0.15624092167254,0.496199770171913,-0.0529481686674245,0.825099344534121,NA,FALSE,"1","1","1"
"2","trip4",-0.149340595833573,0.668968215593634,0.00208296824123409,0.994807581678709,0.151423564074807,0.673193171434264,NA,TRUE,"1","1","1"
"3","chrna7a",-31.5185534828542,0.999996839267757,0.0753888236969622,0.958037451698002,31.5939423065511,0.999996831707642,NA,TRUE,"1","1","1"
"4","cln6a",-0.146674520734564,0.80342165386602,-0.733466187973607,0.245471778271126,-0.586791667239044,0.401754756376248,NA,TRUE,"1","1","1"
"5","calml4a",-1.02559629707032,0.999999932492078,33.4811233394252,0.999996790651544,34.5067196364955,0.999996875519301,NA,TRUE,"1","1","1"
"6","LOC111568352",-32.1717386671817,0.999997067280112,0.802225074923238,0.517263173801574,32.9739637421049,0.999996994150665,NA,TRUE,"1","1","1"
"7","rps17",0.135011791768736,0.850989056609003,-0.657208881639687,0.415153312749968,-0.792220673408423,0.343295961496507,NA,FALSE,"1","1","1"
"8","LOC129347713",-9.68832209413392,0.999999362284662,33.9819617228322,0.999996742643451,43.6702838169661,0.999996045785854,NA,TRUE,"1","1","1"
"9","csnk1g1",0.525496345806062,0.166105009469326,0.665072931551903,0.0583172689624984,0.139576585745841,0.685319366234724,NA,TRUE,"1","1","1"
"10","LOC111571203",-0.328879909464705,0.642254292224205,-0.123946680542455,0.83925067284496,0.20493322892225,0.776151000394818,NA,FALSE,"1","1","1"
"11","neo1a",0.315602668417368,0.38498827678615,0.330923561727015,0.362569084138233,0.0153208933096467,0.967439963945793,NA,TRUE,"1","1","1"
"12","LOC129349243",-31.2721067918084,0.999996618892241,0.120113677928852,0.93303098643124,31.3922204697373,0.999996605905675,NA,TRUE,"1","1","1"
"13","LOC111567962",-0.97269716656177,0.177739781302257,-0.131370525068209,0.80957177368059,0.841326641493561,0.269650531994772,NA,FALSE,"1","1","1"
"14","LOC129347359",-1.03604157396851,0.999999931804538,33.6560317672795,0.999996773885616,34.692073341248,0.999996858736075,NA,TRUE,"1","1","1"
"15","bbs4",0.00460223701831788,0.991993531603832,0.00748559102962361,0.986017621929889,0.00288335401130574,0.995076920278027,NA,TRUE,"1","1","1"
"16","scamp2l",-26.2612548390449,0.999936690999539,-1.36243422202155,0.281549590348339,24.8988206170234,0.99993997547125,"unable to evaluate scaled gradient",FALSE,"NA","NA","NA"
"17","LOC129347348",-31.8805275157062,0.999997025856471,0.0916279160227309,0.948893623167762,31.9721554317289,0.999997017308476,NA,TRUE,"1","1","1"
"18","myo9aa",0.359715096531762,0.670860499362604,-22.0445944898143,0.94307946200735,-22.4043095863461,0.942152237838058,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA","NA","NA"
"19","senp8",27.1782818525281,0.999965729952848,6.17057414496436,0.999992228293012,-21.0077077075637,0.999449311643063,NA,TRUE,"1","1","1"
"20","LOC111580711",-0.76514803154996,0.429981208722037,0.216311626221617,0.76840427847407,0.981459657771577,0.293918972193162,NA,FALSE,"1","1","1"
"21","anp32a",-0.941542545921314,0.409891484731845,-0.175514844356835,0.826388363128797,0.766027701564479,0.516371254073557,NA,TRUE,"1","1","1"
"22","coro2ba",-0.0498442909026641,0.925533541908165,0.258959285125902,0.580674601943097,0.308803576028567,0.559444908286008,NA,TRUE,"1","1","1"
"23","itga11a",0.807917115895367,0.137507479580182,-0.272559938531135,0.666047731324149,-1.0804770544265,0.0709206248787798,NA,TRUE,"1","1","1"
"24","LOC111588606",-130.978639737787,0.999988140274237,-35.8572284200086,0.999996911009706,95.1214113177782,0.999994063219816,NA,TRUE,"1","1","1"
"25","LOC111564416",0.720594124404321,0.361117803501777,-1.01125775538628,0.388419266332514,-1.7318518797906,0.127686746827458,NA,TRUE,"1","1","1"
"26","cpeb1b",-0.219265945821683,0.804955205601193,0.323708797882528,0.643807065848546,0.542974743704211,0.528255326447962,NA,TRUE,"1","1","1"
"27","LOC111564421",-34.9577997265512,0.999996834675342,-32.7430476864234,0.999997060884165,2.21475204012773,0.99999985881525,NA,TRUE,"1","1","1"
"28","LOC111564418",-0.907465935563243,0.485534113113988,-0.507363930774493,0.636794380413408,0.40010200478875,0.772522340262892,NA,FALSE,"1","1","1"
"29","LOC111564417",33.3047111885244,0.999996798760376,32.9538597533411,0.999996832484119,-0.350851435183293,0.806370377293903,NA,TRUE,"1","1","1"
"30","LOC111564410",0.194598540477581,0.705130395917319,-0.4312352466252,0.436724449059472,-0.625833787102781,0.279000662505028,NA,TRUE,"1","1","1"
"31","crybgx",-1.14454139702124,0.999999924662744,33.5497236873433,0.999996784075826,34.6942650843645,0.999996858537619,NA,TRUE,"1","1","1"
"32","ccnb2",-2703.17844021037,0.999755235246355,-41.4953563121298,0.999996442365368,2661.68308389824,0.9998342949128,NA,TRUE,"1","1","1"
"33","cars1",0.190977516834425,0.695377273189745,0.0203080102871668,0.965534679318286,-0.170669506547258,0.735483886243527,NA,TRUE,"1","1","1"
"34","pex16",-32.671280937478,0.999996216848728,0.348231564088656,0.587561600664348,33.0195125015666,0.999996176525464,NA,TRUE,"1","1","1"
"35","arfgap2",0.816021075190216,0.0843562923768827,0.846568552349505,0.0586432593578829,0.0305474771592887,0.940322375387441,NA,TRUE,"1","1","1"
"36","LOC118469870",-32.2024332865324,0.999997069412578,-36.454187689015,0.999996844664568,-4.25175440248263,0.999999733337116,NA,TRUE,"1","1","1"
"37","glceb",-0.342569051536969,0.284366661248112,0.0417544526812176,0.889997256581029,0.384323504218186,0.242815445713855,NA,TRUE,"1","1","1"
"38","paqr5b",-0.624915436835402,0.622092768656644,-1.02113316424171,0.416580122551561,-0.396217727406311,0.793258014754472,NA,FALSE,"1","1","1"
"39","tle3b",1.28077352665445,0.14161285042468,0.80720165145748,0.369532224197541,-0.473571875196965,0.508496717335866,NA,TRUE,"1","1","1"
"40","LOC129348677",0.44468770980624,0.755677322172364,0.0926947974005919,0.948308099081042,-0.351992912405649,0.805600990317183,NA,TRUE,"1","1","1"
"41","uacab",0.150781570973064,0.945640278054116,-0.343973777476055,0.874117634846618,-0.494755348449119,0.824714435817466,NA,FALSE,"1","1","1"
"42","LOC111564639",0.0109239915064475,0.976863669335731,-0.341347777260899,0.367105497449877,-0.352271768767346,0.392508466504495,NA,TRUE,"1","1","1"
"43","pias1a",0.459554008601094,0.252521904134827,0.381345472915873,0.3283111425654,-0.0782085356852213,0.843312721882741,NA,TRUE,"1","1","1"
