"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",128,143,103,258,299,217,0.496124031007752,0.478260869565217,0.474654377880184,0.936453183893087,0.774109985983355,0.739210369631432,0.948810121839732,FALSE,NA,"LOC129348986",19,0.99114248689094,0.978760539159902,0.972642038101931,0.992417413047843
"2",74,77,43,258,299,217,0.286821705426357,0.25752508361204,0.19815668202765,0.0992543637374304,0.463070421380335,0.0328784801385909,0.1330755955123,FALSE,NA,"trip4",19,0.913702413072926,0.952676381853831,0.794572708477116,0.982063877874391
"3",9,2,5,258,299,217,0.0348837209302326,0.00668896321070234,0.0230414746543779,0.0998118545750784,0.0326263048405936,0.450321538310046,0.136338110688669,TRUE,NA,"chrna7a",19,0.913702413072926,0.731703223984149,0.944879504786525,0.982063877874391
"4",37,24,23,258,299,217,0.143410852713178,0.0802675585284281,0.105990783410138,0.0604456612817228,0.0187755116665136,0.222930174633036,0.317525869941888,TRUE,NA,"cln6a",19,0.85002748945572,0.616780064206892,0.921795273636239,0.982063877874391
"5",21,13,7,258,299,217,0.0813953488372093,0.0434782608695652,0.032258064516129,0.0443582854438108,0.0664385536838502,0.028590708263247,0.516019767911992,TRUE,NA,"LOC118470268",19,0.806457618115097,0.846720770620957,0.794572708477116,0.982063877874391
"6",3,3,5,258,299,217,0.0116279069767442,0.0100334448160535,0.0230414746543779,0.444391871290327,0.855886530641484,0.344793513468756,0.251036257876344,TRUE,NA,"calml4a",19,0.986996293173819,0.978760539159902,0.944879504786525,0.982063877874391
"7",17,21,10,258,299,217,0.0658914728682171,0.0702341137123746,0.0460829493087558,0.510814553424118,0.839395481266831,0.355430459174864,0.257779893249791,TRUE,NA,"LOC111568352",19,0.988519476902326,0.978760539159902,0.944879504786525,0.982063877874391
"8",24,26,16,258,299,217,0.0930232558139535,0.0869565217391304,0.0737327188940092,0.7512577926385,0.808721203554891,0.454489686044213,0.589943588952512,FALSE,NA,"rxfp3.3a2",19,0.99114248689094,0.978760539159902,0.944879504786525,0.982063877874391
"9",21,16,16,258,299,217,0.0813953488372093,0.0535117056856187,0.0737327188940092,0.407077905289075,0.190625037165283,0.756343206649263,0.349078148604104,TRUE,NA,"rps17",19,0.986996293173819,0.905984361942169,0.972642038101931,0.982063877874391
"10",2,1,3,258,299,217,0.00775193798449612,0.00334448160535117,0.0138248847926267,0.451478083357933,0.491247058094331,0.523995669517439,0.217027465296763,TRUE,NA,"LOC129347713",19,0.986996293173819,0.952676381853831,0.944879504786525,0.982063877874391
"11",56,71,50,258,299,217,0.217054263565891,0.237458193979933,0.230414746543779,0.846541465515022,0.56698327024799,0.727082990690409,0.847551453455524,FALSE,NA,"csnk1g1",19,0.99114248689094,0.952676381853831,0.972642038101931,0.98640854910891
"12",23,23,14,258,299,217,0.0891472868217054,0.0769230769230769,0.0645161290322581,0.61004323995516,0.604089741207633,0.322304344533386,0.591541797733955,FALSE,NA,"LOC111571203",19,0.988519476902326,0.962067537308735,0.942015624801552,0.982063877874391
"13",134,148,101,258,299,217,0.51937984496124,0.494983277591973,0.465437788018433,0.671873556678339,0.778510499724688,0.379880205010865,0.543780407040622,FALSE,NA,"neo1a",19,0.988837339895651,0.978760539159902,0.944879504786525,0.982063877874391
"14",2,1,2,258,299,217,0.00775193798449612,0.00334448160535117,0.00921658986175115,0.696818094156579,0.491247001948482,0.862024765493248,0.406375469153871,TRUE,NA,"LOC129349243",19,0.988837339895651,0.952676381853831,0.972642038101931,0.982063877874391
"15",76,86,53,258,299,217,0.294573643410853,0.287625418060201,0.244239631336406,0.648377342892573,0.961927697758056,0.398741658253732,0.425842294146699,FALSE,NA,"LOC111567962",19,0.988837339895651,0.987814363133936,0.944879504786525,0.982063877874391
"16",68,51,39,258,299,217,0.263565891472868,0.17056856187291,0.179723502304147,0.0195614541908487,0.0101872758789847,0.0348725171860376,0.792876294804097,FALSE,NA,"bbs4",19,0.658986937548976,0.508856109635524,0.794572708477116,0.982063877874391
"17",27,25,16,258,299,217,0.104651162790698,0.0836120401337793,0.0737327188940092,0.663534776588376,0.652216042601556,0.366312906691247,0.635542710349914,FALSE,NA,"scamp2l",19,0.988837339895651,0.969716390999795,0.944879504786525,0.982063877874391
"18",6,1,2,258,299,217,0.0232558139534884,0.00334448160535117,0.00921658986175115,0.140160344897525,0.0705431728067369,0.252759783770337,0.406375319310377,TRUE,NA,"LOC129347348",19,0.956381664917797,0.848477293159609,0.929643881147983,0.982063877874391
"19",24,29,7,258,299,217,0.0930232558139535,0.096989966555184,0.032258064516129,0.0196106805852186,0.873604067960843,0.0106292815604962,0.00663844249946144,TRUE,NA,"myo9aa",19,0.659236652679225,0.978760539159902,0.590074834798534,0.565738834845995
"20",5,10,6,258,299,217,0.0193798449612403,0.0334448160535117,0.0276497695852535,0.600262339482287,0.312394113914155,0.552588886409166,0.708152428645786,TRUE,NA,"senp8",19,0.988519476902326,0.92007629510341,0.944879504786525,0.982063877874391
"21",10,23,9,258,299,217,0.0387596899224806,0.0769230769230769,0.0414746543778802,0.0940199764377046,0.061857243158887,0.880458909036572,0.104532161415369,TRUE,NA,"LOC111580711",19,0.910217847696262,0.830699570394389,0.972642038101931,0.982063877874391
"22",6,15,5,258,299,217,0.0232558139534884,0.0501672240802676,0.0230414746543779,0.140092830465721,0.104467621240048,0.987656047149394,0.124127914865264,TRUE,NA,"anp32a",19,0.956381664917797,0.882694543647935,0.994044389356817,0.982063877874391
"23",37,38,26,258,299,217,0.143410852713178,0.127090301003344,0.119815668202765,0.730942439727667,0.573862180865125,0.450634438687479,0.804560559682046,TRUE,NA,"coro2ba",19,0.99114248689094,0.952676381853831,0.944879504786525,0.982063877874391
"24",9,6,5,258,299,217,0.0348837209302326,0.020066889632107,0.0230414746543779,0.528689060429552,0.287364162075566,0.450321645087342,0.817511368200565,TRUE,NA,"itga11a",19,0.988519476902326,0.92007629510341,0.944879504786525,0.982063877874391
"25",3,3,1,258,299,217,0.0116279069767442,0.0100334448160535,0.00460829493087558,0.718730398924535,0.855886533111316,0.420760990728066,0.498704450527138,TRUE,NA,"LOC111564424",19,0.989243604260992,0.978760539159902,0.944879504786525,0.982063877874391
"26",7,3,1,258,299,217,0.0271317829457364,0.0100334448160535,0.00460829493087558,0.154330704911606,0.173954657727526,0.10214303666998,0.502208435876582,FALSE,NA,"LOC111564416",19,0.956381664917797,0.905984361942169,0.867436523219313,0.982063877874391
"27",21,11,14,258,299,217,0.0813953488372093,0.0367892976588629,0.0645161290322581,0.0878642027724178,0.027755676066788,0.483957866611018,0.152690948979417,TRUE,NA,"cpeb1b",19,0.897096708652184,0.700580253352027,0.944879504786525,0.982063877874391
"28",4,6,1,258,299,217,0.0155038759689922,0.020066889632107,0.00460829493087558,0.389148909659367,0.686714300897857,0.275158505307945,0.170110128679823,TRUE,NA,"LOC111564421",19,0.986996293173819,0.978760539159902,0.929643881147983,0.982063877874391
"29",7,17,6,258,299,217,0.0271317829457364,0.0568561872909699,0.0276497695852535,0.128439543729097,0.0919307002478135,0.972504591506566,0.12016444179747,TRUE,NA,"LOC111564418",19,0.947579712883924,0.868178840780546,0.991881715328365,0.982063877874391
"30",6,6,3,258,299,217,0.0232558139534884,0.020066889632107,0.0138248847926267,0.78066986312218,0.836182966557893,0.485425018420057,0.601515689767047,FALSE,NA,"LOC111564417",19,0.99114248689094,0.978760539159902,0.944879504786525,0.982063877874391
"31",20,13,20,258,299,217,0.0775193798449612,0.0434782608695652,0.0921658986175115,0.0896982677018581,0.100373327410704,0.571850608194612,0.031780694721378,FALSE,NA,"LOC111564410",19,0.902438588800262,0.882694543647935,0.952494995759152,0.982063877874391
"32",27,38,27,258,299,217,0.104651162790698,0.127090301003344,0.124423963133641,0.686324825767493,0.411443728750494,0.499348318498789,0.928203045773254,TRUE,NA,"cars1",19,0.988837339895651,0.940840942425829,0.944879504786525,0.991645029837461
"33",12,12,8,258,299,217,0.0465116279069767,0.040133779264214,0.0368663594470046,0.863415934890601,0.711890107726562,0.602865070460952,0.84949419787493,TRUE,NA,"pex16",19,0.99114248689094,0.978760539159902,0.963093708151818,0.98640854910891
"34",27,37,32,258,299,217,0.104651162790698,0.123745819397993,0.147465437788018,0.372312907729916,0.481488134796912,0.160541643334304,0.435033265054214,TRUE,NA,"arfgap2",19,0.986996293173819,0.952676381853831,0.904704804611097,0.982063877874391
"35",52,57,48,258,299,217,0.201550387596899,0.190635451505017,0.221198156682028,0.850668749958135,0.879163792528806,0.684426616398015,0.579917264162429,FALSE,NA,"glceb",19,0.99114248689094,0.978760539159902,0.972642038101931,0.982063877874391
"36",2,4,2,258,299,217,0.00775193798449612,0.0133779264214047,0.00921658986175115,0.795983918362666,0.526362017714078,0.86202466083744,0.665168262398831,TRUE,NA,"LOC111564414",19,0.99114248689094,0.952676381853831,0.972642038101931,0.982063877874391
