"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value","av_q.value","cluster"
"1","LOC129348986",-0.0602448495155637,0.480797421235276,-0.0676202354787015,0.4657816432735,-0.00737538596313775,0.936160668125634,0.704254990710298,NA,FALSE,"1","1","1","0.999999999899967",4
"2","trip4",0.00580910472715455,0.962886041811347,0.102424410070957,0.431925547676796,0.0966153053438026,0.439422600871993,0.670828356144763,NA,TRUE,"1","1","1","0.999999999899967",4
"3","chrna7a",-1.53445814563172,0.170676649076727,-1.36658084398287,0.222619182302089,0.167877301648842,0.905627815858309,0.245890320522416,NA,TRUE,"1","1","1","0.999999999899967",4
"4","cln6a",-0.0477638895662683,0.820000625691484,-0.07859619716481,0.719740096617718,-0.0308323075985417,0.885709993632624,0.936220251772063,NA,FALSE,"1","1","1","0.999999999899967",4
"5","LOC118470268",-0.374778236678486,0.434986866862285,-2.28638095640805,0.0297706302093177,-1.91160271972957,0.0723081055671978,0.0888618923008886,NA,TRUE,"1","1","1","0.999999999899967",4
"6","calml4a",-0.150880381513727,0.853845884426339,1.00417963817121,0.140254999113522,1.15506001968494,0.089662773173181,0.136943953768612,NA,TRUE,"1","1","1","0.999999999899967",4
"7","LOC111568352",-1.09811580918511,0.252757692554052,0.41380281170913,0.580867607668509,1.51191862089424,0.104130372683205,0.266778619309691,NA,FALSE,"1","1","1","0.999999999899967",4
"8","rxfp3.3a2",-0.150547815438054,0.915316589214954,0.019113506416088,0.989231812694397,0.169661321854142,0.904631223309355,0.991421265061595,NA,TRUE,"1","1","1","0.999999999899967",4
"9","rps17",0.151457777286971,0.519748769733324,0.165517703848517,0.50249487488033,0.0140599265615458,0.951237994949296,0.755992787264827,NA,TRUE,"1","1","1","0.999999999899967",4
"10","LOC129347713",29.9210024208017,0.999991548530918,30.7807777450435,0.999991305679276,0.85977532424182,0.483730317714262,0.782531678876941,NA,TRUE,"1","1","1","0.999999999899967",4
"11","csnk1g1",0.0480353947408067,0.691491021403463,-0.149952974992878,0.258289914008233,-0.197988369733685,0.120614932873884,0.286373290243233,NA,TRUE,"1","1","1","0.999999999899967",4
"12","LOC111571203",0.11271100572587,0.633660919491892,0.0325831875431564,0.894920395686155,-0.0801278181827136,0.733951193110797,0.884126932501882,NA,FALSE,"1","1","1","0.999999999899967",4
"13","neo1a",-0.0443002645709883,0.554467686500607,-0.0953110575124177,0.242463799448965,-0.0510107929414294,0.516493905619664,0.505017010341782,NA,TRUE,"1","1","1","0.999999999899967",4
"14","LOC129349243",-0.250755585226552,0.577772843940507,-0.668885807008325,0.195753753896575,-0.418130221781773,0.434477707297614,0.432524154753633,NA,FALSE,"1","1","1","0.999999999899967",4
"15","LOC111567962",-0.410937391861559,0.00217217943042059,-0.0576695853722751,0.669697961797387,0.353267806489284,0.0107938952147927,0.00469920936518561,NA,TRUE,"0.409610978307883","1","1","0.344498886118709",4
"16","LOC129347359",-0.153415319070286,0.913709734544505,0.0185605149014007,0.989543331079362,0.171975833971686,0.903335935394992,0.99115057846739,NA,TRUE,"1","1","1","0.999999999899967",4
"17","bbs4",-0.196069860609115,0.242947482202264,-0.154721715392603,0.381601440956507,0.0413481452165117,0.815524075904462,0.472848236864086,NA,TRUE,"1","1","1","0.999999999899967",4
"18","scamp2l",0.126519397591634,0.545868485090361,-0.0850656806717363,0.712084322670577,-0.21158507826337,0.33087547698517,0.608732601423289,NA,TRUE,"1","1","1","0.999999999899967",4
"19","LOC129347348",-0.256193125321662,0.787470142917614,0.0525954732604147,0.953662143749789,0.308788598582077,0.745735712503368,0.94305411792538,NA,FALSE,"1","1","1","0.999999999899967",4
"20","myo9aa",0.315328567398032,0.347974506257695,-0.73224171023027,0.114514465626865,-1.0475702776283,0.0161977463211996,0.0540792505416736,NA,TRUE,"1","1","1","0.999999999899967",4
"21","senp8",-0.148157503719218,0.719913838718801,-0.15935029911246,0.713546426906732,-0.011192795393242,0.979407270371449,0.914693646019392,NA,TRUE,"1","1","1","0.999999999899967",4
"22","LOC111580711",-0.0353766831035355,0.922348502005959,-0.138128712330475,0.710824961600877,-0.10275202922694,0.781655192716004,0.929144083832162,NA,FALSE,"1","1","1","0.999999999899967",4
"23","anp32a",-0.050494446872084,0.843744443716672,-0.263384976304428,0.348252754581058,-0.212890529432344,0.438748759100133,0.618105275476947,NA,FALSE,"1","1","1","0.999999999899967",4
"24","coro2ba",-0.0352251447631098,0.763243108946022,-0.0520782695544742,0.676928913611277,-0.0168531247913644,0.889099938574165,0.911700223553904,NA,TRUE,"1","1","1","0.999999999899967",4
"25","itga11a",-0.153060284162399,0.618428732866751,-0.0310918845934303,0.919966475369509,0.121968399568968,0.695119476351081,0.871366015765395,NA,FALSE,"1","1","1","0.999999999899967",4
"26","LOC111588606",230.104697069303,0.999937314757631,197.539943888014,0.99996393630794,-32.5647531812893,0.99999199004918,0.999999996863435,NA,TRUE,"1","1","1","0.999999999899967",4
"27","LOC111564424",0.657393704324055,0.37842155301912,0.53850692732856,0.486378720798068,-0.118886776995495,0.858338838971903,0.665767903663488,NA,FALSE,"1","1","1","0.999999999899967",4
"28","LOC129349160",-0.847639799640027,0.490204330786729,-0.67653174638938,0.582141798357168,0.171108053250646,0.9039535389422,0.74414446926376,NA,TRUE,"1","1","1","0.999999999899967",4
"29","LOC111564416",-0.0302105590696214,0.94137147081931,0.0669721952168545,0.873939297293637,0.097182754286476,0.811764856650371,0.971140339743963,NA,FALSE,"1","1","1","0.999999999899967",4
"30","cpeb1b",0.131491050142571,0.51358937961026,-0.0198456412363184,0.927861500724996,-0.151336691378889,0.463032468738145,0.71091657999323,NA,TRUE,"1","1","1","0.999999999899967",4
"31","LOC111564421",0.409372164470727,0.522805112185008,0.238354752204997,0.726170593996007,-0.17101741226573,0.776002653945906,0.814921131715034,NA,FALSE,"1","1","1","0.999999999899967",4
"32","LOC111564418",0.309329517309459,0.290632949537136,0.170056174990741,0.58556473856889,-0.139273342318719,0.6181893434701,0.570534571861858,NA,TRUE,"1","1","1","0.999999999899967",4
"33","LOC111564417",0.0555157894836195,0.902765074194774,-0.223719828873012,0.660568133517092,-0.279235618356631,0.567816385391777,0.842442239463818,NA,TRUE,"1","1","1","0.999999999899967",4
"34","LOC111564423",31.2529065125258,0.999991486066793,-2.78752680198373,0.999999491097819,-34.0404333145095,0.999991627076206,0.999999999888008,NA,TRUE,"1","1","1","0.999999999899967",4
"35","LOC111564410",-0.109995758372617,0.657697952376863,0.102915133292838,0.674099277685419,0.212910891665455,0.393393812000257,0.694740610938194,NA,FALSE,"1","1","1","0.999999999899967",4
"36","LOC111564425",-554.98102591053,0.999833072344617,-30.9611472641801,0.999992362278872,524.01987864635,0.99990004807462,0.999999978069188,NA,TRUE,"1","1","1","0.999999999899967",4
"37","ccnb2",-30.4729576471454,0.999990103574427,0.0133209157178282,0.989408795776657,30.4862785628632,0.999990099248315,0.999911897684528,NA,TRUE,"1","1","1","0.999999999899967",4
"38","cars1",0.00966920422355602,0.956260217333617,0.16831121993836,0.346013344213877,0.158642015714804,0.355461666791654,0.558182650048025,NA,TRUE,"1","1","1","0.999999999899967",4
"39","pex16",0.492327296397265,0.119006239850499,0.18619937252447,0.582759699809292,-0.306127923872796,0.333921952176378,0.280556784693482,NA,FALSE,"1","1","1","0.999999999899967",4
"40","arfgap2",-0.0861758144719415,0.586728015823467,-0.149264013264857,0.377150178418214,-0.0630881987929157,0.703728992943211,0.671494888512733,NA,TRUE,"1","1","1","0.999999999899967",4
"41","LOC118469870",0.59163602816742,0.377997923121065,0.603706072167865,0.376143844857009,0.0120700440004449,0.984240682832233,0.612620703808752,NA,FALSE,"1","1","1","0.999999999899967",4
"42","glceb",-0.213812901178733,0.0788912311245105,-0.252600962287532,0.0470512150271038,-0.0387880611087983,0.762977273350869,0.0895720399542718,NA,FALSE,"1","1","1","0.999999999899967",4
"43","paqr5b",-0.42062589931464,0.421176611831797,0.00501271590022873,0.991777394551638,0.425638615214869,0.41894330653347,0.661002555300172,NA,FALSE,"1","1","1","0.999999999899967",4
"44","LOC111564414",-0.440448591969358,0.565830249939962,0.0176925864997398,0.980163655681191,0.458141178469098,0.550606904587452,0.803589024745791,NA,TRUE,"1","1","1","0.999999999899967",4
"45","tle3b",0.102839012567005,0.487339758943214,0.162487741188199,0.292119685778038,0.0596487286211939,0.68166682720754,0.567550993049402,NA,TRUE,"1","1","1","0.999999999899967",4
"46","LOC129348677",-1.24935084209923,0.280065578281884,-30.2755633692625,0.900177375322536,-29.0262125271633,0.904276249692979,0.553836205896465,NA,TRUE,"1","1","1","0.999999999899967",4
"47","uacab",-0.0235230375839544,0.977874932960599,0.198124850526484,0.81532245204081,0.221647888110438,0.793193214262745,0.959436602222294,NA,FALSE,"1","1","1","0.999999999899967",4
"48","LOC111564639",0.136345087819426,0.332180421460046,0.12631935842887,0.395350941908379,-0.0100257293905559,0.942412837417813,0.579767323748369,NA,TRUE,"1","1","1","0.999999999899967",4
"49","rxfp3.3a1",-0.550560467087858,0.452826124511405,-0.171512210120355,0.806557717553362,0.379048256967503,0.616531471432814,0.750811112691429,NA,FALSE,"1","1","1","0.999999999899967",4
"50","pias1a",-0.147357836186341,0.240115505436593,-0.106333769936257,0.408886366095817,0.0410240662500838,0.752650603890598,0.479015181387304,NA,FALSE,"1","1","1","0.999999999899967",4
"51","skor1a",-0.149437712589926,0.750164531439264,-0.486554078192488,0.363491531211494,-0.337116365602562,0.524841878290979,0.658379623981369,NA,FALSE,"1","1","1","0.999999999899967",4
"52","map2k5",0.00216510645096214,0.986655584027259,0.0397016221760733,0.771128534180443,0.0375365157251111,0.775463023050638,0.947330376290611,NA,TRUE,"1","1","1","0.999999999899967",4
"53","smad3a",-0.355352493584439,0.200030674982259,-0.345119861011736,0.238430946352891,0.0102326325727034,0.973235469411996,0.345077822650343,NA,TRUE,"1","1","1","0.999999999899967",4
"54","smad6a",-0.961090089189755,0.619827243158947,-15.2449258600132,0.976246366560053,-14.2838357708235,0.977743434404652,0.883852883948214,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA","NA","NA","NA",4
"55","tmem208",0.424392040049355,0.229828022700213,0.103624485054357,0.791734596881881,-0.320767554994998,0.354647200458207,0.425565844862832,NA,TRUE,"1","1","1","0.999999999899967",4
"56","slc39a1",0.0273748608511169,0.949589271088827,0.344220460278916,0.41281076433402,0.316845599427799,0.42770521726446,0.63728503915661,NA,TRUE,"1","1","1","0.999999999899967",4
"57","rlbp1a",-30.5995651996062,0.999990767077128,0.0177924901375008,0.989975262784679,30.6173576897437,0.999990761708533,0.999921070026463,NA,TRUE,"1","1","1","0.999999999899967",4
"58","LOC111565738",0.0164750558508647,0.902281472922226,-0.10823525446415,0.457576664444041,-0.124710310315014,0.372541658779991,0.643390181080349,NA,TRUE,"1","1","1","0.999999999899967",4
"59","LOC111565745",0.312348132594631,0.57531362547239,0.22286006989324,0.694547239300856,-0.0894880627013911,0.86847259864217,0.849798598369607,NA,FALSE,"1","1","1","0.999999999899967",4
"60","mibp2",-0.328503545787616,0.166310557988084,-0.46017955792863,0.0753469789449208,-0.131676012141014,0.61444075015762,0.165676663736403,NA,FALSE,"1","1","1","0.999999999899967",4
"61","LOC129350229",-744.355513564799,0.999776112129739,-34.7323909445798,0.999991461867022,709.623122620219,0.99986492902491,0.99999996057405,NA,TRUE,"1","1","1","0.999999999899967",4
"62","bloc1s6",0.214537912945669,0.283188684134441,-0.0323388357864178,0.883819070505526,-0.246876748732087,0.226104779312666,0.390878932967956,NA,TRUE,"1","1","1","0.999999999899967",4
"63","slc30a4",0.154429953944731,0.609973358768896,0.0762622800192446,0.812517249475871,-0.0781676739254869,0.794379908698148,0.877099863988745,NA,TRUE,"1","1","1","0.999999999899967",4
"64","c1h15orf48",0.73834393624832,0.999999850883493,32.4558886758386,0.99999115834976,31.7175447395902,0.999990455085528,0.999999999867048,NA,TRUE,"1","1","1","0.999999999899967",4
"65","spata5l1",-0.296388890255126,0.458502153094966,-0.416029713644087,0.338503633541915,-0.119640823388961,0.789241820838427,0.591157516388175,NA,TRUE,"1","1","1","0.999999999899967",4
"66","LOC111565744",-0.331962502990232,0.585884087965252,-0.389459132874832,0.549052184561905,-0.0574966298846,0.932099689128546,0.794106511421797,NA,TRUE,"1","1","1","0.999999999899967",4
"67","dtwd1",-0.102812860589993,0.771829356422281,0.183646189617092,0.59690345315569,0.286459050207084,0.401306508613311,0.69501917070613,NA,TRUE,"1","1","1","0.999999999899967",4
"68","LOC129349619",-1.6138378790185,0.228356644172812,0.0192588505600178,0.984719788969366,1.63309672957852,0.221170237903295,0.42378032159065,NA,FALSE,"1","1","1","0.999999999899967",4
"69","cops2",-0.079445567371293,0.738666521609432,-0.0257327418120014,0.916932146805737,0.0537128255592916,0.82486049018722,0.943429729102138,NA,FALSE,"1","1","1","0.999999999899967",4
"70","secisbp2l",0.0320216843119684,0.86807101257117,0.166040687028503,0.395226217768793,0.134019002716535,0.479653895512771,0.660557871519249,NA,FALSE,"1","1","1","0.999999999899967",4
"71","LOC111565759",-1.02317593484158,0.06537682490466,-0.850790576560115,0.127131401972198,0.172385358281467,0.791607284293562,0.111129426777307,NA,FALSE,"1","1","1","0.999999999899967",4
"72","LOC129349512",0.255903072393935,0.779798226973772,0.419804320617123,0.646724079300824,0.163901248223188,0.841516005630331,0.900282674042038,NA,TRUE,"1","1","1","0.999999999899967",4
"73","fbn1",0.25227735706539,0.782838940950362,-0.676948456573601,0.581160506544413,-0.929225813638991,0.421878438059423,0.724125888882631,NA,TRUE,"1","1","1","0.999999999899967",4
"74","dut",-0.333921650792084,0.583469676383275,1.12375417301348,0.0184566172552903,1.45767582380556,0.00428117405323823,0.00384897526940135,NA,TRUE,"1","1","0.809424804866513","0.299372416078857",4
"75","slc12a1",-0.593757910562883,0.130929343993042,-0.507670949908146,0.211135118620447,0.0860869606547366,0.845997094115783,0.245776170739375,NA,TRUE,"1","1","1","0.999999999899967",4
"76","ctxn2",-0.267374102214576,0.683024895822036,-0.228952803345311,0.737351900816056,0.0384212988692652,0.956133181779362,0.907133804569547,NA,FALSE,"1","1","1","0.999999999899967",4
"77","myef2",0.113783663761343,0.545609390551141,0.261069798708425,0.177636074682588,0.147286134947082,0.421087496521161,0.398664892298399,NA,FALSE,"1","1","1","0.999999999899967",4
"78","slc24a5",0.133506733215701,0.861756452428916,-1.08593899773692,0.348009459797459,-1.21944573095262,0.276405989359778,0.546691077055104,NA,TRUE,"1","1","1","0.999999999899967",4
