"","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster"
"1","LOC129348986",0.947435216299998,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"2","trip4",0.31939119779606,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"3","chrna7a",0.0144078990872436,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"4","cln6a",0.245104354243597,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"5","LOC118470268",0.205708886189475,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"6","calml4a",0.990844662124923,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"7","LOC111568352",0.334767953628806,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"8","rxfp3.3a2",0.880459076610793,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"9","rps17",0.833667536609464,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"10","LOC129347713",0.999999579245662,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"11","csnk1g1",0.646746450074215,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"12","LOC111571203",0.850957314583545,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"13","neo1a",0.71635573005695,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"14","LOC129349243",0.34363710939578,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"15","LOC111567962",0.224281168443382,"Model failed to converge with max|grad| = 0.007071",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"16","bbs4",0.0838037484668405,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"17","scamp2l",0.692445097659037,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"18","LOC129347348",0.984472933792422,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"19","myo9aa",0.86854005566147,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"20","senp8",0.442294240802104,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"21","LOC111580711",0.118918560708745,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"22","anp32a",0.50866284019514,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"23","coro2ba",0.504713018240003,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"24","itga11a",0.690691650753345,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"25","LOC111588606",0.999999999849422,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"26","LOC111564424",0.744795300551289,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"27","LOC129349160",0.999999999935734,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"28","LOC111564416",0.63524123559933,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"29","cpeb1b",0.162196286724283,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"30","LOC111564421",0.857236665907214,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"31","LOC111564418",0.910351739551727,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"32","LOC111564417",0.800741063179891,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"33","LOC111564410",0,"Model failed to converge with max|grad| = 0.009097",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"34","cars1",0.186346342757445,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"35","pex16",0.565839666392324,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"36","arfgap2",0.611826511459373,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"37","LOC118469870",0.255124783347233,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"38","glceb",0.435195733097005,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"39","paqr5b",0.866206776364502,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"40","LOC111564414",0.997970212430296,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"41","tle3b",0.810401717746206,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"42","LOC129348677",0.999999999936647,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"43","uacab",0.831533393374544,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"44","LOC111564639",0.108371459576615,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"45","rxfp3.3a1",0.999999473949486,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"46","pias1a",0.0509557348322238,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"47","skor1a",0.290892347637779,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"48","map2k5",0.547568022489014,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"49","smad3a",0.136276076535823,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"50","tmem208",0.25402119181352,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"51","slc39a1",0.563141440864253,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"52","LOC111565738",0.97870283448376,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"53","LOC111565745",0.801949332488524,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"54","mibp2",0.86658726507766,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"55","LOC129350229",0.999999994587425,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"56","bloc1s6",0.662166136529945,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"57","slc30a4",0.613752217555551,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"58","c1h15orf48",0.771408197095922,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"59","spata5l1",0.394129992346054,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"60","LOC111565744",0.888250993692229,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"61","dtwd1",0.74017462057878,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"62","LOC129349619",0.989903789616809,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"63","cops2",0.204636080711359,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"64","secisbp2l",0.700330332664603,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"65","LOC111565759",0.999999999929936,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"66","LOC129349512",0.996523875885658,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"67","dut",0.876182004798546,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"68","slc12a1",0.432649312240446,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"69","ctxn2",0.624960199457173,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"70","myef2",0.841934411800677,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"71","slc24a5",0.999999198428237,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"72","LOC111565754",0.555798836853923,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"73","sema6dl",0.730417388498786,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"74","LOC118470001",0.999999999232218,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"75","dmxl2",0.252932726227508,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"76","gldn",0.999999999833784,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"77","LOC111565746",0.861537461052706,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"78","tnfaip8l3",0.606132793528092,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"79","scg3",0.0877278982351425,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"80","lysmd2",0.586461872559867,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"81","tmod2",0.820313095646657,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"82","leo1",0.157347745920946,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"83","mapk6",0.371517633173098,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"84","LOC118471234",0.537049234585842,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"85","LOC111577620",0.999999999925558,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"86","usp8",0.743263859658925,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"87","LOC111577621",0.975802413170862,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"88","LOC129349535",0.999999451123352,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"89","zgc:158482",0.999999895169708,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"90","LOC129349407",0.995784072416863,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"91","pde8a",0.601338201852781,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"92","LOC111563916",0.0181589142507679,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"93","LOC111563902",0.692616213221733,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"94","LOC111563893",0.742263759141111,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"95","homer2",0.434910663833701,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"96","ramac",0.827892245659681,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"97","LOC111567331",0.282715509746087,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"98","LOC111567348",0.999999999927848,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"99","zrsr2",0.16392386275504,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"100","LOC111567330",0.922233818237818,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"101","phka2",0.305311337976956,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"102","ppef1",0.241930779230217,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"103","cdkl5",0.588050380743277,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"104","scml2",0.798377708397893,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"105","LOC118470148",0.996123777531463,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"106","nhsb",0.48313030438528,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"107","ace2",0.0472236351616623,NA,FALSE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"108","il1fma",0.999999999335363,"unable to evaluate scaled gradient",FALSE,"NA",NA,NA,NA,NA,NA,NA,12
"109","pir",0.147086566938581,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"110","vegfd",0.477755492564602,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"111","LOC111566429",0.999999999936567,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"112","LOC129350612",0.844702843128645,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"113","LOC129350625",0.999999999394456,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
"114","LOC111566424",0.89867138916474,NA,TRUE,"0.999999999945278",NA,NA,NA,NA,NA,NA,12
