"","gene","estimate","p.value","warning","singular","q.value","cluster"
"1","LOC129348986",-0.0388735035503034,0.74592253659818,NA,FALSE,"0.989111372187956",20
"2","trip4",-0.168121173631144,0.402981504948568,NA,FALSE,"0.971342189386492",20
"3","chrna7a",-0.891545293690916,0.433869207703686,NA,FALSE,"0.971342189386492",20
"4","cln6a",-0.010196297551294,0.970584144979432,NA,FALSE,"1",20
"5","LOC118470268",-0.523477886175518,0.384572489078474,NA,FALSE,"0.971342189386492",20
"6","calml4a",-0.399044945176235,0.835701332789437,NA,FALSE,"0.999279751871605",20
"7","LOC111568352",0.0976818012884693,0.801194643495925,NA,FALSE,"0.99492158391121",20
"8","rxfp3.3a2",0.149650395551277,0.783485307241271,NA,FALSE,"0.992506452400015",20
"9","rps17",-0.226040768002807,0.359399528815965,NA,TRUE,"0.971342189386492",20
"10","csnk1g1",-0.14676247590634,0.325754527845498,NA,TRUE,"0.971342189386492",20
"11","LOC111571203",-0.11088013327578,0.704631939563694,NA,FALSE,"0.989111372187956",20
"12","neo1a",0.0486375200997217,0.748054795326396,NA,FALSE,"0.989549410470562",20
"13","LOC129349243",2.02271233642092,0.260457849110979,NA,TRUE,"0.971342189386492",20
"14","LOC111567962",-0.25172855065748,0.108813350214963,NA,FALSE,"0.971342189386492",20
"15","bbs4",-0.49763850453964,0.116722446665376,NA,FALSE,"0.971342189386492",20
"16","scamp2l",0.13327798406197,0.715403847602215,NA,TRUE,"0.989111372187956",20
"17","LOC129347348",-4.11833831524175,0.299404192780023,NA,TRUE,"0.971342189386492",20
"18","myo9aa",-0.347811254864204,0.237765874109384,NA,FALSE,"0.971342189386492",20
"19","senp8",0.107074133805409,0.863256366417568,NA,TRUE,"1",20
"20","LOC111580711",-0.535361927216975,0.276137890313766,NA,TRUE,"0.971342189386492",20
"21","anp32a",0.104380483042609,0.857504640336747,NA,FALSE,"1",20
"22","coro2ba",-0.0876142300152697,0.736005326996967,NA,FALSE,"0.989111372187956",20
"23","itga11a",-0.666056087476291,0.355584359363943,NA,TRUE,"0.971342189386492",20
"24","LOC111588606",-5.5846012541921,0.297244368056683,NA,TRUE,"0.971342189386492",20
"25","LOC111564424",0.508680339592586,0.503580679268385,NA,FALSE,"0.973250871963574",20
"26","LOC129349160",2.98849069913224,0.434090908569627,NA,TRUE,"0.971342189386492",20
"27","LOC111564416",-0.720978610358195,0.123246975045209,NA,TRUE,"0.971342189386492",20
"28","cpeb1b",0.301397985461887,0.593166804184852,NA,TRUE,"0.988373688568828",20
"29","LOC111564421",0.0893904801171788,0.942576131020848,NA,TRUE,"1",20
"30","LOC111564418",0.10491076132272,0.822076931857902,NA,FALSE,"0.998406711075761",20
"31","LOC111564417",0.543551590110059,0.557091115599018,NA,TRUE,"0.977761833885819",20
"32","LOC111564410",0.0422303995565634,0.868179102856009,NA,TRUE,"1",20
"33","ccnb2",4.34948699895628,0.368632219752594,NA,TRUE,"0.971342189386492",20
"34","cars1",-0.159037989284459,0.500668652329776,NA,FALSE,"0.973250871963574",20
"35","pex16",0.0742955065227663,0.794431858875189,NA,TRUE,"0.993718761079315",20
"36","arfgap2",0.148946538844823,0.455750979667916,NA,TRUE,"0.971342189386492",20
"37","glceb",-0.400911138939567,0.0209970163217662,NA,TRUE,"0.971342189386492",20
"38","LOC111564414",0.157669510296123,0.827358628386815,NA,FALSE,"0.998580663525205",20
"39","tle3b",0.204156591266044,0.219274031676488,NA,TRUE,"0.971342189386492",20
"40","LOC129348677",0.590003660100969,0.44115320780496,NA,TRUE,"0.971342189386492",20
"41","uacab",-1.99847259216976,0.203280272377854,NA,TRUE,"0.971342189386492",20
"42","LOC111564639",-0.165776882109572,0.33750552158664,NA,TRUE,"0.971342189386492",20
"43","rxfp3.3a1",-0.135903068817768,0.830445699700818,NA,TRUE,"0.998581233517654",20
"44","pias1a",0.0174795353672974,0.914938567051643,NA,FALSE,"1",20
"45","skor1a",-0.431532367764278,0.47122199179381,NA,TRUE,"0.971638595000342",20
"46","map2k5",0.184643415602572,0.172350209951248,NA,FALSE,"0.971342189386492",20
"47","smad3a",-0.275639560101438,0.239805575177195,NA,TRUE,"0.971342189386492",20
"48","smad6a",0.433100819381384,0.733031447076734,NA,FALSE,"0.989111372187956",20
"49","tmem208",0.305384102019511,0.522278569634125,NA,TRUE,"0.973250871963574",20
"50","slc39a1",-0.0804688444419207,0.927307659789704,NA,TRUE,"1",20
"51","rlbp1a",-10.1350408261791,0.460081165922013,NA,TRUE,"0.971342189386492",20
"52","LOC111565738",-0.143937774402641,0.352595207403525,NA,TRUE,"0.971342189386492",20
"53","LOC111565745",-0.0478806770540444,0.905589620213089,NA,TRUE,"1",20
"54","mibp2",0.266975896916527,0.522576156045058,NA,FALSE,"0.973250871963574",20
"55","bloc1s6",-0.0538830650183827,0.839095887512574,NA,TRUE,"0.999446207008927",20
"56","slc30a4",0.309974520074369,0.174586963104825,NA,FALSE,"0.971342189386492",20
"57","spata5l1",1.82278373299483,0.260646778717775,NA,TRUE,"0.971342189386492",20
"58","dtwd1",0.73291951934853,0.298542703270321,NA,FALSE,"0.971342189386492",20
"59","LOC129349619",-0.325103089875883,0.597503866169445,NA,FALSE,"0.989111372187956",20
"60","fgf7",2.36162140711078,0.207707771065636,NA,FALSE,"0.971342189386492",20
"61","cops2",0.0556891697559686,0.852993791826938,NA,TRUE,"1",20
"62","secisbp2l",0.0432555360202226,0.849275756930402,NA,TRUE,"1",20
"63","LOC129349512",0.521146536793151,0.489761969845805,NA,TRUE,"0.973250871963574",20
"64","fbn1",-0.40948381801978,0.664900888177181,NA,TRUE,"0.989111372187956",20
"65","slc12a1",0.460729060396983,0.313422202050124,NA,TRUE,"0.971342189386492",20
"66","ctxn2",0.542171459569738,0.193440980749711,NA,FALSE,"0.971342189386492",20
"67","myef2",-0.69747030578951,0.00429505258196051,NA,FALSE,"0.736713062099347",20
"68","LOC111565754",-0.169964104208968,0.764921388835937,NA,TRUE,"0.991540138729209",20
"69","sema6dl",-0.683525574181188,0.00849507894165116,NA,TRUE,"0.971342189386492",20
"70","LOC118470001",0.659406272298761,0.365319563007378,NA,FALSE,"0.971342189386492",20
"71","dmxl2",0.17796657884966,0.346061972969452,NA,FALSE,"0.971342189386492",20
"72","gldn",-0.434622441918525,0.745361118979441,NA,TRUE,"0.989111372187956",20
"73","LOC111565746",-0.359128868006835,0.645306763289413,NA,FALSE,"0.989111372187956",20
"74","tnfaip8l3",0.289681704280334,0.554147134376553,NA,FALSE,"0.976642211925952",20
"75","scg3",-0.292212794214121,0.134122130306396,NA,TRUE,"0.971342189386492",20
"76","lysmd2",-0.203324281204504,0.626043444838738,NA,FALSE,"0.989111372187956",20
"77","tmod2",0.361240619842056,0.399992172355916,NA,TRUE,"0.971342189386492",20
"78","leo1",-0.316005237537302,0.4987726017316,NA,TRUE,"0.973250871963574",20
"79","mapk6",-0.0721877730691311,0.803850532596705,NA,FALSE,"0.995453817305995",20
"80","LOC118471234",-1.14502086047901,0.0541310382833711,NA,TRUE,"0.971342189386492",20
"81","usp8",-0.248827940559726,0.36700740054485,NA,TRUE,"0.971342189386492",20
"82","zgc:158482",1.28530761221952,0.457412433524355,NA,TRUE,"0.971342189386492",20
"83","pde8a",-0.437003958109911,0.0390061638918423,NA,FALSE,"0.971342189386492",20
"84","LOC111563916",0.794146411265166,0.140631645807229,NA,TRUE,"0.971342189386492",20
"85","LOC111563902",0.64200772050725,0.102928227935886,NA,TRUE,"0.971342189386492",20
"86","LOC111563893",0.468440782235318,0.217582966365441,NA,TRUE,"0.971342189386492",20
"87","homer2",0.405827443930638,0.346794829079918,NA,FALSE,"0.971342189386492",20
"88","ramac",0.345589295876189,0.655534559602892,NA,FALSE,"0.989111372187956",20
"89","LOC111567331",0.326799463813494,0.516607461269038,NA,FALSE,"0.973250871963574",20
"90","LOC111567348",0.0893904801171788,0.942576131020848,NA,TRUE,"1",20
"91","zrsr2",0.14586660982083,0.764137496679354,NA,FALSE,"0.991540138729209",20
"92","LOC111567330",-0.0871189792147476,0.696853260946894,NA,TRUE,"0.989111372187956",20
"93","phka2",0.284330295861103,0.238157309819981,NA,FALSE,"0.971342189386492",20
"94","ppef1",0.190081194881319,0.64944436227362,NA,TRUE,"0.989111372187956",20
"95","cdkl5",0.121413655917,0.471857161464721,NA,TRUE,"0.971638595000342",20
"96","scml2",-0.316963962234373,0.151639391181174,NA,TRUE,"0.971342189386492",20
"97","LOC118470148",0.0893910750394619,0.942672813967617,NA,TRUE,"1",20
"98","nhsb",-0.124134115039161,0.492015901416949,NA,FALSE,"0.973250871963574",20
"99","ace2",0.113571886399683,0.729341150707115,NA,TRUE,"0.989111372187956",20
"100","il1fma",0.377713436941067,0.153493123916354,NA,FALSE,"0.971342189386492",20
"101","zgc:113276",82.0713682665606,0.961375655144139,NA,TRUE,"1",20
"102","pir",1.18261982770542,0.0801206218550853,NA,TRUE,"0.971342189386492",20
"103","vegfd",-1.55567054625587,0.315460107476916,NA,TRUE,"0.971342189386492",20
"104","LOC129350612",-11.0904340682202,0.29734863610126,NA,TRUE,"0.971342189386492",20
"105","LOC111566424",-2.61603974910053,0.730718519297957,NA,FALSE,"0.989111372187956",20
"106","tmem39a",0.0492767290176898,0.860161536291439,NA,TRUE,"1",20
"107","LOC111566431",-0.566184835933003,0.455802130755601,NA,FALSE,"0.971342189386492",20
"108","LOC111566421",0.391431830196153,0.593587116586838,NA,TRUE,"0.988513055794267",20
"109","LOC111564828",-0.023942481670739,0.904623142549843,NA,FALSE,"1",20
"110","LOC118469910",-0.19714676146688,0.73051266978869,NA,TRUE,"0.989111372187956",20
"111","LOC111564831",-0.349148038618215,0.236217218632239,NA,FALSE,"0.971342189386492",20
"112","stk16",2.42191062276457,0.140633674590908,NA,FALSE,"0.971342189386492",20
"113","atic",0.369006790650362,0.460547037293929,NA,FALSE,"0.971342189386492",20
"114","fn1b",-3.68489249227123,0.466370833480786,NA,TRUE,"0.971342189386492",20
"115","psmd14",-0.174529699085078,0.692159056135418,NA,FALSE,"0.989111372187956",20
"116","rbms1a",-0.0156706908387238,0.94658144777116,NA,TRUE,"1",20
"117","pla2r1",2.98852682351741,0.433749954690672,NA,TRUE,"0.971342189386492",20
"118","ly75",0.280851353714475,0.181642389382693,NA,TRUE,"0.971342189386492",20
"119","marchf7",0.145269069910408,0.600641985987278,NA,TRUE,"0.989111372187956",20
"120","baz2ba",-0.0178405017273508,0.889407228693349,NA,TRUE,"1",20
"121","wdsub1",0.254517444180748,0.648761238431992,NA,TRUE,"0.989111372187956",20
"122","LOC111564834",-0.543897671293322,0.0769278542151687,NA,FALSE,"0.971342189386492",20
"123","LOC111564858",-0.353872172270942,0.290570339759627,NA,TRUE,"0.971342189386492",20
"124","gtf2f2a",-0.177397740165896,0.842397595715766,NA,TRUE,"1",20
"125","gpalpp1",-0.394100176270126,0.466040004280062,NA,TRUE,"0.971342189386492",20
"126","ercc3",0.394761297993939,0.360531949136777,NA,FALSE,"0.971342189386492",20
"127","LOC111564848",-0.47073276717681,0.547232296587231,NA,TRUE,"0.974906253774903",20
"128","rbm26",0.221959399635132,0.4616465966818,NA,FALSE,"0.971342189386492",20
"129","LOC118469912",1.28527839986307,0.459048991326841,NA,TRUE,"0.971342189386492",20
"130","obi1",1.99236236219399,0.423198247059203,NA,TRUE,"0.971342189386492",20
"131","pou4f1",0.0304710042808399,0.980812961547568,NA,FALSE,"1",20
"132","LOC129349311",-0.558605170564515,0.020734769243212,NA,FALSE,"0.971342189386492",20
"133","LOC111562565",-0.275857796203514,1,"Model failed to converge with max|grad| = 0.010732",FALSE,"NA",20
"134","LOC111562524",-0.571427702615927,0.562344628612922,NA,TRUE,"0.979083049078399",20
"135","tdrd3",0.172423574984692,0.757094357469816,NA,TRUE,"0.990627574684622",20
"136","LOC111562582",1.58549552436504,0.139468410506268,NA,FALSE,"0.971342189386492",20
"137","LOC118470526",0.270908916092402,0.715766001044656,NA,FALSE,"0.989111372187956",20
"138","pcdh17",0.166114575724253,0.455183597320137,NA,FALSE,"0.971342189386492",20
"139","LOC129348781",1.56307318283816,0.431591625719666,NA,TRUE,"0.971342189386492",20
"140","lims1",-1.13470543776378,0.154412541156514,NA,TRUE,"0.971342189386492",20
"141","LOC111562382",-0.50292679869994,0.100493618328357,NA,TRUE,"0.971342189386492",20
"142","tgfbrap1",0.647816207547575,0.177878990702367,NA,TRUE,"0.971342189386492",20
"143","cul4a",-0.235809975706103,0.48313758001049,NA,FALSE,"0.973250871963574",20
"144","lamp1a",-0.240357223353754,0.447593072816404,NA,TRUE,"0.971342189386492",20
"145","grtp1a",0.0893910750394619,0.942672813967617,NA,TRUE,"1",20
"146","dcun1d2b",-0.375007646064474,0.427454961554975,NA,TRUE,"0.971342189386492",20
"147","tmco3",-0.313163218370274,0.432934686932323,NA,FALSE,"0.971342189386492",20
"148","grk1a",-1.09434175807555,0.526156747781248,NA,TRUE,"0.973250871963574",20
"149","LOC111585021",2.72724268298973,0.229586039004265,NA,FALSE,"0.971342189386492",20
"150","LOC129347314",1.99225727544436,0.426198137928225,NA,TRUE,"0.971342189386492",20
"151","gas6",1.03417295964014,0.0488639580503124,NA,TRUE,"0.971342189386492",20
"152","pros1",-0.162516737777959,0.856491796961933,NA,TRUE,"1",20
"153","rasa3",-0.210788834583281,0.297204552582835,NA,TRUE,"0.971342189386492",20
"154","tpp2",0.296154028597674,0.299370140892011,NA,FALSE,"0.971342189386492",20
"155","ercc5",-0.88118639622798,0.332874280174631,NA,TRUE,"0.971342189386492",20
"156","LOC129348925",-3.68489249227123,0.466370833480786,NA,TRUE,"0.971342189386492",20
"157","blzf1",1.28529602791492,0.458062007100579,NA,TRUE,"0.971342189386492",20
"158","trmt10c",-0.921759046011725,0.721015837152026,NA,TRUE,"0.989111372187956",20
"159","txnl4b",0.573242168416615,0.33483978673515,NA,TRUE,"0.971342189386492",20
"160","mrpl16",0.821372130008288,0.316168452613247,NA,TRUE,"0.971342189386492",20
"161","cenpq",3.66051984402669,0.255725521267179,NA,TRUE,"0.971342189386492",20
"162","LOC111573080",0.319613707026748,0.259619144826513,NA,TRUE,"0.971342189386492",20
"163","LOC111573078",-0.062085289936402,0.954984092086111,NA,FALSE,"1",20
"164","gpc5a",-0.61962676351005,0.142732815331283,NA,FALSE,"0.971342189386492",20
"165","gpc6a",-0.163527228035567,0.380926437852823,NA,FALSE,"0.971342189386492",20
"166","LOC111565070",0.210981896294857,0.160484723874275,NA,TRUE,"0.971342189386492",20
"167","LOC111565062",-0.11219884668203,0.814056510515283,NA,TRUE,"0.997196938050228",20
"168","slc5a7a",2.1163458321615,0.637255882389202,NA,FALSE,"0.989111372187956",20
"169","arl6",0.0536777059881737,0.897432239174273,NA,FALSE,"1",20
"170","LOC111565060",-0.785638281680129,0.00928389061716209,NA,FALSE,"0.971342189386492",20
"171","nsun3",0.201331770568355,0.693619017076984,NA,TRUE,"0.989111372187956",20
"172","LOC111565057",-0.0477555619853179,0.909829594665811,NA,TRUE,"1",20
"173","LOC129349150",0.0721429718769717,0.887493816105782,NA,TRUE,"1",20
"174","rrad",-0.190451720326325,0.795418599779158,NA,TRUE,"0.993756297000098",20
"175","nae1",0.180319665808867,0.637752315349517,NA,FALSE,"0.989111372187956",20
"176","si:dkey-56m19.5",-0.0385118629933824,0.950651366039113,NA,TRUE,"1",20
"177","LOC129349413",-1.01788193784344,0.540893569205164,NA,TRUE,"0.973250871963574",20
"178","dync1li2",-0.174815032721494,0.344303522966479,NA,TRUE,"0.971342189386492",20
"179","cmtm4",-0.40419228227115,0.300333294382699,NA,TRUE,"0.971342189386492",20
"180","cmtm3",0.043078305341495,0.864431242632315,NA,FALSE,"1",20
"181","galns",0.254409929203384,0.2702787159286,NA,TRUE,"0.971342189386492",20
"182","trappc2l",-0.551003255263646,0.401697631729704,NA,FALSE,"0.971342189386492",20
