"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"LOC129348986",0.229341846496178,0.14306265226986,0.426361816739641,0.395262024329259,0.95254671769176,0.403320428524138,0.0366180760178086,-0.00214465439810832,0.0344734216197003,0.810806447591992,0.596116694323475,0.150229545477814,-0.0106854320685778,0.0191462124987747,0.0823879180974292,FALSE,NA,NA,0.794796041518165,0.839529228478961,0.43358772780004
"trip4",0.147541621474987,0.0092639997680167,0.163363469279808,0.548652110176749,0.629573058896301,0.299157514161241,0.027347003191697,0.019586276232774,0.046933279424471,0.823995309476878,0.0260697848365946,0.0112869838441136,0.0104256239402958,0.088577953785016,0.1425333726649,FALSE,NA,NA,0.787164358248892,0.621728217867791,0.0901009755215254
"csnk1g1",0.0756134459914739,0.00174472303904284,0.0272388332494614,0.708822035742182,0.67261932017523,0.457954122809835,0.0166889002504792,0.016754718247592,0.0334436184980712,0.709625458854494,0.102687692606764,0.00247931185753154,-0.016912377261855,0.071055899106115,0.171069423848286,FALSE,NA,NA,0.785219398297066,0.347229010257697,0.039738224311253
"neo1a",0.21709935366591,0.299009431964063,0.375323766402315,0.575150415791947,0.850017991996922,0.67150963009586,0.0273184773025125,-0.00725367108120127,0.0200648062213112,0.335245200162231,0.682339340186798,0.303742703925013,-0.0422976403293088,-0.0147810594290825,0.0718473126570583,FALSE,NA,NA,0.792998481312182,0.797859201006067,0.58318451142544
"glceb",0.839920500826375,0.0122646209240674,0.01361137418519,0.0963082274083077,0.827408721786348,0.0458759790497981,0.0785865965095894,0.00863226390201247,0.0872188604116019,0.993049641794544,0.135570610478443,0.0149992637946074,-0.000486543595833305,0.0576884514722854,-0.148702377781816,FALSE,NA,NA,0.927740616434354,0.264752940237331,0.107778662483975
"LOC111564639",0.60297493270546,0.94296150190338,0.608110408230388,0.343358811250302,0.831153830441793,0.22832497954276,0.0458028362097078,0.00870081121951063,0.0545036474292185,0.878940112896157,0.218521497594055,0.943762841570585,-0.0082501971336154,0.0501186263952552,-0.00465437511997404,FALSE,NA,NA,0.84521192185224,0.906517981334732,0.976271707565648
"map2k5",0.472872090639807,0.915005794138999,0.0825695932715598,0.171050931592407,0.585020807957567,0.327785285141135,0.0602973070028697,-0.0193137654536389,0.0409835415492308,0.00605653852883366,0.880255968507904,0.916180989125374,0.127943852940575,0.00549449397052825,0.00673688680675617,FALSE,NA,NA,0.822450735613019,0.49969981064171,0.961225996599135
"scg3",0.170851208580305,0.145437309410942,0.299161404378338,0.379824756137788,0.98020601234055,0.367927749677121,0.039776506816587,-0.000961972202391137,0.0388145346141959,0.686759977824854,0.705501828825347,0.15372655951424,-0.0204694202523192,-0.0127219781222771,0.0813382273111549,FALSE,NA,NA,0.792998481312182,0.754850098861547,0.43358772780004
"mapk6",0.652454575539805,0.896378890072394,0.873303392125206,0.260614537290477,0.98795904819798,0.235732193162823,0.0527689078791103,0.00059512227423366,0.053364030153344,0.524185427468627,0.278792032005546,0.897980153252191,0.0325383912138778,0.0491497199428302,0.00851232306495662,FALSE,NA,NA,0.861713649528451,0.970912238662486,0.955312891773582
"pde8a",0.327722166121812,0.576897538813534,0.700532048057234,0.411663155907837,0.894399085790384,0.459298268550283,0.0370811024421793,-0.00491299593309964,0.0321681065090797,0.549457375759034,0.634706414030999,0.581105769362318,-0.0276919940551895,-0.0175073515757474,0.0339459291225154,FALSE,NA,NA,0.802647882870223,0.929362972797242,0.791294203299359
"nhsb",0.207955604593893,0.0994776096179903,0.436284952313423,0.38988472115459,0.990119128783453,0.369485129652585,0.0369563341745879,0.000456592344293051,0.037412926518881,0.961368523445432,0.523763811292842,0.107668253380051,0.00220730554820316,0.024655526477086,0.0941784976282509,FALSE,NA,NA,0.792998481312182,0.847915334128038,0.357846853228551
"baz2ba",0.990537524511115,0.100536782780703,0.190186798416072,0.165541148835586,0.886428929892329,0.183630529494945,0.0620303359674323,-0.00529338051861918,0.0567369554488131,0.645790911263934,0.530615832915617,0.109393155278981,0.0214923485844247,0.022163244197595,-0.0942344643077807,FALSE,NA,NA,0.993564377145221,0.658879330660428,0.359686092073742
"LOC111564834",0.769859304442433,0.00458809312177839,0.013058553685274,0.159844446204236,0.974018730843979,0.154602292513203,0.0627987182538541,-0.00122183149418569,0.0615768867596684,0.980074997561208,0.34548908000436,0.00621513172872017,0.00115989431786456,0.0339424262515088,-0.158402652767444,FALSE,NA,NA,0.890987485014467,0.259786075587345,0.0614710843764798
"LOC111562565",0.604877696170366,0.450595929052436,0.804114510114269,0.376861820363227,0.877685881587565,0.279341577557756,0.0399625204371922,0.00594508072752005,0.0459076011647123,0.287140526000252,0.660097907603015,0.460077374641717,0.0549500798760074,0.0163173666960988,0.0451245971389074,FALSE,NA,NA,0.84521192185224,0.953750995284585,0.713001618883227
"pcdh17",0.999357511363349,0.156825534920043,0.267273383734038,0.24685185248082,0.976551257780279,0.244658484693049,0.0525262038802255,-0.0011483960099942,0.0513778078702313,0.612145498323924,0.546981726048507,0.164527415768948,0.0224536084565861,0.0228502696499736,-0.0792839435712886,FALSE,NA,NA,0.999357511363349,0.736951613709078,0.450606031879246
"tpp2",0.326130537164504,0.376075037262847,0.225328149122093,0.663793421710878,0.390563244059118,0.24067646990583,0.0211173956314802,0.0377195295315544,0.0588369251630346,0.504625020646257,0.110727040104783,0.383131976285902,-0.0339680694204279,0.0881107776505404,0.062004490539607,FALSE,NA,NA,0.802647882870223,0.702745510207383,0.648700465519865
"gpc6a",0.685209417882793,0.719152825191042,0.534100306958816,0.260863753874641,0.987995376584921,0.244982185645147,0.0479865004704926,-0.000515692400147593,0.047470808070345,0.0538717971051815,0.377959042653218,0.72334449456402,0.0884757396120202,0.0310281587938095,0.0217230765812418,FALSE,NA,NA,0.863988765716392,0.900664893153606,0.868735007845409
"ankrd11",0.776483241567203,0.867856002092995,0.92189910431335,0.321876901710499,0.972016238157573,0.313335837097326,0.0428566065723386,-0.00125518177081091,0.0416014248015277,0.404354798501482,0.483649129925881,0.868762701454767,0.0384167572741975,0.0266920841688113,0.00934256461541275,FALSE,NA,NA,0.893907342106128,0.981491597867028,0.944199065306651
"tmem276b",0.515387614437574,0.815160228498196,0.972960455518269,0.359519223752061,0.910141427299072,0.401241553813299,0.0434680289152153,-0.00454813028827019,0.0389198986269451,0.991559118791464,0.956325644945847,0.818241299979584,-0.000521463806534828,-0.00252223715996744,0.0158805331501848,FALSE,NA,NA,0.827169118892003,0.995133924909797,0.919462945252586
"fam189a1",0.767449259710621,0.329857915630486,0.674775843361888,0.22765951318384,0.99718857630449,0.196470162453853,0.0593310007422012,0.000143911274981312,0.0594749120171825,0.824039636200221,0.914594364146673,0.338001846641588,-0.0121281077929633,0.00453500281535471,-0.0635399876876266,FALSE,NA,NA,0.890987485014467,0.926515947140092,0.613460967737717
"apba2b",0.433304991666324,0.908155926023966,0.22446931968398,0.34893131880218,0.690769115427448,0.198543494672744,0.0422774651239328,0.0147373306166465,0.0570147957405793,0.52160059542651,0.0664519135720807,0.908884333409534,-0.0302649973608992,0.0713024093711171,0.00733304729796715,FALSE,NA,NA,0.804011211765233,0.701733849393014,0.961207529221257
