"","gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","warning","error","av_q","interaction_q","positive_q"
"1","LOC129348986",0.229341846496178,0.14306265226986,0.426361816739641,0.395262024329259,0.95254671769176,0.403320428524138,0.0366180760178086,-0.00214465439810832,0.0344734216197003,0.810806447591992,0.596116694323475,0.150229545477814,-0.0106854320685778,0.0191462124987747,0.0823879180974292,NA,NA,0.780203714945871,0.798034234297605,0.394300898195377
"2","trip4",0.147541621474987,0.0092639997680167,0.163363469279808,0.548652110176749,0.629573058896301,0.299157514161241,0.027347003191697,0.019586276232774,0.046933279424471,0.823995309476878,0.0260697848365946,0.0112869838441136,0.0104256239402958,0.088577953785016,0.1425333726649,NA,NA,0.780203714945871,0.63890615822971,0.148448949925018
"4","cln6a",0.379399722104851,0.165081208421043,0.734596871195544,0.578289036872104,0.736731956342534,0.77832331123379,0.0338884404736144,-0.0180220246497856,0.0158664158238288,0.378256175547545,0.579430787603042,0.172884992729971,0.0676724151148674,0.0324486872293559,0.10816839190513,NA,NA,0.780203714945871,0.906877327892594,0.433383631730797
"5","LOC118470268",0.381139818211718,0.259122389060274,0.487128303424018,0.774246514994512,0.486061936515818,0.735950616673213,-0.0226902144949863,0.0545337932227624,0.0318435787277761,0.901277098126586,0.376318944350502,0.26688785788526,-0.00945522810191435,0.114639541690793,0.148679222768134,NA,NA,0.780203714945871,0.822842506142064,0.468583312669541
"8","rxfp3.3a2",0.47724535294035,0.516755803244757,0.914902140713271,0.567256662450824,0.705616132247445,0.780407588070129,0.0549584595746906,-0.0314920634565077,0.0234663961181829,0.457772207512273,0.673016082129449,0.52401057037034,0.0986415593483176,0.0383538168543651,0.0851523964841768,NA,NA,0.780203714945871,0.973731368330137,0.685263130389786
"9","rps17",0.41079089999838,0.262071651969951,0.452532349433666,0.806984531183892,0.49681764033957,0.720899596579537,0.0234400508305816,-0.0502254798727199,-0.0267854290421383,0.488622201303191,0.844141004693942,0.269999833158421,0.0896996330774842,-0.0100373627553982,0.14412849990969,NA,NA,0.780203714945871,0.812096236251714,0.468583312669541
"10","csnk1g1",0.0756134459914739,0.00174472303904284,0.0272388332494614,0.708822035742182,0.67261932017523,0.457954122809835,0.0166889002504792,0.016754718247592,0.0334436184980712,0.709625458854494,0.102687692606764,0.00247931185753154,-0.016912377261855,0.071055899106115,0.171069423848286,NA,NA,0.780203714945871,0.383235344318873,0.094144515529396
"12","neo1a",0.21709935366591,0.299009431964063,0.375323766402315,0.575150415791947,0.850017991996922,0.67150963009586,0.0273184773025125,-0.00725367108120127,0.0200648062213112,0.335245200162231,0.682339340186798,0.303742703925013,-0.0422976403293088,-0.0147810594290825,0.0718473126570583,NA,NA,0.780203714945871,0.776098885047688,0.487316898658989
"14","LOC111567962",0.392993320627858,0.257050335566977,0.475214525048795,0.720352854059871,0.734076202672296,0.871069603870769,-0.0275169252098655,0.0156933770606938,-0.0118235481491717,0.729526290374594,0.388276901165285,0.264999537593639,-0.0235493820380471,0.0377327920309765,0.149429681703213,NA,NA,0.780203714945871,0.819640431102451,0.468583312669541
"15","bbs4",0.612121706310067,0.207914616188533,0.508244915570063,0.120375576759449,0.581294891823944,0.265835130899767,0.118896455890848,-0.0295676307141658,0.0893288251766823,0.906924908044267,0.392186493256673,0.217163706123646,-0.00668346855416643,-0.0629547274134364,-0.16453142058984,NA,NA,0.788898213465175,0.832178243535277,0.46809162548998
"16","scamp2l",0.493313912919211,0.394228052068425,0.989278474140495,0.413558016252075,0.741340651591882,0.505791673502029,0.056318802496452,-0.0185219363005177,0.0377968661959343,0.31274176508982,0.1121020326894,0.402571249693151,0.0933384984177395,0.0783097940798564,0.080114100335293,NA,NA,0.780203714945871,0.996139886778451,0.588678760400153
"18","myo9aa",0.635422505041656,0.685426806846511,0.701286036217804,0.217868494104283,0.985566948220393,0.194530912614932,0.0803102874547952,0.00100350530231993,0.0813137927571151,0.55993970759662,0.403513219458925,0.68832540587012,0.0451797573845604,0.0554474165997779,-0.0384300337921135,NA,NA,0.794023524239649,0.896154482202023,0.805088114892079
"19","senp8",0.628059492367197,0.214515386998506,0.850311811908984,0.324866831723883,0.654792534380195,0.624538864045258,0.0830786048616239,-0.0420416025002767,0.0410370023613472,0.84928662225678,0.419525852425896,0.220015497800977,-0.0251877380161336,-0.103139921610311,-0.113934457355184,NA,NA,0.792707459012314,0.948393311538896,0.468583312669541
