"","gene","gene_name","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","av_q.value","cluster","full_label","first_word","second_word","short_label"
"1757","glulb","glutamate-ammonia ligase (glutamine synthase) b",0.213383149332674,0.181579027851983,-0.440220643585501,0.0111011083832002,-0.653603792918175,7.87477417454736e-05,0.000378656063542641,NA,FALSE,0.0381200392823362,0,"Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"2947","LOC111567884","uncharacterized LOC111567884",-0.317962509489768,2.57857671886264e-05,-0.450475546670376,1.54516758914108e-09,-0.132513037180608,0.0781085955122521,4.61381318704447e-09,NA,FALSE,5.24615276223316e-07,0,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"3433","LOC129348661",NA,0.940343410796511,0.000117147615164446,-0.0955669130501135,0.730158344646824,-1.03591032384662,9.31357294665143e-06,2.16188725239771e-06,NA,FALSE,0.0002404509533562,0,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"3574","LOC111568891","calpain-2 catalytic subunit-like",0.65301379656117,0.000365913516084346,-0.322013684676833,0.0997398011612095,-0.975027481238003,8.79279106494127e-08,2.24084711246113e-07,NA,FALSE,2.536638931306e-05,0,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"4236","LOC111583456","UTP--glucose-1-phosphate uridylyltransferase-like",-0.46141253812622,0.0420317973899235,-0.968093710233671,9.23795029148332e-05,-0.506681172107451,0.0533496085672906,0.000413210340871999,NA,FALSE,0.0411112007109758,0,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"5648","LOC111574349","sodium-dependent neutral amino acid transporter SLC6A17-like",-0.208140970098274,0.015138111240427,-0.339315594939598,7.9047903792829e-05,-0.131174624841324,0.134043821443064,0.000343398029210657,NA,FALSE,0.0347098181224196,0,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"7972","ywhae1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 1",-0.185110864094643,0.00916614288464766,0.0804281055895687,0.22739404851317,0.265538969684212,7.73408748412231e-05,0.000343418695204152,NA,FALSE,0.0347098181224196,0,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"9094","LOC111572069","synaptotagmin-2-like",-0.138171337344491,0.00602593201924114,0.0758773330897745,0.124879482297589,0.214048670434265,1.14357055388823e-05,5.41394332803236e-05,NA,FALSE,0.00584292951546543,0,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"11388","mau2","MAU2 sister chromatid cohesion factor",0.250591919044743,0.0814805329434824,0.513942476427732,0.000131635771969639,0.263350557382989,0.0311812841051913,0.000494480168915438,NA,FALSE,0.0486270652597537,0,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"14038","LOC111563592",NA,-1.1987539612844,3.42860749936169e-06,-0.520357679783054,0.00891956909876429,0.678396281501347,0.0115200570208367,1.09077287357079e-05,NA,FALSE,0.00119235987510077,0,"Progressively downregulated","Progressively","Downregulated","Progressively Downregulated"
"14988","gpx3",NA,0.211016583750507,0.000914484563923795,-0.120110330700223,0.064002962944515,-0.33112691445073,8.2268910309552e-08,3.71789126142661e-07,NA,FALSE,4.19003054993521e-05,0,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"18089","LOC111565980","uncharacterized LOC111565980",-0.799709415529607,0.000778399538565664,0.274433644078927,0.20867525605012,1.07414305960853,2.18628434442849e-06,9.36537756338129e-06,NA,FALSE,0.00103711376756227,0,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"19493","shisa8b","shisa family member 8b",-0.584030858617948,0.000142122710320106,-0.433761525382553,0.00312284582254657,0.150269333235396,0.3357143418651,0.00028674143198948,NA,FALSE,0.0293305392480805,0,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"20088","igf2bp1","insulin-like growth factor 2 mRNA binding protein 1",-1.53217492445953,2.70860162454789e-06,-0.462517790324053,0.0973017305034698,1.06965713413548,0.000929849086648524,1.49977461140098e-05,NA,FALSE,0.00162550039797375,0,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"21173","cacng1b","calcium channel, voltage-dependent, gamma subunit 1b",-0.0838220020702799,0.709856694411863,0.651495726163064,0.000768833230625982,0.735317728233344,0.000143286299663701,5.65874124206934e-05,NA,FALSE,0.00608135609432515,0,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"21444","rragd","ras-related GTP binding D",0.504272197990353,0.00152842962504448,-0.0199517000121337,0.903611421560139,-0.524223898002487,0.000589457701680176,0.00050134828186524,NA,FALSE,0.049112848996568,0,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"22394","LOC111563451",NA,-0.282495476364089,0.109174933626124,-0.731124590195995,7.59933493463565e-05,-0.448629113831906,0.0181464686602624,0.000391390351546739,NA,FALSE,0.0392468986373837,0,"Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"278","sox6",NA,0.255868283625539,0.000606822473929374,0.0420985364972677,0.572945700793355,-0.213769747128272,0.00211780888039165,0.000695188967290457,NA,FALSE,0.0416317362472797,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"646","LOC111577669",NA,0.519568313026648,0.0306350093984787,-0.408829489452388,0.137127316048144,-0.928397802479036,0.000132030915164212,0.000459277698147782,NA,FALSE,0.0280028513624561,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"757","LOC111563338",NA,-0.808352334766364,4.72856529382844e-05,-0.0182410104030199,0.911443813267821,0.790111324363344,3.47207837254134e-05,3.58046445779459e-05,NA,FALSE,0.00230235603863922,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"1840","dab1a","DAB adaptor protein 1a",-0.19407250949733,0.0620975987193275,0.173938832352648,0.0771414040587534,0.368011341849977,0.000153919046376534,0.000768481384474963,NA,FALSE,0.0456722459182279,1,"Transiently weakly upregulated","Transiently","Upregulated","Transiently Upregulated"
"2082","tmtc2b","transmembrane O-mannosyltransferase targeting cadherins 2b",-0.401075545536237,0.000973239711877391,0.0192671088732469,0.868313702256655,0.420342654409484,0.000321547660425208,0.000394237685389979,NA,FALSE,0.0242255454977889,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2304","sema3ab","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ab",-0.964785753477658,3.73324998767464e-07,-0.136122196884397,0.382455123004789,0.828663556593261,7.3985627785069e-06,7.65032329760664e-07,NA,FALSE,5.05759434857225e-05,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2347","LOC111564869",NA,-0.505146446623058,0.000808670857456054,0.0374323216852636,0.781171058323374,0.542578768308322,0.000145802807253421,0.000273619621037486,NA,FALSE,0.0170360787860245,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2518","LOC111577263","aromatase",0.268259616697591,0.282945517556262,-0.843468580581106,0.000529253946194363,-1.1117281972787,4.11224090053408e-06,8.29772204085218e-06,NA,FALSE,0.00054096090922841,1,"Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"2877","immp2l","inner mitochondrial membrane peptidase subunit 2",1.07345537126525,0.000238134899572843,1.03408630298887,0.000322397669468755,-0.0393690682763862,0.8566183523467,0.000452153918155683,NA,FALSE,0.0276401102955688,1,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"3038","LOC111587547","homeobox protein DBX1-B-like",-0.952387677608091,0.00953088841116858,0.702025041699238,0.0209197202546169,1.65441271930733,1.4473352807185e-06,7.53822844468413e-06,NA,FALSE,0.000492811684571225,1,"Transiently upregulated, high rebound","Transiently","Upregulated","Transiently Upregulated"
"3339","LOC129348729",NA,0.925989126242929,0.00364332492709658,-0.198007791497595,0.571881526821497,-1.12399691774052,0.000245373603902895,0.000302235302031628,NA,FALSE,0.0186695743656545,1,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"5366","gli1","GLI family zinc finger 1",-0.638162349967846,6.93605712762454e-06,-0.0149952610172345,0.910402623863357,0.623167088950612,4.71370622060215e-06,1.58692269401119e-06,NA,FALSE,0.000104616878441326,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"5649","LOC111584294","bromodomain-containing protein 3",0.140374279872574,0.463957600562695,0.615616248508843,0.000378730448725602,0.475241968636268,0.0027788961183475,0.000292739602178263,NA,FALSE,0.0181305961506985,1,"Transiently upregulated, full rebound","Transiently","Upregulated","Transiently Upregulated"
"6714","LOC111583974",NA,-0.826296700563297,0.000235041366581618,-0.162716045322942,0.436709857219131,0.663580655240354,0.00224468902187399,0.000541977051745871,NA,FALSE,0.0329597672166384,1,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
