"","cells_expressing_D","cells_expressing_F","cells_expressing_M","cells_total_D","cells_total_F","cells_total_M","prop_expressing_D","prop_expressing_F","prop_expressing_M","anova_p.value","d_f_p.value","d_m_p.value","f_m_p.value","singular","warning","gene","cluster","anova_q.value","d_f_q.value","d_m_q.value","f_m_q.value"
"1",51,61,58,85,111,104,0.6,0.54954954954955,0.557692307692308,0.759387921187216,0.479587931676687,0.558265896981421,0.904467059086616,TRUE,NA,"LOC129348986",28,0.995616406723743,0.940542981122785,0.943221491587426,0.984602820958173
"2",25,24,18,85,111,104,0.294117647058824,0.216216216216216,0.173076923076923,0,0,0,2.77281223559839e-102,FALSE,"Model failed to converge with max|grad| = 0.015657","trip4",28,0,0,0,5.38834692471858e-100
"3",4,6,1,85,111,104,0.0470588235294118,0.0540540540540541,0.00961538461538462,0.261484032239168,0.825559087064272,0.149250216319789,0.103592622750508,TRUE,NA,"cln6a",28,0.995616406723743,0.964491197653157,0.921715824146031,0.984602820958173
"4",2,5,1,85,111,104,0.0235294117647059,0.045045045045045,0.00961538461538462,0.319319538017651,0.429070566745715,0.461183657761285,0.152250702483974,TRUE,NA,"LOC118470268",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"5",8,11,7,85,111,104,0.0941176470588235,0.0990990990990991,0.0673076923076923,0.683671497900256,0.907017521698708,0.499421204828346,0.403006962070838,TRUE,NA,"rps17",28,0.995616406723743,0.970919827203148,0.922887584921307,0.984602820958173
"6",11,18,11,85,111,104,0.129411764705882,0.162162162162162,0.105769230769231,0.477746178127161,0.522964782999174,0.614670145597392,0.229508138304749,TRUE,NA,"csnk1g1",28,0.995616406723743,0.964491197653157,0.962456333509531,0.984602820958173
"7",7,6,7,85,111,104,0.0823529411764706,0.0540540540540541,0.0673076923076923,0.750658531472208,0.44928283522349,0.735042879145967,0.681544417000352,FALSE,NA,"LOC111571203",28,0.995616406723743,0.937851254445298,0.962456333509531,0.984602820958173
"8",54,67,62,85,111,104,0.635294117647059,0.603603603603604,0.596153846153846,0.936983266355139,0.765529249603328,0.742171016055107,0.969438343394137,FALSE,NA,"neo1a",28,0.995616406723743,0.964491197653157,0.962456333509531,0.986413916102498
"9",36,36,28,85,111,104,0.423529411764706,0.324324324324324,0.269230769230769,0.0815162428812661,0.154311457270143,0.0267241722659247,0.37780525818373,TRUE,NA,"LOC111567962",28,0.995616406723743,0.937851254445298,0.845301531066765,0.984602820958173
"10",20,15,13,85,111,104,0.235294117647059,0.135135135135135,0.125,0.0857924375489647,0.0726024153867233,0.0500394285956395,0.825393824519987,TRUE,NA,"bbs4",28,0.995616406723743,0.937851254445298,0.910924890700913,0.984602820958173
"11",6,4,2,85,111,104,0.0705882352941176,0.036036036036036,0.0192307692307692,0.237332330982596,0.301472992361978,0.108330696643206,0.483328225216094,FALSE,NA,"scamp2l",28,0.995616406723743,0.937851254445298,0.912329186595918,0.984602820958173
"12",8,15,12,85,111,104,0.0941176470588235,0.135135135135135,0.115384615384615,0.737556000512944,0.444332220994881,0.577574417180081,0.842486518080357,FALSE,NA,"myo9aa",28,0.995616406723743,0.937851254445298,0.958634435907684,0.984602820958173
"13",6,10,4,85,111,104,0.0705882352941176,0.0900900900900901,0.0384615384615385,0.373384108694043,0.624442174124348,0.344525804055003,0.16043756290917,FALSE,NA,"LOC111580711",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
"14",2,4,3,85,111,104,0.0235294117647059,0.036036036036036,0.0288461538461538,0.876706361820689,0.617064075964689,0.821052568124554,0.767032652533669,TRUE,NA,"anp32a",28,0.995616406723743,0.964491197653157,0.962456333509531,0.984602820958173
"15",10,9,7,85,111,104,0.117647058823529,0.0810810810810811,0.0673076923076923,0.463484809241714,0.393659347781145,0.234368749936167,0.700953124819227,TRUE,NA,"coro2ba",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"16",2,7,4,85,111,104,0.0235294117647059,0.0630630630630631,0.0384615384615385,0.406044342555084,0.20763203431025,0.56407063386639,0.41777866479032,TRUE,NA,"itga11a",28,0.995616406723743,0.937851254445298,0.943221491587426,0.984602820958173
"17",1,3,2,85,111,104,0.0117647058823529,0.027027027027027,0.0192307692307692,0.758254826873136,0.466597386392872,0.685839116032936,0.705980226846709,TRUE,NA,"LOC111564418",28,0.995616406723743,0.937851254445298,0.962456333509531,0.984602820958173
"18",7,3,7,85,111,104,0.0823529411764706,0.027027027027027,0.0673076923076923,0.241143393754938,0.0966425754871513,0.694854697386902,0.175118894396341,TRUE,NA,"LOC111564410",28,0.995616406723743,0.937851254445298,0.962456333509531,0.984602820958173
"19",10,10,5,85,111,104,0.117647058823529,0.0900900900900901,0.0480769230769231,0.231815915589987,0.528733310367839,0.0878266083166003,0.234061156244817,TRUE,NA,"cars1",28,0.995616406723743,0.964491197653157,0.910924890700913,0.984602820958173
"20",3,3,4,85,111,104,0.0352941176470588,0.027027027027027,0.0384615384615385,0.891341720334167,0.739882169001914,0.908706829627056,0.63854188801123,TRUE,NA,"pex16",28,0.995616406723743,0.964491197653157,0.962456333509531,0.984602820958173
"21",13,12,10,85,111,104,0.152941176470588,0.108108108108108,0.0961538461538462,0.456621796764811,0.353211257561996,0.238557985823197,0.772678820486798,TRUE,NA,"arfgap2",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"22",14,13,8,85,111,104,0.164705882352941,0.117117117117117,0.0769230769230769,0.183953668233691,0.34007314981827,0.0668924381064211,0.32439587590714,TRUE,NA,"glceb",28,0.995616406723743,0.937851254445298,0.910924890700913,0.984602820958173
"23",9,12,7,85,111,104,0.105882352941176,0.108108108108108,0.0673076923076923,0.533899109514633,0.960180100456675,0.34704837178828,0.29634703959774,TRUE,NA,"tle3b",28,0.995616406723743,0.988630466952543,0.922887584921307,0.984602820958173
"24",18,11,8,85,111,104,0.211764705882353,0.0990990990990991,0.0769230769230769,0.074458201379346,0.0965409470169727,0.0348380983134648,0.579962473708563,FALSE,NA,"LOC111564639",28,0.995616406723743,0.937851254445298,0.886203470832213,0.984602820958173
"25",23,25,23,85,111,104,0.270588235294118,0.225225225225225,0.221153846153846,0.684491742353263,0.464726733387625,0.431402171138771,0.942888443864797,TRUE,NA,"pias1a",28,0.995616406723743,0.937851254445298,0.922887584921307,0.984602820958173
"26",4,8,12,85,111,104,0.0470588235294118,0.0720720720720721,0.115384615384615,0.225175572120265,0.472327493439379,0.10382116565468,0.278579057676789,TRUE,NA,"skor1a",28,0.995616406723743,0.937851254445298,0.910924890700913,0.984602820958173
"27",21,26,20,85,111,104,0.247058823529412,0.234234234234234,0.192307692307692,0.629546699444457,0.834931030044726,0.364615899785986,0.454361512414616,TRUE,NA,"map2k5",28,0.995616406723743,0.964491197653157,0.922887584921307,0.984602820958173
"28",6,3,9,85,111,104,0.0705882352941176,0.027027027027027,0.0865384615384615,0.193995353555821,0.163840231312754,0.687015064670845,0.0717571251570039,TRUE,NA,"smad3a",28,0.995616406723743,0.937851254445298,0.962456333509531,0.984602820958173
"29",5,6,5,85,111,104,0.0588235294117647,0.0540540540540541,0.0480769230769231,0.983627746792558,0.904289464997671,0.858614999247925,0.949343582262907,FALSE,NA,"smad6a",28,0.996453422597048,0.970919827203148,0.962456333509531,0.984602820958173
