"","gene","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","warning","singular","f_m_q.value","d_m_q.value","d_f_q.value","cluster","class","issignif"
"1","nptxrb",0.312310814611152,0.23140787904093,-0.731960039138598,0.00654021554244522,-1.04427085374975,3.29671207543254e-05,NA,TRUE,1,1,0.0188381605069149,"19_0","Late Upregulated","*"
"2","LOC111565100",2.64386407567703,2.59857658996256e-05,-0.789543890132511,0.399134453548219,-3.43340796580954,4.09635164097753e-06,NA,TRUE,0.014697337064127,1,0.00255115257029329,"19_0","Late Upregulated","*"
"3","ca16b",1.25084631673161,1.86202071954768e-06,0.797766618595134,0.00285483295263887,-0.453079698136475,0.0304897470213493,NA,TRUE,0.00117281914139873,1,1,"19_0","Terminally Upregulated","*"
"4","cbln4",1.33297533865621,9.63042242398232e-05,-0.0119203864246473,0.974101256678561,-1.34489572508086,1.82105161686843e-05,NA,FALSE,0.0518247625355817,1,0.010971440110846,"19_0","Late Upregulated","*"
"5","shc1",-1.27273241345865,6.27995886016188e-06,-0.525708770780911,0.038030603286666,0.747023642677738,0.00523336444519243,NA,TRUE,0.00378353869240275,1,1,"19_0","Terminally Downregulated","*"
"6","grm5a",1.19959970453592,0.000211083395978561,-0.381208407614813,0.283317898092152,-1.58080811215074,1.32087538540058e-06,NA,FALSE,0.106363004293633,1,0.00085131954490678,"19_0","Late Upregulated","*"
"7","gabra3",-0.901092291941489,5.51993059476144e-05,-0.187503673743937,0.359070061811059,0.713588618197551,0.000644368543256634,NA,TRUE,0.0305958713006437,1,0.283460790600228,"19_0","Terminally Downregulated","*"
"8","LOC111567620",-1.16366722687914,0.00146513754688593,0.228796992029291,0.414306641843244,1.39246421890843,4.37220183651528e-05,NA,TRUE,0.520574640697394,1,0.0242342403394369,"19_0","Late Downregulated","*"
"9","stac",0.939645988181661,0.0120726055476158,-0.988396041705397,0.0321729396844138,-1.92804202988706,3.59357860345235e-06,NA,FALSE,1,1,0.00228948131990985,"19_0","Late Upregulated","*"
"10","LOC111587080",1.17859718090637,0.00318083565868631,-0.359411624596449,0.428233914703991,-1.53800880550282,7.51499426438729e-05,NA,FALSE,0.885966627586255,1,0.0400520290467749,"19_0","Late Upregulated","*"
"11","LOC111571714",1.29151013865551,0.000888722308889709,-1.28985885508539,0.00854784045886452,-2.5813689937409,9.01929019776903e-09,NA,FALSE,0.354389209619704,1,6.09660020831636e-06,"19_0","Late Upregulated","*"
"12","LOC111587577",0.652791022217947,0.0185701633435898,-0.478981279044645,0.13463108138544,-1.13177230126259,3.38530908483507e-05,NA,TRUE,1,1,0.0191470318320651,"19_1","Late Upregulated","*"
