gene,method
LOC111571736,MI
zeb2b,MI
shisa9a,MI
LOC111584631,MI
gria3b,MI
LOC111572241,MI
gria4b,MI
zfhx3b,MI
LOC111569704,MI
gfra4a,MI
slc4a11,MI
slc8a1b,MI
rtn4rl1b,MI
slc32a1,MI
cacna1bb,MI
grm8a,MI
bcl11aa,MI
alk,MI
atrnl1a,MI
slc17a6b,MI
nfixa,MI
slc12a5a,MI
LOC111586508,MI
slc4a4a,NS
gja1b,NS
kcnd1,NS
rras2,NS
slco2b1,NS
susd5,NS
sema5bb,NS
LOC111563809,NS
LOC111583098,NS
neto1l,NS
crocc2,NS
ttll3,NS
rap1gapl,NS
nr4a3,NS
nr5a2,NS
zic3,NS
LOC111577964,NS
LOC111582483,NS
gata2b,NS
LOC111563316,NS
plp1b,NS
ptprc,NS
LOC111581922,NS
bcl11ba,NS
irx1a,NS
LOC111580252,NS
LOC111574354,NS
pde9ac,NS
st6galnac5a,NS
fat2,NS
LOC111578115,NS
fat1a,NS
LOC111585303,NS
LOC111585833,NS
LOC111562582,NS
cenpp,NS
kcnt1a,NS
LOC111586745,NS
grik1a,NS
plch1,NS
LOC111589158,NS
lhx9,NS
LOC111577378,NS
prkd1,NS
efna3a,NS
zfhx4,NS
znf536,NS
kcnip4a,NS
gfra3,NS
LOC111568697,NS
fibcd1b,NS
soul5l,NS
ank1a,NS
