"iteration","accuracy_cluster6","overall_accuracy","n_genes","genes"
1,0.525291828793774,0.781139544747632,120,"zfpm1,tmem65,cpne4b,tmsb1,rbfox1,ndufa9a,brk1,dlgap4b,ddx6,kcnn3,serbp1b,LOC111580984,LOC129349115,LOC111580509,LOC111576024,LOC111577534,sema4ab,aip,grm1b,LOC111566986,LOC111584890,chrnb2,bbln"
2,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
3,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
4,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
5,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
6,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
7,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
8,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
9,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
10,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
11,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
12,0.505836575875486,0.787643150007069,120,"sema4ab,LOC111588774,taf7,LOC111566722,rnf34b,LOC111581984,LOC111574342,LOC111578044,wdr93,LOC111568048,LOC111580081,LOC129348286,LOC111571753,timp2b,LOC111566014,LOC111578534,slc6a1a,LOC111574860,slc1a1,cpne7,c24h7orf57,rab35b,ogdhl"
