,0
0,LOC111579075
1,nrxn3a
2,nfixb
3,LOC111565647
4,bcl11aa
5,cacna1g
6,alk
7,gabbr2
8,LOC111564555
9,gfra4a
10,grin2da
11,gria4b
12,slc4a11
13,LOC111562889
14,LOC111566277
15,LOC111568755
16,grm8a
17,elavl2
18,mical3b
19,ca10a
20,LOC111584103
21,LOC111575476
22,grid1b
23,adgrd2
24,lamb2l
25,fgfbp3
26,mlc1
27,LOC111569776
28,glra1
29,LOC111562453
30,gabra3
31,nr5a2
32,LOC111581829
33,cpne4a
34,nos1
35,rap1gapl
36,nptx2b
37,tac3a
38,nr4a3
39,kcnt1a
40,slc32a1
41,tshz1
42,nrn1la
43,LOC111581034
44,arpp21
45,lrrc74b
46,crocc2
47,fsip1
48,ttll3
49,gata2b
50,tfap2a
51,gata3
52,hs3st3b1b
53,aplnra
54,aplnrb
55,acanb
56,phlda2
57,LOC111588659
58,itga11b
59,irx1a
60,cplx3b
61,cracr2aa
62,LOC111583798
63,pde9ac
64,LOC111573549
65,LOC129347275
66,erbb3b
67,cldnk
68,pttg1ipb
69,LOC111564876
70,LOC111571757
71,ndnf
72,six6a
73,LOC118471517
74,ptprc
75,antxr2a
76,LOC111562384
77,LOC111588392
78,tuft1a
79,prkcq
80,prdm8b
81,LOC111563456
82,LOC111583098
83,cygb2
84,tox2
85,gpr78b
86,nr4a2a
87,tmcc3
88,LOC111575552
89,susd5
90,rasal2
91,kcnq5a
92,grm2a
93,LOC111577964
94,ebf1a
95,LOC111582483
96,LOC111586849
97,slco2b1
98,itgb2
99,LOC111581578
100,zgc:64051
101,LOC111578115
102,kcnq1.1
103,LOC111563624
104,LOC111584963
105,LOC111585833
106,LOC111585303
107,LOC111570746
108,sv2ca
109,LOC111581922
110,lhx6a
111,gad1a
112,tacr1a
113,itga3b
114,LOC111585784
115,LOC111583368
116,creb3l1
117,LOC111582477
118,galr1a
119,LOC111569694
120,cenpp
121,LOC111562582
122,slc20a1b
