cluster_id,n_DARs,n_valid_testable,n_invalid,n_pearson_p_lt_0.05,percent_pearson_sig_valid,n_pearson_FDR_lt_0.05,n_abs_r_ge_0.5_and_p_lt_0.05,mean_abs_r_valid,median_abs_r_valid
0,8,7,1,2,28.57142857,2,2,0.361400046,0.333503238
1,11,6,5,2,33.33333333,1,1,0.306958946,0.204676597
2,9,3,6,1,33.33333333,1,1,0.388424798,0.276808358
3,5,3,2,0,0,0,0,0.075079536,0.072767057
5,1,0,1,0,NA,0,0,NA,NA
6,3,1,2,0,0,0,0,0.024463521,0.024463521
11,1,0,1,0,NA,0,0,NA,NA
12,1,0,1,0,NA,0,0,NA,NA
13,2,2,0,0,0,0,0,0.205907346,0.205907346
15,3,1,2,0,0,0,0,0.292840073,0.292840073
17,1,0,1,0,NA,0,0,NA,NA
19,2,0,2,0,NA,0,0,NA,NA
20,1,0,1,0,NA,0,0,NA,NA
22,4,0,4,0,NA,0,0,NA,NA
23,1,0,1,0,NA,0,0,NA,NA
