Manuscript Alias,NIH Accession
cyp19a1b,LOC111577263
ar-like,LOC111568069
gnrh1,LOC111571064
nlrc3-like,LOC111579712
lrrc49-like,LOC111577669
gjc1-like,LOC111574283
pp1r37-like,si:dkey-288a3.2
arhgef28-like,LOC111566713
fmnl1-like,LOC111564014
COUPTFII-like,LOC111563338
pknox2-like,LOC111568198
brd3-like,LOC111584294
dbx1b-like,LOC111587547
ldlrp8-like,LOC111587111
cd87-like,LOC111577100
rgs9-like,LOC111567440
frmpd4-like,LOC111571714
shisal2a-like,LOC111576154
dse-like,LOC111585095
gpcr22-like,LOC111565100
nxph1-like,LOC111588913
capn1-like,LOC111568896
znf385C-like,LOC111566726
tenm3-like,LOC111562847
gsta1-like,LOC111572204
kcn4-like,LOC111566724
neurl1-like,LOC111580719
lmbrd2b-like,LOC111576468
sinhcaf-like,LOC111565832
slc25a1-like,si:dkey-178e17.1
myo1c-like,LOC111562717
kcnd3-like,LOC111576659
ca10-like,LOC111563870
cntnap4-like ,LOC111567620
capn2-like,LOC111568891
dmbx1b-like,LOC111585833
lhx8-like,LOC111581922
gad1b-like,LOC111588076
cd1b-like,LOC111577964
