"","cluster","p","d_m_p.value","f_m_p.value","d_f_p.value","d_m_estimate","f_m_estimate","d_f_estimate","av_q.value","sig","singular"
"1",26,0.0400392337908885,0.224410101080873,0.30519026658405,0.017725224150755,0.481126546378103,-0.49853061833771,0.979657164715812,0.0772185223109992,NA,FALSE
"2",25,0.285936433512254,0.294079620622564,0.120553630659154,0.633634388296933,-0.19593839146746,-0.287099604712474,0.091161213245014,0.350921986583221,NA,FALSE
"3",24,8.50805046664444e-05,0.38910537002039,0.00154261951707159,4.91359141518742e-05,0.127150871871904,-0.535926892954551,0.663077764826455,0.0004594347251988,"*",FALSE
"4",23,0.168222235737822,0.0601114926953448,0.303961120046612,0.35294822318108,-0.285032209013505,-0.145467160673145,-0.139565048340361,0.239052650785326,NA,FALSE
"5",22,0.00265796809825882,0.634228634605556,0.00613398173808002,0.00138048411827312,0.0594358502198754,-0.412633501490819,0.472069351710694,0.0102521626647126,"*",FALSE
"6",21,0.236513249136182,0.38789312530678,0.43469113636254,0.0897691128734209,0.117321933188792,-0.108498249627087,0.225820182815878,0.319292886333846,NA,FALSE
"7",20,0.471056621911047,0.221419333776359,0.541058679215255,0.508295754203782,0.162906512926015,0.0805935410938831,0.0823129718321317,0.50874115166393,NA,FALSE
"8",19,0.0152783859227089,0.0183015104363542,0.848416153998705,0.00822760937080207,-0.278203891637464,0.0203089540603869,-0.298512845697851,0.0375014927193763,"*",FALSE
"9",18,0.0712942595195037,0.0781209828124585,0.0291737670908902,0.700461031125754,0.205849337068539,0.24621279118288,-0.040363454114341,0.113232059236859,NA,FALSE
"10",17,0.064481197075801,0.0255925965361481,0.516590084703518,0.0911053319288661,0.240888998806737,0.0705426999736095,0.170346298833127,0.108812020065414,NA,FALSE
"11",16,0.87517488661674,0.864964318986593,0.614037618811118,0.738509787775586,-0.0180893385729762,-0.0524519805827894,0.0343626420098132,0.87517488661674,NA,FALSE
"12",15,0.413230222504205,0.711450211151356,0.373325753230503,0.196796178902987,0.0395995729715823,-0.095367570234181,0.134967143205763,0.47957720029931,NA,FALSE
"13",14,0.0252435523889403,0.00773469399596505,0.0696563455501241,0.340353188625532,0.284865192793783,0.192480743925551,0.0923844488682326,0.0524289165001068,NA,FALSE
"14",13,0.521339718449872,0.831342702569384,0.286028265293675,0.39003695664597,-0.0188928115158532,-0.0933502735312316,0.0744574620153784,0.541391246082559,NA,FALSE
"15",12,0.0212879531455148,0.00591764967473698,0.0942247554666461,0.235119615776307,-0.248120639806544,-0.142280626515853,-0.105840013290691,0.0478978945774084,"*",FALSE
"16",11,0.00783847126349553,0.0370895455341043,0.00227055238747,0.346930094676462,0.185817441601575,0.261063697618164,-0.0752462560165892,0.0235154137904866,"*",FALSE
"17",10,0.0879162398510634,0.0421022669511873,0.736973062212657,0.0749369940888293,-0.169343131460194,-0.0262430663732959,-0.143100065086898,0.131874359776595,NA,FALSE
"18",9,3.10662972980026e-05,0.157693180056234,9.22133145418448e-06,0.00246462045969084,-0.113046197993918,-0.365199746728853,0.252153548734935,0.000209697506761518,"*",FALSE
"19",8,0.266226066813433,0.996166039963164,0.170444451162961,0.162197705439028,-0.000376761347178514,0.10216253912611,-0.102539300473289,0.342290657331557,NA,FALSE
"20",7,7.24063545511161e-11,0.0229152591443137,2.70451557175569e-05,5.89961258197287e-11,-0.188118132406832,0.303957031808347,-0.492075164215179,9.77485786440067e-10,"*",FALSE
"21",6,0.0615292950606526,0.996166042293917,0.0470335409321613,0.0430384025503223,-0.00037676135075258,0.146735260857297,-0.14711202220805,0.108812020065414,NA,FALSE
"22",5,0.426290844710497,0.212028332342126,0.742267388436957,0.331807549683862,-0.091082615381406,-0.022928557899803,-0.068154057481603,0.47957720029931,NA,FALSE
"23",4,0.00536101781248464,0.00841819029166375,0.798681393656926,0.00279519675212347,-0.176587736211425,0.0155012603521557,-0.19208899656358,0.0180934351171357,"*",FALSE
"24",3,0.0150417328169172,0.106991448663561,0.00376995149650513,0.210884795609516,-0.0963196500984538,-0.170438754204807,0.0741191041063536,0.0375014927193763,"*",FALSE
"25",2,9.6096084491034e-15,0.000540598625144988,4.42983280058343e-15,8.31837794183323e-06,0.204823221285977,0.435394979470534,-0.230571758184556,2.59459428125792e-13,"*",FALSE
"26",1,0.000956184230030789,0.00205506128565282,0.907044417771176,0.000803003246642579,0.152544832589047,-0.00577744887369666,0.158322281462744,0.00430282903513855,"*",FALSE
"27",0,1.12863686955763e-05,0.779071012769789,9.37993690439974e-05,2.07100667187463e-05,0.0103973661509525,-0.143619391567648,0.154016757718601,0.000101577318260186,"*",FALSE
