"","individual","Status","total_cells","res0.8_50nn_40PC_45LSI","ncells"
"1","A12D","E",1726,"0",413
"2","A12D","E",1726,"3",143
"3","A12D","E",1726,"4",106
"4","A12D","E",1726,"5",107
"5","A12D","E",1726,"6",81
"6","A12D","E",1726,"7",63
"7","A12D","E",1726,"8",98
"8","A12D","E",1726,"9",190
"9","A12D","E",1726,"10",87
"10","A12D","E",1726,"12",74
"11","A12D","E",1726,"14",64
"12","A12D","E",1726,"16",54
"13","A12D","E",1726,"17",60
"14","A12D","E",1726,"18",50
"15","A12D","E",1726,"19",26
"16","A12D","E",1726,"21",29
"17","A12D","E",1726,"22",25
"18","A12D","E",1726,"23",18
"19","A12D","E",1726,"24",29
"20","A12D","E",1726,"25",9
"21","A22D","D",1090,"0",279
"22","A22D","D",1090,"3",92
"23","A22D","D",1090,"4",116
"24","A22D","D",1090,"5",80
"25","A22D","D",1090,"6",58
"26","A22D","D",1090,"7",59
"27","A22D","D",1090,"8",74
"28","A22D","D",1090,"9",39
"29","A22D","D",1090,"10",29
"30","A22D","D",1090,"12",33
"31","A22D","D",1090,"14",59
"32","A22D","D",1090,"16",11
"33","A22D","D",1090,"17",27
"34","A22D","D",1090,"18",42
"35","A22D","D",1090,"19",22
"36","A22D","D",1090,"21",32
"37","A22D","D",1090,"22",14
"38","A22D","D",1090,"23",11
"39","A22D","D",1090,"24",4
"40","A22D","D",1090,"25",9
"41","A25D","D",941,"0",314
"42","A25D","D",941,"3",53
"43","A25D","D",941,"4",55
"44","A25D","D",941,"5",32
"45","A25D","D",941,"6",46
"46","A25D","D",941,"7",55
"47","A25D","D",941,"8",53
"48","A25D","D",941,"9",52
"49","A25D","D",941,"10",47
"50","A25D","D",941,"12",28
"51","A25D","D",941,"14",39
"52","A25D","D",941,"16",27
"53","A25D","D",941,"17",24
"54","A25D","D",941,"18",27
"55","A25D","D",941,"19",23
"56","A25D","D",941,"21",7
"57","A25D","D",941,"22",28
"58","A25D","D",941,"23",7
"59","A25D","D",941,"24",14
"60","A25D","D",941,"25",10
"61","B21F","F",1190,"0",328
"62","B21F","F",1190,"3",117
"63","B21F","F",1190,"4",67
"64","B21F","F",1190,"5",84
"65","B21F","F",1190,"6",85
"66","B21F","F",1190,"7",44
"67","B21F","F",1190,"8",79
"68","B21F","F",1190,"9",36
"69","B21F","F",1190,"10",64
"70","B21F","F",1190,"12",71
"71","B21F","F",1190,"14",44
"72","B21F","F",1190,"16",39
"73","B21F","F",1190,"17",21
"74","B21F","F",1190,"18",33
"75","B21F","F",1190,"19",26
"76","B21F","F",1190,"21",21
"77","B21F","F",1190,"23",18
"78","B21F","F",1190,"24",2
"79","B21F","F",1190,"25",11
"80","B21M","M",809,"0",243
"81","B21M","M",809,"3",74
"82","B21M","M",809,"4",60
"83","B21M","M",809,"5",55
"84","B21M","M",809,"6",30
"85","B21M","M",809,"7",38
"86","B21M","M",809,"8",52
"87","B21M","M",809,"9",48
"88","B21M","M",809,"10",33
"89","B21M","M",809,"12",18
"90","B21M","M",809,"14",15
"91","B21M","M",809,"16",23
"92","B21M","M",809,"17",23
"93","B21M","M",809,"18",36
"94","B21M","M",809,"19",12
"95","B21M","M",809,"21",12
"96","B21M","M",809,"22",16
"97","B21M","M",809,"23",5
"98","B21M","M",809,"24",10
"99","B21M","M",809,"25",6
"100","B23F","F",935,"0",221
"101","B23F","F",935,"3",111
"102","B23F","F",935,"4",63
"103","B23F","F",935,"5",50
"104","B23F","F",935,"6",69
"105","B23F","F",935,"7",26
"106","B23F","F",935,"8",84
"107","B23F","F",935,"9",43
"108","B23F","F",935,"10",57
"109","B23F","F",935,"12",51
"110","B23F","F",935,"14",46
"111","B23F","F",935,"16",27
"112","B23F","F",935,"17",21
"113","B23F","F",935,"18",10
"114","B23F","F",935,"19",25
"115","B23F","F",935,"21",22
"116","B23F","F",935,"23",5
"117","B23F","F",935,"24",2
"118","B23F","F",935,"25",2
"119","B23M","M",773,"0",161
"120","B23M","M",773,"3",83
"121","B23M","M",773,"4",63
"122","B23M","M",773,"5",27
"123","B23M","M",773,"6",46
"124","B23M","M",773,"7",58
"125","B23M","M",773,"8",46
"126","B23M","M",773,"9",35
"127","B23M","M",773,"10",62
"128","B23M","M",773,"12",40
"129","B23M","M",773,"14",30
"130","B23M","M",773,"16",23
"131","B23M","M",773,"17",18
"132","B23M","M",773,"18",5
"133","B23M","M",773,"19",21
"134","B23M","M",773,"21",14
"135","B23M","M",773,"22",10
"136","B23M","M",773,"23",12
"137","B23M","M",773,"24",15
"138","B23M","M",773,"25",4
"139","C13F","F",1889,"0",385
"140","C13F","F",1889,"3",181
"141","C13F","F",1889,"4",236
"142","C13F","F",1889,"5",120
"143","C13F","F",1889,"6",103
"144","C13F","F",1889,"7",215
"145","C13F","F",1889,"8",89
"146","C13F","F",1889,"9",98
"147","C13F","F",1889,"10",65
"148","C13F","F",1889,"12",40
"149","C13F","F",1889,"14",52
"150","C13F","F",1889,"16",32
"151","C13F","F",1889,"17",36
"152","C13F","F",1889,"18",74
"153","C13F","F",1889,"19",57
"154","C13F","F",1889,"21",21
"155","C13F","F",1889,"22",17
"156","C13F","F",1889,"23",31
"157","C13F","F",1889,"24",17
"158","C13F","F",1889,"25",20
"159","C13M","M",1761,"0",489
"160","C13M","M",1761,"3",155
"161","C13M","M",1761,"4",140
"162","C13M","M",1761,"5",94
"163","C13M","M",1761,"6",81
"164","C13M","M",1761,"7",93
"165","C13M","M",1761,"8",89
"166","C13M","M",1761,"9",82
"167","C13M","M",1761,"10",98
"168","C13M","M",1761,"12",88
"169","C13M","M",1761,"14",39
"170","C13M","M",1761,"16",50
"171","C13M","M",1761,"17",51
"172","C13M","M",1761,"18",13
"173","C13M","M",1761,"19",58
"174","C13M","M",1761,"21",31
"175","C13M","M",1761,"22",34
"176","C13M","M",1761,"23",39
"177","C13M","M",1761,"24",16
"178","C13M","M",1761,"25",21
"179","C14F","F",1122,"0",303
"180","C14F","F",1122,"3",59
"181","C14F","F",1122,"4",96
"182","C14F","F",1122,"5",59
"183","C14F","F",1122,"6",68
"184","C14F","F",1122,"7",114
"185","C14F","F",1122,"8",56
"186","C14F","F",1122,"9",24
"187","C14F","F",1122,"10",70
"188","C14F","F",1122,"12",43
"189","C14F","F",1122,"14",20
"190","C14F","F",1122,"16",48
"191","C14F","F",1122,"17",43
"192","C14F","F",1122,"18",31
"193","C14F","F",1122,"19",32
"194","C14F","F",1122,"21",2
"195","C14F","F",1122,"22",12
"196","C14F","F",1122,"23",16
"197","C14F","F",1122,"24",17
"198","C14F","F",1122,"25",9
"199","C14M","M",1188,"0",331
"200","C14M","M",1188,"3",121
"201","C14M","M",1188,"4",84
"202","C14M","M",1188,"5",90
"203","C14M","M",1188,"6",68
"204","C14M","M",1188,"7",59
"205","C14M","M",1188,"8",60
"206","C14M","M",1188,"9",39
"207","C14M","M",1188,"10",59
"208","C14M","M",1188,"12",52
"209","C14M","M",1188,"14",27
"210","C14M","M",1188,"16",31
"211","C14M","M",1188,"17",20
"212","C14M","M",1188,"18",30
"213","C14M","M",1188,"19",30
"214","C14M","M",1188,"21",19
"215","C14M","M",1188,"22",28
"216","C14M","M",1188,"23",17
"217","C14M","M",1188,"24",14
"218","C14M","M",1188,"25",9
"219","C15F","F",1001,"0",282
"220","C15F","F",1001,"3",86
"221","C15F","F",1001,"4",51
"222","C15F","F",1001,"5",62
"223","C15F","F",1001,"6",67
"224","C15F","F",1001,"7",50
"225","C15F","F",1001,"8",62
"226","C15F","F",1001,"9",37
"227","C15F","F",1001,"10",67
"228","C15F","F",1001,"12",40
"229","C15F","F",1001,"14",26
"230","C15F","F",1001,"16",22
"231","C15F","F",1001,"17",33
"232","C15F","F",1001,"18",24
"233","C15F","F",1001,"19",24
"234","C15F","F",1001,"21",20
"235","C15F","F",1001,"22",17
"236","C15F","F",1001,"23",18
"237","C15F","F",1001,"24",8
"238","C15F","F",1001,"25",5
"239","C15M","M",957,"0",297
"240","C15M","M",957,"3",87
"241","C15M","M",957,"4",62
"242","C15M","M",957,"5",79
"243","C15M","M",957,"6",53
"244","C15M","M",957,"7",17
"245","C15M","M",957,"8",40
"246","C15M","M",957,"9",46
"247","C15M","M",957,"10",44
"248","C15M","M",957,"12",40
"249","C15M","M",957,"14",27
"250","C15M","M",957,"16",32
"251","C15M","M",957,"17",23
"252","C15M","M",957,"18",20
"253","C15M","M",957,"19",18
"254","C15M","M",957,"21",18
"255","C15M","M",957,"22",23
"256","C15M","M",957,"23",6
"257","C15M","M",957,"24",15
"258","C15M","M",957,"25",10
"259","C21D","D",986,"0",328
"260","C21D","D",986,"3",111
"261","C21D","D",986,"4",23
"262","C21D","D",986,"5",59
"263","C21D","D",986,"6",52
"264","C21D","D",986,"7",23
"265","C21D","D",986,"8",47
