individual,Status,group,ESR2B_score,AR_score,PGR_score,ESR2B_n_genes,AR_n_genes,PGR_n_genes
B21M,M,M,-0.1345729394580571,-0.4073503365765588,-0.2365659797055689,1363,477,2300
B23M,M,M,-0.05161201081921441,-0.01836091302385366,-0.014908694452966758,1363,477,2300
C13M,M,M,0.05603646377080849,0.08267673763814737,0.11676535914925257,1363,477,2300
C14M,M,M,0.056209927224812904,0.07881461556956414,0.021099426207988683,1363,477,2300
C15M,M,M,-0.0355816726744016,-0.04391827558580265,-0.035792605989877116,1363,477,2300
D4M,M,M,-0.10432042047999339,-0.14472691587990036,-0.18075399742333276,1363,477,2300
A22D,D,I,-0.1487336021302316,-0.13950882777464507,-0.11160831510222284,1363,477,2300
A25D,D,I,0.12472913216455687,0.24637357201863383,0.1248041357194451,1363,477,2300
C21D,D,I,-0.04514205381235723,-0.010387486221338659,-0.089125797774554,1363,477,2300
T13D,D,I,-0.03196757694746976,-0.0746591007471001,-0.002016701969092994,1363,477,2300
T14D,D,I,0.13957702589222518,0.21177134583886179,0.1251009728428639,1363,477,2300
T19D,D,I,-0.08493897587455505,-0.07853372187957834,-0.06498334959955959,1363,477,2300
T5D,D,I,-0.12748654681998556,-0.06599396371819215,-0.09081445585596494,1363,477,2300
A12D,E,LI,0.1586126461179679,0.31984013088378416,0.24281631323152278,1363,477,2300
T11D,E,LI,0.188463208012315,0.17937317480118645,0.2009849911678595,1363,477,2300
T17D,NF,NF,-0.0205350043512402,-0.08320185748499712,-0.04900404443201982,1363,477,2300
B21F,F,F,9.975911603854477e-4,-0.09081882014661832,-0.05937837754866826,1363,477,2300
B23F,F,F,0.09069032644429455,0.14214887440637536,0.09984146876706847,1363,477,2300
C13F,F,F,0.16835895776141374,0.10413699509100785,0.14417029881117427,1363,477,2300
C14F,F,F,-0.04931732135047284,-0.013594943622882997,0.003365316008717172,1363,477,2300
C15F,F,F,-0.09305129174256184,-0.10718325762117667,-0.11510026084025764,1363,477,2300
D4F,F,F,-0.05641586208823993,-0.08689702596491626,-0.028895701211806676,1363,477,2300
