individual,Status,group,ESR2B_accessibility_score,AR_accessibility_score,PGR_accessibility_score,ESR2B_n_genes,AR_n_genes,PGR_n_genes,ESR2B_n_peaks,AR_n_peaks,PGR_n_peaks
B21M,M,M,-0.10866972428325147,-0.1677293456628328,-0.07238454159483725,1214,445,2067,1220,446,2101
B23M,M,M,-0.09090887767258139,-0.040285422427175324,-0.06527390862522903,1214,445,2067,1220,446,2101
C13M,M,M,0.13069937658414787,0.13479375406678784,0.13697942930679008,1214,445,2067,1220,446,2101
C14M,M,M,0.04826257701172675,0.09828621955724161,0.03275792616111965,1214,445,2067,1220,446,2101
C15M,M,M,0.11152688747834967,0.010542888506049175,0.1182660020625706,1214,445,2067,1220,446,2101
D4M,M,M,-0.1271783872370375,-0.10507411570879727,-0.16688929740222586,1214,445,2067,1220,446,2101
A22D,D,I,-0.09153083397399808,-0.018710448567298688,-0.07330983540580138,1214,445,2067,1220,446,2101
A25D,D,I,-0.04715405083783593,0.06640098694384829,-0.0734895532889703,1214,445,2067,1220,446,2101
C21D,D,I,-0.10071423891338774,-0.06286203206110218,-0.058715950962199615,1214,445,2067,1220,446,2101
T13D,D,I,-0.10268769093214035,-0.058161177061010275,-0.10919334403481445,1214,445,2067,1220,446,2101
T14D,D,I,0.021921713777852236,-0.04412024640075574,0.062066577158763216,1214,445,2067,1220,446,2101
T19D,D,I,-0.025012790564987966,-0.01730031113209792,-0.017260289842071667,1214,445,2067,1220,446,2101
T5D,D,I,-0.15076648179204924,-0.20255193147633088,-0.11709324820564974,1214,445,2067,1220,446,2101
A12D,E,LI,0.07356488530608195,0.1088337378117554,0.07465649005549306,1214,445,2067,1220,446,2101
T11D,E,LI,0.03376912556725675,0.026416473821672958,0.06682729898138262,1214,445,2067,1220,446,2101
T17D,NF,NF,-0.1221951588554172,-0.16622204643380004,-0.17226046539069387,1214,445,2067,1220,446,2101
B21F,F,F,0.04870783138503015,0.030650256881520108,0.10108309146543085,1214,445,2067,1220,446,2101
B23F,F,F,0.13988851518492063,0.10776579613775801,0.12057244424136847,1214,445,2067,1220,446,2101
C13F,F,F,0.2608098408414068,0.2057746231435305,0.2540592744218628,1214,445,2067,1220,446,2101
C14F,F,F,0.14196530026975776,0.12091896167079973,0.1110438144290741,1214,445,2067,1220,446,2101
C15F,F,F,-0.04748234565536726,-0.058326700986918965,-0.06352516860404223,1214,445,2067,1220,446,2101
D4F,F,F,0.0031845273115238904,0.030960079377156547,-0.0889167449273201,1214,445,2067,1220,446,2101
