,Fish,Tank,Trigger,Prev_tank,Condition,Status,Status_Long,Time_Day_2,Behaviors_Day_2,Behaviors_Per_Time,Change_Length,Change_Mass,Log_11KT,Log_E2,Average_Area_2.5x,Total_Slides_With_Gonad,Estimated_Volume_2.5x,Log10_Volume,Percent_Testicular,Testicular_Estimate,Log10_Testicular_Estimate,Percent_Ovarian,Ovarian_Estimate,Log10_Ovarian_Estimate,length_final_cm,mass_final_cm,length_init_cm,mass_init_g
1,A12D,A12,pairing,A11,Experiment,E,Expanded,274,68,0.248175182,112.7272727,147.1429,1.53932706,NA,162318.6136,87,14121719.39,7.149887577,0,0,0,0.444624821,6278866.95,6.79788128,6.2,5.15,5.5,3.5
2,A12S,A12,pairing,A23,Experiment,EP,Expanded Partner,557,546,0.980251346,102.0833333,98.13953,2.631423474,NA,45782.46667,61,2792730.467,6.446029023,0.37269314,1040831.487,6.017380422,0.579203155,1617558.298,6.208859942,4.9,2.11,4.8,2.15
3,A22D,A22,pairing,B15,Experiment,D,Dominant,274,746,2.722627737,108.3333333,131.3889,3.124533568,NA,63569.20455,89,5657659.205,6.752636784,0.247576874,1400705.58,6.146346859,0.675497712,3821735.849,6.582260666,6.5,4.73,6,3.6
4,A22S,A22,pairing,B12,Experiment,S,Subordinate,24,2,0.083333333,100,97.60956,2.078529315,NA,30791.76923,31,954544.8462,5.979796337,5.94E-02,56713.75025,4.753688366,0.881610062,841536.3406,5.925072875,5.2,2.45,5.2,2.51
5,A25D,A25,pairing,T18,Experiment,D,Dominant,571,543,0.950963222,110.1694915,148.8827,2.473194909,NA,69189.02778,74,5119988.056,6.709268948,0.203388771,1041348.079,6.01759592,0.6836543,3500301.848,6.544105497,6.5,5.33,5.9,3.58
6,A25S,A25,pairing,C25,Experiment,S,Subordinate,162,0,0,102.0833333,93.18182,2.333185208,NA,37532.63158,40,1501305.263,6.176469007,0.127975843,192130.806,5.283597005,0.778046391,1168085.142,6.0674745,4.9,2.05,4.8,2.2
7,B21F,B21,NA,NA,Control,F,Female,449,120,0.267260579,NA,NA,1.66996737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,10.61,,
8,B21M,B21,NA,NA,Control,M,Male,600,600,1,NA,NA,2.894460065,NA,105617.05,81,8554981.05,6.932219052,0.7093771,6068707.645,6.783096216,0.22743091,1945667.128,6.289068542,5,2.49,,
9,B23F,B23,NA,NA,Control,F,Female,344,120,0.348837209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,10.07,,
10,B23M,B23,NA,NA,Control,M,Male,490,294,0.6,NA,NA,NA,NA,84679.2931,119,10076835.88,7.003324185,0.623477906,6282684.538,6.798145254,0.314964096,3173841.507,6.501585235,6.4,4.73,,
11,C13F,C13,NA,NA,Control,F,Female,258,71,0.275193798,NA,NA,1.558828525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,8.71,,
12,C13M,C13,NA,NA,Control,M,Male,596,601,1.008389262,NA,NA,2.797246761,NA,130529.3929,58,7570704.786,6.879136312,0.675877771,5116871.075,6.709004475,0.277331016,2099591.253,6.322134755,5.3,2.74,,
13,C14F,C14,NA,NA,Control,F,Female,158,89,0.563291139,NA,NA,1.440436766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,14.24,,
14,C14M,C14,NA,NA,Control,M,Male,317,323,1.018927445,NA,NA,3.10177456,NA,73653.44444,92,6776116.889,6.830980889,0.679272687,4602831.124,6.663025041,0.27719616,1878313.58,6.273768098,5.9,4.12,,
15,C15F,C15,NA,NA,Control,F,Female,108,61,0.564814815,NA,NA,1.298634783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,9.44,,
16,C15M,C15,NA,NA,Control,M,Male,507,314,0.619329389,NA,NA,2.774290636,NA,128125.8919,74,9481316,6.976868621,0.603767883,5724514.091,6.757738629,0.340030588,3223937.451,6.508386607,5.4,3.07,,
17,C21D,C21,pairing,T11,Experiment,D,Dominant,496,264,0.532258065,109.2307692,133.3992,2.767756781,NA,37532.63158,96,3603132.632,6.556680249,0.163934057,590676.1505,5.771349436,0.757329907,2728760.102,6.435965356,7.1,6.75,6.5,5.06
18,C21S,C21,pairing,T13,Experiment,S,Subordinate,0,0,0,105.5555556,113.6364,2.386944624,NA,60924.45238,86,5239502.905,6.719290085,0.106671944,558907.9616,5.747340296,0.728561883,3817302.104,6.581756532,5.7,3.25,5.4,2.86
19,D4F,D4,NA,NA,Control,F,Female,511,541,1.058708415,NA,NA,1.689308859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,5.52,,
20,D4M,D4,NA,NA,Control,M,Male,574,86,0.149825784,NA,NA,2.581437619,NA,51494.51515,65,3347143.485,6.52467433,0.691471874,2314455.577,6.36444885,0.245960559,823265.284,5.915539802,4.3,1.65,,
21,T11D,T11,pairing,C21,Experiment,E,Expanded,318,74,0.232704403,101.3513514,112.5926,1.693551086,NA,156623.8636,94,14722643.18,7.167985787,0,0,0,0.451459012,6646669.94,6.822604113,7.5,7.6,7.4,6.75
