"","source","Phase","Log_11KT","Log_E2","days","mass_final","Percent_Testicular"
"9","DeAngelis 2018","F",2.66903500918249,1.84224717666179,NA,4.07,NA
"10","DeAngelis 2018","M",NA,NA,0,3.39,NA
"11","DeAngelis 2018","F",2.25478968739721,1.55546930427502,NA,4,NA
"13","DeAngelis 2018","M",NA,NA,0,3.24,NA
"14","DeAngelis 2018","F",NA,NA,NA,7.62,NA
"15","DeAngelis 2018","F",2.09657286966156,3.96070855168856,NA,7.3,NA
"16","DeAngelis 2018","M",NA,NA,0,3.6,NA
"17","DeAngelis 2018","F",2.73766327100596,1.7709624114602,NA,5.6,NA
"19","DeAngelis 2018","M",2.88340930086709,1.9619476238041,0,4.85,NA
"20","DeAngelis 2018","M",2.6250221382068,1.78565009807064,0,4.85,NA
"21","DeAngelis 2018","F",1.60038473062249,3.96070855168856,NA,6.61,NA
"23","DeAngelis 2018","M",3.16347356104345,1.9211868796098,0,3.04,NA
"24","DeAngelis 2018","F",1.41422103321487,3.96070855168856,NA,6.23,NA
"25","DeAngelis 2018","M",3.1311192915276,1.73977797256621,0,2.39,NA
"26","DeAngelis 2018","F",2.09384176691213,3.96070855168856,NA,7.1,NA
"27","DeAngelis 2018","M",NA,NA,0,2.23,NA
"28","DeAngelis 2018","F",1.83714634390906,3.96070855168856,NA,8.03,NA
"29","DeAngelis 2018","M",3.0408194330863,1.83383531530306,0,2.67,NA
"30","DeAngelis 2018","F",1.52006410180879,3.06355589192701,NA,5.6,NA
"31","DeAngelis 2018","M",NA,NA,0,2.69,NA
"32","DeAngelis 2018","F",NA,NA,NA,3.85,NA
"34","DeAngelis 2018","M",NA,NA,0,4.23,NA
"35","DeAngelis 2018","F",NA,NA,NA,3.75,NA
"37","DeAngelis 2018","M",2.87298966778208,1.7309759697818,0,2.93,NA
"38","DeAngelis 2018","F",2.23859051264603,3.96070855168856,NA,7.57,NA
"39","DeAngelis 2018","M",3.42847399460652,1.97133152394899,0,3.97,NA
"40","DeAngelis 2018","F",1.50260462547367,3.31985714508511,NA,7.73,NA
"41","DeAngelis 2018","M",3.07171488219204,1.77584336832537,0,2.93,NA
"42","DeAngelis 2018","F",1.53940232469231,3.57841100218068,NA,13.8,NA
"44","DeAngelis 2018","M",3.48358729696889,2.01213672916385,0,2.95,NA
"45","DeAngelis 2018","F",1.50693775829137,3.09793200737024,NA,11.15,NA
"46","DeAngelis 2018","M",2.6383444679945,1.66132986783117,0,3.58,NA
"47","DeAngelis 2018","F",1.53867425330317,3.70502389173806,NA,8.59,NA
"49","DeAngelis 2018","M",NA,NA,0,2.94,NA
"50","DeAngelis 2018","F",1.70044410102775,3.92638649132064,NA,12.99,NA
"51","DeAngelis 2018","M",2.96991655347538,1.76364508653517,0,5.47,NA
"52","DeAngelis 2018","F",NA,NA,NA,7.91,NA
"53","DeAngelis 2018","M",NA,NA,0,4.13,NA
"54","DeAngelis 2018","F",1.34435296923856,3.24641585015798,NA,NA,NA
"55","DeAngelis 2018","M",2.99761614141614,1.6979264448065,0,2.19,NA
"56","DeAngelis 2018","F",1.73678679344934,3.96070855168856,NA,13.04,NA
"57","DeAngelis 2018","M",2.50296078298027,1.71767050300226,0,3.91,NA
"58","DeAngelis 2018","M",3.02636531574836,1.8982423638834,0,3.15,NA
"1","Dodd",NA,2.44040526010395,2.2481204598836,21,2.65,0.5053
"2","Dodd",NA,2.57226735013482,2.22664887333773,21,2.65,0.213042
"3","Dodd","D",2.51597975627943,2.17369604651614,21,3.32,0.515925
"4","Dodd","S",NA,NA,21,2.91,0.495571
"5","Dodd","D",2.02579724131029,2.34056903090264,21,3.6,0.517223632
"6","Dodd","S",2.29569901748951,2.15037261793351,21,2.14,0.495570955
"7","Dodd","S",1.96960226484854,2.15867904975734,21,2.45,0.519234285
"8","Dodd","D",2.32584392829329,2.17176154673894,21,3.43,0.486081803
"91","Dodd","D",1.54257647626053,3.43406678021204,182.5,5.22,0
"101","Dodd","S",2.64353163194171,2.27266760575737,182.5,2.57,0.385011911
"111","Dodd","D",2.82563380238265,2.30253438890083,182.5,3.6,0.371451026
"12","Dodd","S",2.76216821173891,2.23658512193237,182.5,2.24,0.238149579
"131","Dodd","D",1.16672605558005,2.32241158257245,182.5,5.04,0.190471919
"141","Dodd","S",3.05983594965872,2.23825190492249,182.5,3.22,0.278436379
"151","Dodd","D",NA,NA,182.5,4.93,0.257013293
"161","Dodd","S",NA,NA,182.5,2.39,0.520525569
"171","Dodd","S",NA,NA,365,1.7,0.090421546
"18","Dodd","D",2.22809223915698,2.24572236167602,365,4.2,0.14100916
"191","Dodd","S",2.85377119631242,2.27257719366546,365,2.9,0.32169893
"201","Dodd","D",2.16731733474818,2.24533743412421,365,3.12,0.236095608
"211","Dodd","M",2.78958071216443,2.36892623120274,0,2.97,0.525636734
"22","Dodd","F",1.67024585307412,3.54708408354326,NA,4.42,0
"231","Dodd","D",2.58396916141875,2.31006424490522,365,3.84,0.081408393
"241","Dodd","S",NA,NA,365,1.55,0.032741929
"251","Dodd","D",2.81012493947536,NA,21,3.71,0.487833197592646
"261","Dodd","S",2.50601769985113,NA,21,2.65,0.396647376612019
"271","Dodd","D",1.95525468282018,NA,21,3.97,0.560438823128305
"281","Dodd","S",2.19345854260921,NA,21,2.88,0.556323736298356
"291","Dodd","S",NA,2.15037261793351,21,2,0.635961523987347
"301","Dodd","D",NA,2.36892623120274,21,2.85,0.424765539304146
"311","Dodd","F",NA,NA,NA,4.7,0
"321","Dodd","M",NA,NA,0,3,0.693
"33","Dodd","F",1.51534389308838,NA,NA,10.32,0
"341","Dodd","F",1.15654915133178,NA,NA,7.62,0
"351","Dodd","M",2.8396979671802,NA,0,2.68,0.745085155704913
"36","Dodd","M",2.94676657259466,NA,0,3.23,0.709848607794028
"371","Dodd","M",NA,NA,0,3.05,0.75446965011997
"381","Dodd","F",NA,NA,NA,2.86,0
"391","Dodd","M",NA,NA,0,3.46,0.8657
"401","Dodd","M",NA,NA,0,4.4,0.659
"411","Dodd","M",NA,NA,0,5.46,0.6445
"421","Dodd","M",NA,NA,0,5.52,0.647
"43","Dodd","D",2.97057930571485,NA,1095,9.26,0.0229260479205422
"441","Dodd","S",NA,NA,1095,2.13,0.174111492991181
"451","Dodd","D",1.51255099290421,NA,1095,8.61,0
"461","Dodd","S",NA,NA,1095,2.63,0.272528760242432
"110","Parker","F",NA,2.52071928474979,NA,10.8,NA
"210","Parker","M",2.70064315393089,2.55688117437976,NA,5.3,NA
"310","Parker","D",1.6387886671574,2.52892954903675,154,4.2,NA
"410","Parker","D",NA,NA,126,NA,NA
"510","Parker","S",1.7473341096159,2.16961566222275,154,2.4,NA
"610","Parker","S",2.41055792254594,2.62312518853053,126,2.4,NA
"71","Parker","D",2.52599015045959,2.53054545878901,126,3,NA
"81","Parker","D",2.51835598589109,2.57604173344199,126,4.6,NA
"92","Parker","S",2.25134615958858,2.13197134528106,126,2.2,NA
"102","Parker","S",2.30591000290462,2.57597256174767,126,2.7,NA
"112","Parker","D",2.09788174471387,2.23047446736116,70,2.95,NA
"121","Parker","D",2.85117270474338,2.59739897505903,42,6.9,NA
"132","Parker","S",1.95985195479961,2.23070431361257,70,1.99,NA
"142","Parker","S",1.88654712339111,2.59319742644827,42,2.9,NA
"152","Parker","D",2.69103726436369,2.37447338906398,154,3.7,NA
"162","Parker","F",1.94973145231571,2.70631657859631,NA,8.2,NA
"172","Parker","M",2.36332987888716,2.49868264675702,NA,3,NA
"181","Parker","S",1.83276430494053,2.86306696744985,154,2,NA
"192","Parker",NA,1.88092786526708,2.97069082769836,126,4.3,NA
"202","Parker","D",3.11735416837463,2.54612297176526,154,4.84,NA
"212","Parker",NA,3.23291229108826,2.32401479803629,126,2.3,NA
"221","Parker","S",2.41212440617332,2.57576498053672,154,1.99,NA
"232","Parker","D",1.71541832259506,2.49067468526134,182,4.2,NA
"242","Parker","D",2.75999250005487,2.54726999087197,70,3.9,NA
"252","Parker","S",2.23269123534846,2.12820534396267,182,1.6,NA
"262","Parker","S",2.20612396399185,2.54419211076503,70,2.6,NA
"272","Parker","D",2.22359976464969,2.48674209553399,126,4.3,NA
"282","Parker","F",1.92100980149703,2.6280004459889,NA,5.6,NA
"292","Parker","M",2.45689718744935,2.5255242108724,NA,3,NA
"302","Parker","S",1.88907749265006,2.22870825980197,126,2.5,NA
"312","Parker","D",2.57472558359407,2.47768547088504,98,3.32,NA
"322","Parker","D",2.58382198708202,2.61123458456199,98,4.86,NA
"331","Parker","S",2.3573058075461,2.26796915868509,98,2.26,NA
"342","Parker","S",2.38069954838272,2.59864827117504,98,2.99,NA
"352","Parker","D",2.41664050733828,2.46474283684515,42,2.82,NA
"361","Parker","D",2.56543457030776,2.51839547977389,98,4.08,NA
"372","Parker","S",2.23330077156347,2.05713336724909,42,1.83,NA
"382","Parker","S",2.49427985320748,2.51078621792284,98,2.46,NA
"392","Parker","D",2.69476309549299,2.22978419784063,182,2.9,NA
"402","Parker","D",2.49436333926731,2.53016126336241,70,5.1,NA
"412","Parker","S",2.62717119988205,1.98726395412224,182,1.5,NA
"422","Parker","S",2.18049862323201,2.51831648841647,70,2.9,NA
"431","Parker","D",2.48750602621804,2.21415478605354,98,3.75,NA
"442","Parker","S",NA,NA,98,2.19,NA
"452","Parker","D",2.43319359171485,2.19794183649001,70,4.21,NA
"462","Parker","S",1.9494388010365,2.16088851614497,70,2.2,NA
"471","Parker","D",2.06235631808544,2.24612912566344,154,3.7,NA
"48","Parker","S",2.01770097122412,2.02710486587935,154,2.3,NA
"491","Parker","D",2.39787051599537,2.21264031353483,42,3.69,NA
"501","Parker","S",2.0381033103059,2.1646502159343,42,2.4,NA
"511","Parker","F",NA,NA,NA,10.9,NA
"521","Parker","M",2.39520403936185,2.53501547444419,NA,3.7,NA
"531","Parker",NA,1.57541879121436,2.54329804049167,182,4.7,NA
"541","Parker","D",2.15980773296943,2.57972644884623,70,3.9,NA
"551","Parker",NA,2.91487181754005,2.20846823026562,182,2,NA
"561","Parker","S",1.81716857238106,2.579554960401,70,2.4,NA
"571","Parker","D",2.36349916147823,2.24524114890446,42,2.34,NA
"581","Parker","D",2.39415387688206,2.57253471916811,182,4.47,NA
"59","Parker","S",2.23829706787539,2.19445883744353,42,1.37,NA
"60","Parker","S",2.45190918693322,2.5807197486976,182,2.11,NA
"61","Parker","D",2.7441990714601,2.27397300376955,98,3.43,NA
"62","Parker","D",2.62519923148217,2.56191194612757,182,6.43,NA
"63","Parker","S",1.87366929270679,2.23009111974875,98,2.01,NA
"64","Parker","S",2.3879056895125,2.61352470285365,182,2.92,NA
"65","Parker","D",NA,NA,70,NA,NA
"66","Parker","D",2.46092789669808,2.57256958125778,42,4.9,NA
"67","Parker","S",2.39431156323123,2.13273983826088,70,1.8,NA
"68","Parker","S",2.45379213534447,2.52819656239541,42,2.4,NA
"69","Parker","D",2.36993907902924,2.53649531378562,154,5.48,NA
"70","Parker","S",2.14569352390422,2.54460127865114,154,2.81,NA
"113","Graham","E",1.53932706,NA,180,5.15,0
"213","Graham","EP",2.631423474,NA,NA,2.11,0.37269314
"313","Graham","D",3.124533568,NA,NA,4.73,0.247576874
"413","Graham","S",2.078529315,NA,180,2.45,0.0594
"512","Graham","D",2.473194909,NA,NA,5.33,0.203388771
"611","Graham","S",2.333185208,NA,180,2.05,0.127975843
"72","Graham","F",1.66996737,NA,NA,10.61,NA
"82","Graham","M",2.894460065,NA,0,2.49,0.7093771
"93","Graham","F",NA,NA,NA,10.07,NA
"103","Graham","M",NA,NA,0,4.73,0.623477906
"114","Graham","F",1.558828525,NA,NA,8.71,NA
"122","Graham","M",2.797246761,NA,0,2.74,0.675877771
"133","Graham","F",1.440436766,NA,NA,14.24,NA
"143","Graham","M",3.10177456,NA,0,4.12,0.679272687
"153","Graham","F",1.298634783,NA,NA,9.44,NA
"163","Graham","M",2.774290636,NA,0,3.07,0.603767883
"173","Graham","D",2.767756781,NA,NA,6.75,0.163934057
"182","Graham","S",2.386944624,NA,180,3.25,0.106671944
"193","Graham","F",1.689308859,NA,NA,5.52,NA
"203","Graham","M",2.581437619,NA,0,1.65,0.691471874
"214","Graham","E",1.693551086,NA,180,7.6,0
"222","Graham","EP",2.842478183,NA,NA,3.71,0.540838078
"233","Graham","D",3.148044005,NA,NA,5.76,0.125825245
"243","Graham","S",2.502304189,NA,180,2.65,0.136892108
"253","Graham","D",2.619948549,NA,NA,4.35,0.352869407
"263","Graham","S",2.509094944,NA,180,1.38,0.146063771
"273","Graham","NF",2.077331561,NA,180,6.76,NA
"283","Graham","NM",2.804990823,NA,180,2.68,0.569931299
"293","Graham","D",3.030980018,NA,NA,4.53,0.434559284
"303","Graham","S",2.808973527,NA,180,2.51,0.0963
"314","Graham","D",2.181357592,NA,NA,8.45,0.163798508
"323","Graham","S",2.879176191,NA,180,2.86,0.466861035
"115","Gonzalez","D",2.89301233222244,2.2465724341217,180,3.74,0.0863933607904494
"215","Gonzalez","S",3.12260247406978,2.21764184077333,180,3.56,0.154705585301589
"315","Gonzalez","D",2.48767560625998,2.4471890512688,180,4.04,0.104305532064001
"414","Gonzalez","S",2.66345591797261,2.22685757028872,180,2.07,0.401428340346515
"513","Gonzalez","S",2.35073245171613,2.19661827133024,180,2.99,0.137438452124089
"612","Gonzalez","D",2.53383050250989,2.17093610860908,180,3.33,0.31459273594986
"73","Gonzalez","S",2.58622711847495,2.41858299406699,180,1.98,0.147224409283725
"83","Gonzalez","D",3.06440557121243,2.48023697181947,180,3.07,0.158021024443097
"116","DeAngelis 2016","F",2.10610253978679,3.6795346399818,NA,7.11,NA
"216","DeAngelis 2016","M",3.20795962716972,2.16783404448421,0,2.66,NA
"316","DeAngelis 2016","F",1.1806866249083,3.53847319103944,NA,NA,NA
"415","DeAngelis 2016","M",2.32215294808211,2.03205437547967,0,NA,NA
"514","DeAngelis 2016","F",1.24550173628706,4.00092016310773,NA,NA,NA
"613","DeAngelis 2016","M",2.54540503821265,2.14536735454461,0,NA,NA
"74","DeAngelis 2016","F",1.00784627232798,3.55102159190328,NA,NA,NA
"84","DeAngelis 2016","M",2.38696807118536,1.75587485567249,0,NA,NA
"94","DeAngelis 2016","F",1.33344727449675,3.62493613955415,NA,6.85,NA
"104","DeAngelis 2016","M",2.57061091915958,1.85003325768977,0,2.89,NA
"117","DeAngelis 2016","F",NA,3.20783490966594,NA,NA,NA
"123","DeAngelis 2016","M",2.66579855275607,1.92708792847286,0,NA,NA
"134","DeAngelis 2016","F",NA,3.80157451264368,NA,NA,NA
"144","DeAngelis 2016","M",2.89468653342052,1.99246514780804,0,NA,NA
"154","DeAngelis 2016","F",1.31751853845064,3.50706208722662,NA,NA,NA
"164","DeAngelis 2016","M",2.82627057028525,NA,0,NA,NA
"174","DeAngelis 2016","F",1.7316151604648,3.99891290435879,NA,NA,NA
"183","DeAngelis 2016","F",1.19869081218475,3.46772646614358,NA,7.65,NA
"194","DeAngelis 2016","M",2.90188821376059,1.78096502960832,0,4.73,NA
"204","DeAngelis 2016","F",1.43274543531553,3.47549031567192,NA,NA,NA
"217","DeAngelis 2016","M",3.04592182012459,1.78636094933321,0,NA,NA
"223","DeAngelis 2016","F",NA,3.02118929906994,NA,NA,NA
"234","DeAngelis 2016","M",NA,2.00421386184203,0,NA,NA
"244","DeAngelis 2016","F",NA,2.71006656746489,NA,NA,NA
"254","DeAngelis 2016","M",2.85507729163292,1.97575338903629,0,NA,NA
"264","DeAngelis 2016","F",1.20949332608529,3.97543180850926,NA,NA,NA
"274","DeAngelis 2016","F",1.09426644141283,3.43306142845318,NA,7.25,NA
"284","DeAngelis 2016","M",2.85147645168441,2.06165977506218,0,6.25,NA
"294","DeAngelis 2016","F",0.997043750838716,2.89077300678336,NA,NA,NA
"304","DeAngelis 2016","M",NA,2.10042224376436,0,NA,NA
"317","DeAngelis 2016","F",NA,2.92237507920709,NA,6.58,NA
"324","DeAngelis 2016","M",2.85507729163292,1.7131544018373,0,2.75,NA
"332","DeAngelis 2016","F",1.08706477318285,3.29377344817998,NA,NA,NA
"343","DeAngelis 2016","M",3.11793862317611,1.98764392410053,0,NA,NA
"353","DeAngelis 2016","F",NA,3.82998748943931,NA,NA,NA
"362","DeAngelis 2016","M",2.82266972995571,2.0883841860977,0,NA,NA
"373","DeAngelis 2016","F",1.31751853845064,3.10215231795891,NA,NA,NA
"383","DeAngelis 2016","M",NA,NA,0,NA,NA
"393","DeAngelis 2016","M",NA,NA,0,NA,NA
"403","DeAngelis 2016","F",1.62995836206672,3.73667681064246,NA,NA,NA
"416","DeAngelis 2016","M",2.78157923812627,2.05268432502306,0,NA,NA
"423","DeAngelis 2016","F",1.32555593020022,3.58480315001742,NA,NA,NA
"432","DeAngelis 2016","M",2.75782505980686,1.92707080533886,0,NA,NA
"443","DeAngelis 2016","F",1.50871164917039,3.72426371467534,NA,NA,NA
"453","DeAngelis 2016","M",2.97984893720597,1.78367136966082,0,NA,NA
"463","DeAngelis 2016","F",1.15569022263024,3.53540537001292,NA,NA,NA
"472","DeAngelis 2016","M",2.85328060357668,2.01535975540921,0,NA,NA
"481","DeAngelis 2016","F",1.04438255496928,3.41252144519098,NA,NA,NA
"492","DeAngelis 2016","M",2.95312360776462,1.9972115828325,0,NA,NA
