Date,Tank,Tank 2,MF,Length,Weight,ST,CT,BT,Spawn 2,Spawn,Last Spawn,Next Spawn,SP,DAS,DBS,Cort ,11KT,E2 Level,,Female Fan,Female Approach,Female Aggression to Female,Female Aggression to Male,Female Nip,Female In Nest,Female Out of Nest,Male Fan,Male Approach,Male Aggression to Female,Male Aggression to Male,Male Nip,Male In Nest,Male Out of Nest
3/20/14,A,t11,f,7.8,7.11,0:00,0:11,1:54,A,D,3/9/14,4/5/14,27,11,16,1079.94,127.674022,4781.175,136.605,,,,,,,,,,,,,,
3/20/14,A,t11,m,5,2.66,2:36,2:49,3:39,A,D,3/9/14,4/5/14,27,11,16,,1614.20849,147.175,4.205,,,,,,,,,,,,,,
4/19/14,A,t11,f,,,0:00,0:21,1:00,B,A,4/19/14,5/5/14,16,0,0,1131.21,15.159561,3455.2,98.72,0,0,0,0,9,0.7343,0.2636,0,0,12,0,21,0.8979,0.1011
4/19/14,A,t11,m,,,2:21,2:38,4:00,B,A,4/19/14,5/5/14,16,0,0,42905.79,209.967921,107.66,3.076,0,0,0,0,9,0.7343,0.2636,0,0,12,0,21,0.8979,0.1011
5/11/14,A,t11,f,,,0:00,0:05,2:30,C,C,5/5/14,5/27/14,22,6,16,11085.06,17.599557,10021.21,286.3202857,0,0,0,0,7,0.0441,0.955,0,0,0,0,52,0.9537,0.0456
5/11/14,A,t11,m,,,3:18,3:32,4:50,C,C,5/5/14,5/27/14,22,6,16,23939.4,351.07915,139.755,3.993,0,0,0,0,7,0.0441,0.955,0,0,0,0,52,0.9537,0.0456
5/30/14,A,t11,f,,,0:00,0:18,2:00,D,B,5/27/14,,,3,,11304.06,10.182309,3556.49,101.614,0,0,0,0,6,0.0562,0.943,0,0,0,0,56,0.7857,0.2137
5/30/14,A,t11,m,,,2:10,2:20,4:00,D,B,5/27/14,,,3,,,243.76316,57,1.628571429,0,0,0,0,6,0.0562,0.943,0,0,0,0,56,0.7857,0.2137
4/1/14,B,t2,f,6.8,6.85,0:00,0:07,1:30,A,D,3/21/14,4/15/14,25,11,14,#REF!,21.55,4216.345,120.467,,,,,,,,,,,,,,
4/1/14,B,t2,m,5.4,2.89,3:30,3:41,5:00,A,D,3/21/14,4/15/14,25,11,14,#REF!,372.058233,70.8,2.022857143,,,,,,,,,,,,,,
4/15/14,B,t2,f,,,0:00,0:06,1:17,B,A,4/15/14,5/1/14,16,0,0,,,1613.745,46.107,0,2,0,0,4,0.0631,0.9357,0,2,0,0,1,0.0164,0.9826
4/15/14,B,t2,m,,,2:40,3:02,4:40,B,A,4/15/14,5/1/14,16,0,0,,463.232,84.545,2.415571429,0,2,0,0,4,0.0631,0.9357,0,2,0,0,1,0.0164,0.9826
5/7/14,B,t2,f,,,0:00,0:06,3:00,C,C,5/1/14,5/16/14,15,6,9,2116.17,,6332.49,180.9282857,2,0,0,0,2,0.0603,0.9384,0,0,0,0,29,0.7129,0.2859
5/7/14,B,t2,m,,,4:00,4:20,6:00,C,C,5/1/14,5/16/14,15,6,9,73685.43,784.669069,98.28,2.808,2,0,0,0,2,0.0603,0.9384,0,0,0,0,29,0.7129,0.2859
5/19/14,B,t2,f,,,0:00,0:06,2:00,D,B,5/16/14,,,3,,10106.37,20.773924,3214.12,91.832,1,1,0,0,8,0.044,0.9549,1,0,0,0,29,0.6294,0.3698
5/19/14,B,t2,m,,,2:40,3:07,5:13,D,B,5/16/14,,,3,,81919.74,670.302085,,0,1,1,0,0,8,0.044,0.9549,1,0,0,0,29,0.6294,0.3698
4/2/14,C,t8,f,,,0:00,0:27,1:53,A,D,3/22/14,4/8/14,17,11,6,,53.903276,9975,285,,,,,,,,,,,,,,
4/25/14,C,t8,f,7.6,7.65,0:00,0:09,2:00,B,A,4/25/14,5/7/14,12,0,0,23437.44,15.801227,2935.8,83.88,0,0,0,0,13,0.2571,0.7406,0,0,0,0,23,0.4687,0.5292
4/25/14,C,t8,m,6.1,4.73,2:52,2:56,5:56,B,A,4/25/14,5/7/14,12,0,0,12537.36,797.789312,60.39,1.725428571,0,0,0,0,13,0.2571,0.7406,0,0,0,0,23,0.4687,0.5292
5/13/14,C,t8,f,,,0:00,0:06,2:20,C,C,5/7/14,5/25/14,18,6,12,,27.086035,2988.755,85.393,0,0,0,0,3,0.0976,0.9012,1,0,0,0,35,0.6444,0.3546
5/13/14,C,t8,m,,,3:30,3:40,5:00,C,C,5/7/14,5/25/14,18,6,12,41112.54,1111.531616,61.145,1.747,0,0,0,0,3,0.0976,0.9012,1,0,0,0,35,0.6444,0.3546
3/22/14,D,te,f,,,0:00,0:10,1:23,A,D,3/11/14,3/28/14,17,11,6,11212.08,,1050,30,,,,,,,,,,,,,,
3/22/14,D,te,m,,,1:58,2:03,3:37,A,D,3/11/14,3/28/14,17,11,6,26841.45,,100.975,2.885,,,,,,,,,,,,,,
4/14/14,D,te,f,,,0:00,0:16,3:05,B,A,4/14/14,4/25/14,11,0,0,25686.12,,512.94,14.65542857,1,3,16,1,0,0.0494,0.9493,7,0,0,22,24,0.4417,0.5567
4/14/14,D,te,m,,,3:46,3:54,4:54,B,A,4/14/14,4/25/14,11,0,0,33678.09,716.270874,94.57,2.702,1,3,16,1,0,0.0494,0.9493,7,0,0,22,24,0.4417,0.5567
5/1/14,D,te,f,,,0:00,0:04,1:51,C,C,4/25/14,5/8/14,13,6,7,14431.92,16.199191,9450,270,1,0,0,0,10,0.0632,0.9345,1,0,0,0,73,0.8791,0.1193
5/11/14,D,te,f,7.1,7.25,0:00,0:05,2:30,D,B,5/8/14,,,3,,54243.27,12.424143,2710.575,77.445,2,0,0,0,5,0.0539,0.9448,5,0,0,0,44,0.9322,0.0668
5/11/14,D,te,m,6.2,6.25,3:30,3:41,5:30,D,B,5/8/14,,,3,,22397.61,710.356652,115.255,3.293,2,0,0,0,5,0.0539,0.9448,5,0,0,0,44,0.9322,0.0668
3/17/14,E,tf,f,,,0:00,0:12,1:48,A,D,3/6/14,3/18/14,12,11,1,11601.93,9.932161,777.63,22.218,,,,,,,,,,,,,,
3/17/14,E,tf,m,,,4:09,4:15,5:52,A,D,3/6/14,3/18/14,12,11,1,16499.91,,126.015,3.600428571,,,,,,,,,,,,,,
3/31/14,E,tf,f,6.8,6.58,0:00,0:16,1:17,B,A,3/31/14,4/14/14,14,0,0,#REF!,,836.325,23.895,0,0,3,0,15,0.083,0.9165,3,0,0,0,72,0.8066,0.1926
3/31/14,E,tf,m,5.1,2.75,2:40,2:50,4:00,B,A,3/31/14,4/13/14,13,0,0,,716.270874,51.66,1.476,0,0,3,0,15,0.083,0.9165,3,0,0,0,72,0.8066,0.1926
4/20/14,E,tf,f,,,0:00,0:12,1:09,C,C,4/14/14,4/30/14,16,6,10,26307.03,12.219819,1966.86,56.196,0,0,1,0,7,0.0597,0.9397,0,0,0,0,44,0.7237,0.2754
4/20/14,E,tf,m,,,1:39,1:51,2:50,C,C,4/14/14,4/30/14,16,6,10,9998.79,1312.014465,97.195,2.777,0,0,1,0,7,0.0597,0.9397,0,0,0,0,44,0.7237,0.2754
5/17/14,E,tf,f,,,0:00,0:14,2:25,D,B,5/14/14,,,3,,16462.89,,6760.635,193.161,2,0,5,0,5,0.0136,0.986,1,0,0,0,32,0.6731,0.3268
5/17/14,E,tf,m,,,3:15,3:30,5:00,D,B,5/14/14,,,3,,,664.767425,122.57,3.502,2,0,5,0,5,0.0136,0.986,1,0,0,0,32,0.6731,0.3268
3/20/14,tb,,f,,,,,,A,D,3/9/14,3/28/14,19,11,8,21061.89,20.773924,1265.18,36.148,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,11KT mean,E2 mean,,Fan mean,Nip mean,In nest mean,In nest mean sec,,,,,,,,,,
,,t11,f,,,,,,,,,,,,,,42.65386225,5453.51875,,0,7.333333333,0.2782,83.46,,,,,,,,,,
,,t11,m,,,,,,,,,,,,,,604.7546803,112.8975,,0,43,0.8791,263.73,,,,,,,,,,
,,t2,f,,,,,,,,,,,,,,21.161962,3844.175,,1,4.666666667,0.0558,16.74,,,,,,,,,,
,,t2,m,,,,,,,,,,,,,,572.5653468,84.54166667,,0.333333333,19.66666667,0.4529,135.87,,,,,,,,,,
,,t8,f,,,,,,,,,,,,,,32.26351267,5299.851667,,0,8,0.17735,53.205,,,,,,,,,,
,,t8,m,,,,,,,,,,,,,,954.660464,60.7675,,0.5,29,0.55655,166.965,,,,,,,,,,
,,te,f,,,,,,,,,,,,,,14.311667,3430.87875,,1.333333333,5,0.0555,16.65,,,,,,,,,,
,,te,m,,,,,,,,,,,,,,713.313763,103.6,,6,47,0.751,225.3,,,,,,,,,,
,,tf,f,,,,,,,,,,,,,,11.07599,2585.3625,,0.666666667,9,0.0521,15.63,,,,,,,,,,
,,tf,m,,,,,,,,,,,,,,897.6842547,99.36,,1.333333333,49.33333333,0.734466667,220.34,,,,,,,,,,
