ID,Tank,Sex,S2,Length,Weight,arx,itx,v1x,avtx,grx,mt,Male.in.Nest....,ft,Female.in.Nest....,S.Egg,E.Egg,D.Egg,Egg.P,X11kt2,E22,Cort2
10j,10j,u,juvenile,5.2,3.34,0.009420374,0.00182233,0.000375214,0.000338161,0.016862941,,,,,,,,,565.065,66.584,13010.154
1j,1j,u,juvenile,5.9,2.93,0.010096506,0.002182201,0.000402144,0.000347669,0.021642335,,,,,,,,,,,
2j,2j,u,juvenile,5.2,3.15,0.007921558,0.001847769,0.000324386,0.000300572,0.024688791,,,,,,,,,,,
4j,4j,u,juvenile,5.4,4.55,0.006944083,0.002008035,0.000372622,0.000263483,0.016176014,,,,,,,,,,,
5j,5j,u,juvenile,4.9,2.83,0.010525262,0.001847769,0.000367492,0.000354974,0.016401823,,,,,,,,,,,
6j,6j,u,juvenile,5.6,4.46,0.009820417,0.001532391,0.000288328,0.000245839,0.014782151,,,,,,,,,,,
8j,8j,u,juvenile,5.2,3.28,0.012603777,0.002228054,0.000458751,0.000326642,0.017457612,,,,,,,,,598.531,32.741,20963.404
9j,9j,u,juvenile,5.1,3.33,0.0078125,0.001899717,0.000530632,0.000383098,0.019777447,,,,,,,,,408.349,45.559,435
a11f,a11,f,no eggs,5.7,4.07,0.019777447,0.00227487,0.000729907,0.000572673,0.021344379,,,,,,,,,466.697,69.542,13010.154
a11m,a11,m,no eggs,5.6,3.39,0.094077922,0.002980975,0.000705044,0.000350087,0.01159784,,,,,,,,,,,
a12f,a12,f,no eggs,6,4,0.037681495,0.003307599,0.001169413,0.00044931,0.014278616,,,,,,,,,179.8,35.931,67934.704
a12j,a12,j,no eggs,4.5,1.73,0.012430258,0.002404579,0.000681027,0.000455583,0.01991501,,,,,,,,,,,
a12m,a12,m,no eggs,5.5,3.24,0.025559439,0.003150944,0.00085606,0.000541782,0.026460791,,,,,,,,,,,
a13f,a13,f,no eggs,6.98,7.62,0.0625,0.002404579,0.000601145,0.000399366,0.013508394,,,,,,,,,,,
a23f,a23,f,active,7.1,7.3,0.143587294,0.002762136,0.000657829,0.000549345,0.028359974,103.8571429,0.813268095,39.85714286,0.557794048,251,222,29,0.884462151,124.903,9135,44840.467
a23m,a23,m,active,5.8,3.6,0.076946526,0.004044004,0.000705044,0.000458751,0.030606884,103.8571429,0.813268095,39.85714286,0.557794048,251,222,29,0.884462151,,,
a25f,a25,f,no eggs,6.5,5.6,0.074325445,0.002355093,0.000709948,0.000455583,0.024860515,,,,,,,,,546.592,59.015,113313.208
a25j,a25,j,no eggs,4.8,2.33,0.009685216,0.001121776,0.000512557,0.000147193,0.004876291,,,,,,,,,91.524,39.614,28572.888
a25m,a25,m,no eggs,6,4.85,0.03794359,0.00283979,0.000776891,0.000502009,0.024348893,,,,,,,,,764.556,91.611,5718.626
a25m,a25,m,no eggs,6,4.85,0.03794359,0.00283979,0.000776891,0.000502009,0.024348893,,,,,,,,,421.718,61.045,112843.698
b11f,b11,f,active,6.8,6.61,0.076946526,0.001797242,0.000335826,0.000306888,0.018073253,143.8333333,0.880359167,25,0.234231944,128,144,-16,1,39.846,9135,36368.088
