fishID,cohort,tank,status,status2,publication,dead,week_brdu,week_sack,week_sack2,week_sack_c,length_initial_cm,mass_initial_g,length_dosing_cm,mass_dosing_g,brdu_dose_ug,brdu_volume_uL,length_sack_cm,mass_sack_g,brain_mass_mg,egg_behavior_by,egg_nest_entrances,egg_nesttime_sec,egg_nips,egg_fans,egg_wiggles,egg_care_sum,egg_trialtime_sec,egg_nesttime_sec_5min,egg_nips_5min,egg_fans_5min,egg_wiggles_5min,egg_care_sum_5min,eggs_pre,eggs_post,eggs_lost,male1_behavior_by,male1_ID,male1_length_cm,male1_mass_g,male1_clashes,male1_lunges_bysubject,male1_chases_bysubject,male1_quivers_bysubject,male1_flees_bysubject,male1_trembles_bysubject,male1_lunges_bystimulus,male1_chases_bystimulus,male1_quivers_bystimulus,male1_flees_bystimulus,male1_trembles_bystimulus,male2_grader,male2_ID,male2_length_cm,male2_mass_g,male2_clashes,male2_lunges_bysubject,male2_chases_bysubject,male2_quivers_bysubject,male2_flees_bysubject,male2_trembles_bysubject,male2_lunges_bystimulus,male2_chases_bystimulus,male2_quivers_bystimulus,male2_flees_bystimulus,male2_trembles_bystimulus,female1_grader,female1_ID,female1_length_cm,female1_mass_g,female1_clashes,female1_lunges_bysubject,female1_chases_bysubject,female1_quivers_bysubject,female1_flees_bysubject,female1_trembles_bysubject,female1_lunges_bystimulus,female1_chases_bystimulus,female1_quivers_bystimulus,female1_flees_bystimulus,female1_trembles_bystimulus,female2_grader,female2_ID,female2_length_cm,female2_mass_g,female2_clashes,female2_lunges_bysubject,female2_chases_bysubject,female2_quivers_bysubject,female2_flees_bysubject,female2_trembles_bysubject,female2_lunges_bystimulus,female2_chases_bystimulus,female2_quivers_bystimulus,female2_flees_bystimulus,female2_trembles_bystimulus,estradiol_pg_mL,androgen_pg_mL,testicular_prop,testicular_pct,testicular_area,ovarian_area,vit_area,nonvit_area,gonad_area_px,gonad_area_mm2,gonad_vol_mm3,gonad_norm,testes_norm,poa_counts_by,poa_vol_by,poa_post_brdu_avg,poa_mid_brdu_avg,poa_ant_brdu_avg,poa_post_brdu_total,poa_mid_brdu_total,poa_ant_brdu_total,poa_full_brdu_total,poa_post_sections_total,poa_mid_sections_total,poa_ant_sections_total,poa_post_sections_absent,poa_mid_sections_absent,poa_ant_sections_absent,poa_post_sections_present,poa_mid_sections_present,poa_ant_sections_present,poa_post_vol_mm3,poa_mid_vol_mm3,poa_ant_vol_mm3,poa_full_vol_mm3,poa_post_density,poa_mid_density,poa_ant_density,poa_full_density
A21F,control,A21_C,female,female,present,n,control,control,control,,,,8,10.2,1000,100,8,10.8,41.9,abby,9,195.961,85,0,0,85,600,189.655,85,0,0,85,649,516,133,Joanne,T13M,5.3,2.77,0,0,0,0,0,0,0,0,0,0,0,Joanne,T01M,6.1,4.57,0,0,0,0,1,0,2,0,0,0,0,Joanne,T02F,8.1,12.2,7,26,18,0,0,0,0,0,0,19,0,Joanne,A24F,7.5,8.48,0,0,0,0,0,0,8,0,0,0,0,331.68,,0,0,0,44175433,18119528,26055905,,,,,,sarah,coltan,4.333333333,7.428571429,29.25,69.33333333,104,526.5,699.8333333,8,7,9,2,0,1,6,7,8,0.021523325,0.02814943,0.043464421,0.093137177,3221.311387,3694.568599,12113.35581,7514.006312
A21M,control,A21_C,male,male,present,n,control,control,control,,,,6.2,4.7,450,45,6,5.3,27.3,abby,14,445.815,6,0,0,6,600,149.885,6,0,0,6,649,516,133,Joanne,T01M,6.1,4.57,0,0,0,0,0,0,0,0,0,0,0,Joanne,T13M,5.3,2.77,30,0,0,0,0,0,0,0,0,0,0,Joanne,A24F,7.5,8.48,0,0,0,0,0,0,32,0,0,0,0,Joanne,T02F,8.1,12.2,0,0,0,0,0,0,0,0,0,0,0,360.48,501.93,0.611631939,61.16319394,28125036,17858560,,,2730536,70.8683983,2.834735932,0.534855836,32.71349124,sarah,coltan,5,13.8,47.57142857,60,138,666,864,6,5,7,2,0,0,4,5,7,0.012680926,0.016303412,0.029701944,0.058686281,4731.515757,8464.486036,22422.77466,14722.3504
B11D,cohort_1,B11,dominant,dominant,present,n,week_18,week_22,week_22,22,5.8,3.62,5.9,4.2,400,40,5.9,4.2,33.2,abby,15,405.496,76,0,30,106,600,190.716,21,0,12,33,774,809,-35,Sarah,B13M,6,4.3,0,0,0,0,0,0,0,0,0,0,0,Sarah,A25M,5,2.5,0,12,0,1,0,0,1,0,2,0,0,Sarah,D14F,6.5,5.8,0,6,0,0,0,0,7,0,0,0,0,Sarah,C23F,7,7.7,0,0,0,0,0,0,1,0,0,0,0,338.01,43.53,0.158480865,15.84808654,9233306,49028024,,,2790590,72.42704129,2.897081652,0.689781346,10.93171446,sarah,coltan,2,2.75,8.666666667,32,38.5,121.3333333,191.8333333,8,7,7,2,3,1,6,4,6,0.017180192,0.019530329,0.027825215,0.064535735,1862.610185,1971.293003,4360.55328,2972.513324
B11D_2,cohort_2,B11_2,dominant,dominant,present,y,week_14,week_18,week_18,18,5.4,3.4,5.9,4.65,450,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11S,cohort_1,B11,subordinate,subordinate,present,n,week_18,week_22,week_22,22,5,2.31,5,2.4,250,25,5,2.4,26.4,abby,1,1.754,0,0,0,0,600,1.754,0,0,0,0,774,809,-35,Sarah,A25M,5,2.5,0,0,0,1,0,0,0,0,12,0,0,Sarah,B13M,6,4.3,0,0,0,0,0,0,0,0,0,0,0,Sarah,C23F,7,7.7,0,0,0,0,0,0,0,0,0,0,0,Sarah,D14F,6.5,5.8,0,1,1,0,1,3,21,0,0,0,0,147.78,55.89,0.439615554,43.96155536,11433702,14574709,,,1853772,48.11284395,1.924513758,0.801880732,35.25192421,sarah,coltan,1.857142857,5,12.6,26,60,201.6,287.6,7,6,8,0,0,3,7,6,5,0.012511347,0.019115934,0.033827064,0.065454346,2078.113492,3138.742789,5959.724979,4393.902294
B11S_2,cohort_2,B11_2,subordinate,subordinate,present,y,week_14,week_18,week_18,18,4.7,2.4,4.7,2.34,200,20,4.9,2.4,24.3,abby,15,153.244,38,0,0,38,600,127.746,36,0,0,36,1163,1126,37,Coltan,T13M,5.3,2.9,3,2,0,4,0,0,0,0,8,0,0,Coltan,T18M,6,3.7,1,0,0,2,0,0,1,0,7,0,0,Coltan,A24F,7.6,8.2,0,0,0,0,0,0,0,0,0,0,0,Coltan,T19F,7.4,8.4,0,0,0,0,0,2,0,0,0,0,0,419.88,257.37,0.560386566,56.03865663,5976451,4688421,,,1499860,38.92740322,1.557096129,0.648790054,36.35732304,sarah,coltan,3.571428571,6.714285714,11.375,57.14285714,94,204.75,355.8928571,8,7,9,1,0,1,7,7,8,0.01203904,0.021080799,0.036719753,0.069839592,4746.462837,4459.034075,5576.017846,5095.861031
B12D,cohort_1,B12,dominant,dominant,present,n,week_14,week_18,week_18,18,5.2,2.79,,2.91,250,25,5.4,3,29.4,abby,17,502.216,60,2,9,71,600,259.966,29,2,6,37,566,556,10,Joanne,B24M,5.8,3.2,2,12,0,0,0,0,0,0,0,0,0,Joanne,D16M,5.3,2.7,2,15,16,0,0,0,0,0,0,14,0,Sarah,D14F,6.5,6.2,0,7,0,0,0,0,4,0,0,0,0,Sarah,C25F,7.7,8.8,0,4,0,0,2,0,5,0,0,1,0,339.27,335.73,0.360430284,36.04302839,19078507,33854079,,,2176412,56.48665042,2.259466017,0.753155339,27.14599926,sarah,coltan,7.714285714,8.333333333,15.71428571,108,100,282.8571429,490.8571429,7,6,9,0,0,2,7,6,7,0.017169364,0.021969621,0.03198101,0.071119995,6290.27385,4551.739778,8844.534353,6901.816291
B12D_2,cohort_2,B12_2,dominant,dominant,present,n,week_14,week_18,week_18,18,5.8,3.2,6.1,4.54,450,45,5.9,4.6,33.8,abby,22,524.321,211,0,0,211,600,245.252,83,0,0,83,1259,1163,96,Coltan,A24M,5.2,3,0,47,0,1,0,0,0,0,0,0,0,Coltan,T03M,5.9,3.8,4,92,0,2,0,0,2,0,0,2,1,Coltan,T12F,6.8,6.3,5,2,0,1,2,0,18,1,0,0,0,Coltan,A25F,7.6,8,0,0,0,0,0,0,3,0,0,0,0,376.74,329.88,0.020571244,2.057124427,796891,37941213,,,4403138,114.2791516,4.571166065,0.993731753,2.044229864,sarah,coltan,4.142857143,7.571428571,17,58,106,306,470,7,7,9,0,0,0,7,7,9,0.013298299,0.031442415,0.053966839,0.098707553,4361.460096,3371.242279,5670.148692,4761.540387
B12S,cohort_1,B12,subordinate,subordinate,present,n,week_14,week_18,week_18,18,4.6,2.01,,2.27,200,20,4.7,2.2,27.1,abby,12,477.759,39,0,3,42,600,246.717,17,0,2,19,566,556,10,Joanne,D16M,5.3,2.7,0,0,0,0,0,0,0,0,0,0,0,Joanne,B24M,5.8,3.2,0,0,0,0,0,0,0,0,0,0,0,Sarah,C25F,7.7,8.8,0,7,0,0,0,0,3,0,1,0,0,Sarah,D14F,6.5,6.2,0,0,0,0,0,3,5,0,0,0,0,135.51,178.38,0.474216685,47.42166847,12707796,14089650,,,992770,25.76637692,1.030655077,0.46847958,22.21608335,sarah,coltan,1.571428571,4.875,14.75,28.28571429,78,265.5,371.7857143,9,8,9,2,0,1,7,8,8,0.016349694,0.024263988,0.032743938,0.073357621,1730.045459,3214.640521,8108.371062,5068.12668
B12S_2,cohort_2,B12_2,subordinate,subordinate,present,n,week_14,week_18,week_18,18,5,2.8,4.9,2.67,250,25,4.8,2.7,23.1,abby,21,175.001,8,0,0,8,600,64.751,5,0,0,5,1259,1163,96,Coltan,T03M,5.9,3.8,0,0,0,0,0,0,0,0,4,0,0,Coltan,A24M,5.2,3,1,4,0,10,0,0,1,0,0,0,0,Coltan,A25F,7.6,8,0,0,0,0,0,4,4,0,0,0,0,Coltan,T12F,6.8,6.3,0,0,0,0,0,1,1,0,0,0,0,376.68,202.26,0.207894738,20.78947383,3381231,12882918,,,1885032,48.92416675,1.95696667,0.72480247,15.06826199,sarah,coltan,6.166666667,12,19.6,74,144,274.4,492.4,6,6,7,0,1,2,6,5,5,0.010323724,0.022052908,0.033194709,0.065571341,7167.956254,6529.751021,8266.37774,7509.378276
