id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,directionality,classification,max_exprmean_column,max_exprmean_value,max_score_column,max_score_value
CPI-SC0A86600AA,GDF10_ACVR_1B2B_receptor,simple:P55107,complex:ACVR_1B2B_receptor,GDF10,,True,False,True,curated,False,Ligand-Receptor,Signaling by Growth differentiation factor,11|31,0.1679999977350235,11|31,100.0
CPI-SS093707FE0,CLSTN2_NRXN2,simple:Q9H4D0,simple:P58401,CLSTN2,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Calsyntenin,11|7,5.223999977111816,11|7,100.0
CPI-SS06157E5AF,LRRTM4_NRXN2,simple:Q86VH4,simple:P58401,LRRTM4,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,17|7,4.689000129699707,17|7,100.0
CPI-SS0CF0A8519,NLGN1_NRXN2,simple:Q8N2Q7,simple:P58401,NLGN1,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Neuroligin,13|7,4.519000053405762,13|7,100.0
CPI-SS09A6C048C,CLSTN2_NRXN1,simple:Q9H4D0,simple:Q9ULB1,CLSTN2,NRXN1,False,False,False,curated,False,Ligand-Receptor,Signaling by Calsyntenin,11|12,4.297999858856201,11|12,100.0
CPI-SS0BF9265F0,CLSTN1_NRXN2,simple:O94985,simple:P58401,CLSTN1,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Calsyntenin,11|7,4.181000232696533,11|7,100.0
CPI-SS0D5E30C6C,NRG3_ERBB4,simple:P56975,simple:Q15303,NRG3,ERBB4,True,False,True,curated,False,Ligand-Receptor,Signaling by Neuregulin,11|23,4.168000221252441,11|23,100.0
CPI-SS0889E281D,CADM1_CADM1,simple:Q9BY67,simple:Q9BY67,CADM1,CADM1,False,False,False,curated,False,Adhesion-Adhesion,Adhesion by CADM,3|3,4.0289998054504395,3|3,100.0
CPI-SS0B0B67CA2,NRXN2_ADGRL1,simple:P58401,simple:O94910,NRXN2,ADGRL1,False,False,True,curated,False,Receptor-Receptor,Signaling by Neurexin,7|14,3.9140000343322754,7|14,100.0
CPI-SS074EA7741,NLGN3_NRXN2,simple:Q9NZ94,simple:P58401,NLGN3,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Neuroligin,12|7,3.877000093460083,12|7,100.0
CPI-SS01D36DDFA,PTPRS_NTRK3,simple:Q13332,simple:Q16288,PTPRS,NTRK3,False,True,True,curated,False,Receptor-Receptor,,10|5,3.8519999980926514,10|5,100.0
CPI-SS0934535FF,NLGN2_NRXN2,simple:Q8NFZ4,simple:P58401,NLGN2,NRXN2,False,False,False,curated,False,Ligand-Receptor,Signaling by Neuroligin,25|7,3.8420000076293945,25|7,100.0
CPI-SS03466C597,LRRTM4_NRXN1,simple:Q86VH4,simple:Q9ULB1,LRRTM4,NRXN1,False,False,False,curated,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,17|12,3.7639999389648438,17|12,100.0
CPI-SS0EA023E51,TENM3_ADGRL3,simple:Q9P273,simple:Q9HAR2,TENM3,ADGRL3,False,False,True,curated,False,Ligand-Receptor,Signaling by Teneurin,17|11,3.7219998836517334,17|11,100.0
CPI-SS0F9F83827,PTPRD_IL1RAPL1,simple:P23468,simple:Q9NZN1,PTPRD,IL1RAPL1,False,True,True,curated,False,Ligand-Receptor,,13|30,3.7039999961853027,13|30,100.0
CPI-SS0C977FC22,SOSTDC1_LRP6,simple:Q6X4U4,simple:O75581,SOSTDC1,LRP6,True,False,True,curated,False,Ligand-Receptor,Signaling by Sclerostin domain-containing protein,8|24,0.24400000274181366,8|24,100.0
CPI-SS0961DD05D,WNT1_FRZB,simple:P04628,simple:Q92765,WNT1,FRZB,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,27|29,0.24699999392032623,27|29,100.0
CPI-SS02704D1B8,WNT2_FRZB,simple:P09544,simple:Q92765,WNT2,FRZB,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,12|29,0.257999986410141,12|29,100.0
CPI-SS0A10C2A8F,WNT3_FRZB,simple:P56703,simple:Q92765,WNT3,FRZB,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,2|29,0.25999999046325684,2|29,100.0
CPI-SS07447802E,WNT1_SFRP5,simple:P04628,simple:Q5T4F7,WNT1,SFRP5,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,27|24,0.2669999897480011,27|24,100.0
CPI-SS0DA0F5556,CDH3_CDH3,simple:P22223,simple:P22223,CDH3,CDH3,False,False,False,curated,False,Adhesion-Adhesion,Adhesion by Cadherin,14|14,0.27300000190734863,14|14,100.0
CPI-SS001BD48FB,WNT2_SFRP5,simple:P09544,simple:Q5T4F7,WNT2,SFRP5,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,12|24,0.27799999713897705,12|24,100.0
CPI-SS0D2044B87,WNT3_SFRP5,simple:P56703,simple:Q5T4F7,WNT3,SFRP5,True,False,False,curated,False,Ligand-Ligand,Signaling by WNT inhibition,2|24,0.2800000011920929,2|24,100.0
CPI-SC03C02374B,WNT1_FZD3_LRP6,simple:P04628,complex:FZD3_LRP6,WNT1,,True,False,False,curated,False,Ligand-Receptor,Signaling by WNT,27|27,0.28600001335144043,27|27,100.0
CPI-CC066507DFB,atRetinoicAcid_byALDH1A2_RAreceptor_RARG,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RARG,,,True,False,True,curated,False,Ligand-Receptor,Signaling by Retinoic Acid,14|25,0.29600000381469727,14|25,100.0
CPI-SS0696491A3,EDN3_EDNRB,simple:P14138,simple:P24530,EDN3,EDNRB,True,False,True,curated,False,Ligand-Receptor,Signaling by Endothelin,20|14,0.29600000381469727,20|14,100.0
CPI-CC000118AA2,atRetinoicAcid_byALDH1A2_RAreceptor_RARG_RXRG,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RARG_RXRG,,,True,False,True,curated,False,Ligand-Receptor,Signaling by Retinoic Acid,14|25,0.29600000381469727,14|25,100.0
CPI-SC03F9E6AC5,WNT2_FZD3_LRP6,simple:P09544,complex:FZD3_LRP6,WNT2,,True,False,False,curated,False,Ligand-Receptor,Signaling by WNT,12|27,0.296999990940094,12|27,100.0
CPI-SC0C646FE07,WNT3_FZD3_LRP6,simple:P56703,complex:FZD3_LRP6,WNT3,,True,False,False,curated,False,Ligand-Receptor,Signaling by WNT,2|27,0.2980000078678131,2|27,100.0
CPI-SS014E486AB,FGF6_FGFR1,simple:P10767,simple:P11362,FGF6,FGFR1,True,False,True,curated,False,Ligand-Receptor,Signaling by Fibroblast growth factor,27|4,0.30000001192092896,27|4,100.0
