max_exprmean_column,max_exprmean_value
11|7,5.223999977111816
17|7,4.689000129699707
13|7,4.519000053405762
11|12,4.297999858856201
11|7,4.181000232696533
11|23,4.168000221252441
3|3,4.0289998054504395
7|14,3.9140000343322754
12|7,3.877000093460083
10|5,3.8519999980926514
25|7,3.8420000076293945
17|12,3.7639999389648438
17|11,3.7219998836517334
13|30,3.7039999961853027
17|10,3.671999931335449
13|12,3.5929999351501465
27|16,3.5290000438690186
16|7,3.5220000743865967
24|18,3.513000011444092
7|9,3.509000062942505
17|25,3.431999921798706
24|11,3.4049999713897705
24|11,3.375
13|12,3.3340001106262207
18|18,3.305999994277954
27|11,3.2639999389648438
11|12,3.25600004196167
21|11,3.1459999084472656
24|25,3.115000009536743
25|11,3.1019999980926514
24|25,3.0850000381469727
8|10,3.0810000896453857
11|11,3.0769999027252197
27|23,3.0369999408721924
1|7,3.0320000648498535
20|21,3.01200008392334
20|21,3.01200008392334
19|7,3.007999897003174
20|21,3.006999969482422
20|21,3.006999969482422
8|3,2.999000072479248
12|14,2.98799991607666
12|16,2.986999988555908
31|21,2.9779999256134033
31|21,2.9779999256134033
31|21,2.9739999771118164
31|21,2.9739999771118164
21|16,2.9660000801086426
12|12,2.9519999027252197
18|18,2.941999912261963
31|11,2.924999952316284
31|11,2.924999952316284
25|12,2.9170000553131104
11|11,2.9159998893737793
27|13,2.9140000343322754
17|14,2.7929999828338623
11|25,2.7880001068115234
18|10,2.7739999294281006
27|18,2.756999969482422
12|11,2.7209999561309814
18|16,2.7160000801086426
1|21,2.7100000381469727
1|21,2.7060000896453857
21|11,2.7009999752044678
27|11,2.6579999923706055
25|21,2.6530001163482666
25|21,2.6480000019073486
19|18,2.624000072479248
16|12,2.5969998836517334
12|9,2.5829999446868896
12|13,2.559999942779541
21|31,2.555000066757202
2|18,2.5360000133514404
27|13,2.5329999923706055
27|20,2.5199999809265137
27|31,2.486999988555908
24|14,2.4760000705718994
18|13,2.4749999046325684
17|10,2.4590001106262207
19|10,2.4549999237060547
24|18,2.4549999237060547
18|11,2.4509999752044678
24|14,2.446000099182129
27|18,2.440000057220459
31|31,2.431999921798706
24|27,2.4100000858306885
31|10,2.3959999084472656
2|23,2.3929998874664307
27|17,2.372999906539917
12|13,2.371000051498413
9|4,2.364000082015991
21|13,2.3510000705718994
13|17,2.3469998836517334
17|30,2.3459999561309814
11|11,2.321000099182129
20|16,2.315999984741211
20|16,2.315999984741211
1|11,2.3010001182556152
1|11,2.3010001182556152
18|18,2.2990000247955322
20|21,2.2890000343322754
31|16,2.2820000648498535
31|16,2.2820000648498535
3|12,2.23799991607666
27|7,2.2249999046325684
12|18,2.2149999141693115
8|10,2.2119998931884766
9|8,2.197999954223633
21|18,2.194000005722046
11|21,2.188999891281128
24|13,2.1630001068115234
17|13,2.1600000858306885
30|11,2.1570000648498535
19|13,2.1570000648498535
21|24,2.1510000228881836
24|27,2.1510000228881836
11|14,2.1489999294281006
27|16,2.140000104904175
20|27,2.13700008392334
20|27,2.13700008392334
4|13,2.117000102996826
1|12,2.1059999465942383
31|27,2.1029999256134033
31|27,2.1029999256134033
13|12,2.1010000705718994
18|13,2.1010000705718994
9|24,2.0999999046325684
19|12,2.0829999446868896
27|25,2.075000047683716
3|27,2.055999994277954
27|16,2.0439999103546143
8|10,2.0209999084472656
1|16,2.0139999389648438
1|25,2.010999917984009
1|25,2.010999917984009
27|25,2.003000020980835
31|14,1.996000051498413
31|14,1.996000051498413
12|13,1.9910000562667847
13|24,1.9869999885559082
27|12,1.9859999418258667
12|20,1.9780000448226929
24|13,1.9769999980926514
21|13,1.9709999561309814
25|16,1.9570000171661377
21|20,1.9570000171661377
24|21,1.9529999494552612
27|11,1.9509999752044678
12|31,1.9450000524520874
18|18,1.944000005722046
27|31,1.9329999685287476
27|7,1.930999994277954
21|31,1.9240000247955322
29|21,1.9149999618530273
22|21,1.9129999876022339
27|18,1.9119999408721924
29|21,1.9110000133514404
22|21,1.9079999923706055
8|25,1.8990000486373901
12|18,1.8980000019073486
8|14,1.8969999551773071
27|12,1.8960000276565552
6|11,1.8960000276565552
19|21,1.8949999809265137
19|21,1.8899999856948853
21|18,1.8769999742507935
18|21,1.8739999532699585
8|30,1.86899995803833
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|13,1.8550000190734863
20|17,1.8530000448226929
20|17,1.8530000448226929
1|27,1.8350000381469727
12|17,1.8300000429153442
20|13,1.8289999961853027
20|13,1.8289999961853027
20|13,1.8289999961853027
20|13,1.8289999961853027
6|11,1.8240000009536743
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|13,1.8209999799728394
31|17,1.819000005722046
31|17,1.819000005722046
18|8,1.8170000314712524
21|17,1.809999942779541
13|31,1.809000015258789
31|13,1.7949999570846558
31|13,1.7949999570846558
31|13,1.7949999570846558
31|13,1.7949999570846558
25|27,1.777999997138977
20|13,1.7630000114440918
27|9,1.7519999742507935
27|28,1.75
20|5,1.7380000352859497
20|5,1.7380000352859497
6|18,1.7350000143051147
27|14,1.7289999723434448
11|22,1.722000002861023
18|13,1.7209999561309814
18|20,1.7070000171661377
31|5,1.7039999961853027
31|5,1.7039999961853027
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
rank,1.701
