,meanscell_abundance_w_sf_0,meanscell_abundance_w_sf_1,meanscell_abundance_w_sf_2,meanscell_abundance_w_sf_3,meanscell_abundance_w_sf_4,meanscell_abundance_w_sf_5,meanscell_abundance_w_sf_6,meanscell_abundance_w_sf_7,meanscell_abundance_w_sf_8,meanscell_abundance_w_sf_9,meanscell_abundance_w_sf_10,meanscell_abundance_w_sf_11,meanscell_abundance_w_sf_12,meanscell_abundance_w_sf_13,meanscell_abundance_w_sf_14,meanscell_abundance_w_sf_15,meanscell_abundance_w_sf_16,meanscell_abundance_w_sf_17,meanscell_abundance_w_sf_18,meanscell_abundance_w_sf_19,meanscell_abundance_w_sf_20,meanscell_abundance_w_sf_21,meanscell_abundance_w_sf_22,meanscell_abundance_w_sf_23,meanscell_abundance_w_sf_24,meanscell_abundance_w_sf_25,meanscell_abundance_w_sf_26
cellid_000000009-1_1,0.123020574,0.07186099,0.440161,0.20259961,0.18053456,0.29202044,0.23736356,0.19916157,0.20700927,0.30663255,0.23019737,0.13736553,0.28662604,0.1652852,0.104073554,0.11121842,0.16739616,0.16669765,0.21343336,0.17713083,0.20088711,0.09586025,0.107328996,0.22142097,0.183108,0.16717039,0.07019525
cellid_000000053-1_1,0.11057935,0.118292056,0.12725781,0.16588189,0.24162666,0.16695943,0.1328108,0.17004338,0.16284338,0.22340094,0.30311033,0.38923112,0.14235474,0.24793686,0.12048312,0.085294515,0.15701607,0.14399415,0.17325892,0.1951033,0.20003304,0.12062048,0.07007795,0.2035444,0.11464803,0.13825151,0.08230706
cellid_000000128-1_1,0.34285495,0.14610566,0.27801147,0.5864855,0.65002817,0.6977761,0.4078009,0.42254996,0.46838462,0.5156465,0.5136613,0.2622785,0.3970974,0.34946567,0.4362644,0.217612,0.55309653,0.36608073,0.28839493,0.45284975,0.34004062,0.39705932,0.2392487,0.39913368,0.3180221,0.5831135,0.1551256
cellid_000000172-1_1,0.15621024,0.18204767,0.18769373,0.2919853,0.37468258,0.3609487,0.25696436,0.23987523,0.18707861,0.320952,0.30194488,0.24519728,0.2829592,0.31675088,0.24147192,0.1543283,0.21461608,0.26343742,0.33310908,0.20055097,0.2950572,0.12955838,0.16262817,0.24179487,0.20683163,0.1695156,0.10819122
cellid_000000201-1_1,0.3993573,0.24507555,0.6478075,1.0646802,0.61295164,1.2927638,0.548214,0.4262092,0.4877374,0.6406153,0.5306466,0.40549555,0.51204246,0.41572547,0.37088215,0.23726436,0.6517077,0.45905495,0.3596186,0.44445089,0.4139679,0.48036563,0.593376,0.41918185,0.4434785,0.45965034,0.31726554
cellid_000000217-1_1,0.1865319,0.08662258,0.114824265,0.17948566,0.2258751,0.18361992,0.15070543,0.16080436,0.15437022,0.18059997,0.2042478,0.18211941,0.14397457,0.12747179,0.16537559,0.1002982,0.1988502,0.14527649,0.13841583,0.19804758,0.13231166,0.11922037,0.08939533,0.1759062,0.119412415,0.101729944,0.08024597
cellid_000000225-1_1,0.22803728,0.12373717,0.32553357,0.97207206,0.52234966,0.5737455,0.29660863,0.33898324,0.31183895,0.3990017,0.44956383,0.30563247,0.4505063,0.25274402,0.26808354,0.1675593,0.3766004,0.2972727,0.3291803,0.2890628,0.33471835,0.22841865,0.21460119,0.30938724,0.38738364,0.41084674,0.18085358
cellid_000000240-1_1,0.08814407,0.08786579,0.10883838,0.21988761,0.120903656,0.13346285,0.13928826,0.1933586,0.09153435,0.15543026,0.26821077,0.1535321,0.1644023,0.10700059,0.12628345,0.1398932,0.21400434,0.10917574,0.17788735,0.12892824,0.18666553,0.1272381,0.05954228,0.17350328,0.09824124,0.1754691,0.07267859
cellid_000000246-1_1,0.11193046,0.20496807,0.33123574,0.21689862,0.1632901,0.23302208,0.18863088,0.24993558,0.12042489,0.2518009,0.20312221,0.12120171,0.17227206,0.1823161,0.18494374,0.22545405,0.14962427,0.1673844,0.1326607,0.11229858,0.16767298,0.1524408,0.077359185,0.15420267,0.20534122,0.13900979,0.11421882
cellid_000000257-1_1,0.3044402,0.1023177,0.24292476,0.24096224,0.24412441,0.14034691,0.21473616,0.3222269,0.22738636,0.31046033,0.3171299,0.35203046,0.22709177,0.19226217,0.5151519,0.12800275,0.23144774,0.18939619,0.3262792,0.3994248,0.20660242,0.23235844,0.24805245,0.21068092,0.17799275,0.26516074,0.1699083
cellid_000000298-1_1,0.0441359,0.11418657,0.10911648,0.10408561,0.09311578,0.07066181,0.05719686,0.2267215,0.19449802,0.11015783,0.103976294,0.78779167,0.11408367,0.084939726,0.0934823,0.12903303,0.12617154,0.05990838,0.118668295,0.11860068,0.22708122,0.04642383,0.041448787,0.12261006,0.070828326,0.044996276,0.20781726
cellid_000000303-1_1,0.13174771,0.08239565,0.19646892,0.7038475,0.21204746,0.25492284,0.16115381,0.30707696,0.20112783,0.29624173,0.22798619,0.6939847,0.19351017,0.19040872,0.1501915,0.14434715,0.21993387,0.16073546,0.1435906,0.1462412,0.21524177,0.15118165,0.09049168,0.17471376,0.1081838,0.2130539,0.13615473
cellid_000000306-1_1,0.09747566,0.18016365,1.0614706,0.20064488,0.18050833,0.12522869,0.12802725,0.18485527,0.10871503,0.22513764,0.36158627,0.21558289,0.4954908,0.16266204,0.09860025,0.22552477,0.20649034,0.13321841,0.14305094,0.114032075,0.267126,0.14403199,0.12398778,0.27791795,0.13596009,0.1116046,0.12724218
cellid_000000308-1_1,0.15409519,0.13701221,0.31707478,0.9557637,0.3719188,0.25996187,0.17876658,0.3624099,0.32746,0.31489238,0.24403307,0.28850687,0.34576902,0.16776274,0.20148413,0.19273537,0.29017308,0.28635934,0.22015978,0.18531342,0.31874537,0.15519506,0.15963238,0.27883372,0.24252987,0.16595308,0.1659823
cellid_000000314-1_1,0.19620907,0.08567494,0.18125148,0.7547947,0.23611996,0.46241942,0.25169536,0.21774113,0.24428663,0.37172648,0.3525937,0.27943492,0.21883327,0.21019794,0.19582222,0.13919345,0.20864446,0.23621394,0.2629644,0.18379422,0.17731416,0.15861264,0.16123253,0.3448608,0.20358503,0.16607502,0.16343486
cellid_000000335-1_1,0.28714553,0.2350691,0.39851117,1.181783,1.1178999,0.6375344,0.4940096,0.5012665,0.52570295,0.4720329,1.0709573,0.3269663,0.48523548,0.4775492,0.31089413,0.2174485,0.2944723,0.42445773,0.40152115,0.34945697,0.32497886,0.26118293,0.3350175,0.33671683,0.3357714,0.34181973,0.23637562
cellid_000000342-1_1,0.16042276,0.1198274,0.1750538,0.28761512,0.21020421,0.26831168,0.16458306,0.2391856,0.10401607,0.35499945,0.2946692,0.1932113,0.21096694,0.25245732,0.17975917,0.140657,0.17886625,0.25246394,0.21135876,0.17297561,0.19395465,0.16860381,0.1161096,0.24040885,0.21022019,0.1424324,0.09870755
cellid_000000394-1_1,0.1538754,0.081611134,0.115900554,0.119129874,0.16415864,0.16512342,0.15004471,0.13266404,0.12013443,0.15698904,0.20291069,0.15827197,0.1455699,0.12106766,0.12942915,0.070926815,0.15491322,0.24193314,0.10075337,0.15355176,0.2279757,0.15228169,0.10843442,0.15589999,0.11683135,0.13042611,0.06493618
cellid_000000407-1_1,0.1950882,0.15890227,0.17549029,0.55710524,0.3930091,0.5040424,0.2581041,0.2914396,0.18221632,0.23834407,0.25075844,0.139913,0.16154623,0.15342541,0.14984906,0.16379668,0.2804282,0.2560376,0.18791343,0.18926607,0.21799655,0.1465208,0.3848111,0.25972998,0.19045113,0.22177458,0.13843687
cellid_000000441-1_1,0.89883965,0.29116917,0.58960134,1.6614515,1.2999382,1.3086946,0.7631372,0.8698649,1.6684784,0.8125675,0.7763108,0.530942,0.8141899,0.6042305,0.92328894,0.3925313,0.731819,0.7589985,1.0622168,1.0140439,0.641138,0.74708277,1.240421,0.65791154,0.6183506,0.8454912,0.39323375
cellid_000000462-1_1,0.16779959,0.08250288,0.2045244,0.91493994,0.24566235,0.57562983,0.43355858,0.25316328,0.14983016,0.39852023,0.4235379,0.14636992,0.2047731,0.20748201,0.19064794,0.11391404,0.30762282,0.23217405,0.19886547,0.18887942,0.23080817,0.21299191,0.10574403,0.17510681,0.16425785,0.16033354,0.1176711
cellid_000000472-1_1,0.08223274,0.06371723,0.08022139,0.11786644,0.12866014,0.121986434,0.081203535,0.11651825,0.08209841,0.15441233,0.21901105,0.12932485,0.15254955,0.11473689,0.07338329,0.07632787,0.20581885,0.20362091,0.10053056,0.10416883,0.09409396,0.09569647,0.050204292,0.15778929,0.05747698,0.05803117,0.05036295
cellid_000000475-1_1,0.4250789,0.14649308,0.37780732,1.249147,0.6094981,1.0003538,0.53555775,0.42640486,0.477373,0.59375167,0.6684198,0.42545253,0.50573874,0.33362228,0.42613602,0.23119612,0.6596794,0.4568629,0.3898655,0.32966885,0.5239815,0.3625979,0.28061858,0.4751607,0.3255309,0.33943635,0.14920379
cellid_000000484-1_1,0.1450078,0.14669129,0.24028912,0.4720554,0.34070736,0.45108074,0.22737415,0.261329,0.2412145,0.2906719,0.21865621,0.2001757,0.34277207,0.2383268,0.2150799,0.2089672,0.19148056,0.19441216,0.15908886,0.1860331,0.28462338,0.16830862,0.1049698,0.17425667,0.16602701,0.13972294,0.08629814
cellid_000000490-1_1,0.121824004,0.20970725,0.12577127,0.27040204,0.21066113,0.12852043,0.13666812,0.23957063,0.11100118,0.22051674,0.1699361,0.22533895,0.19386053,0.16326748,0.11978443,0.17038924,0.18961339,0.18150932,0.19104996,0.13976662,0.1691914,0.1351962,0.14055793,0.21633944,0.20953895,0.12834851,0.066220544
cellid_000000491-1_1,0.14539696,0.7206696,0.23964757,0.5920036,0.30811,0.25660914,0.2806573,0.33694103,0.20912954,0.38063872,0.40559292,0.34461936,0.30671299,0.33838058,0.16876368,0.3529848,0.38323236,0.20345072,0.2944208,0.21950813,0.35495242,0.2127825,0.1261016,0.2913188,0.2298883,0.17523952,0.1665195
cellid_000000540-1_1,0.21245123,0.15301888,0.30081567,0.96996886,0.7503188,0.61266667,0.4307173,0.2964999,0.57541484,0.37161613,0.32635906,0.2767843,0.30040526,0.22993518,0.20807207,0.17558096,0.42883477,0.39370814,0.31752163,0.25510663,0.39822087,0.21384694,0.454944,0.32036555,0.27176762,0.29447472,0.12569442
cellid_000000544-1_1,0.28169745,0.13868552,0.21660523,0.4320255,0.5848166,0.43748,0.26578274,0.34835255,0.39726272,0.3835577,0.4040395,0.33411017,0.33097035,0.30896968,0.46048927,0.27790055,0.39506733,0.32020837,0.29032895,0.5130075,0.43456474,0.28145877,0.3036069,0.25297618,0.25444987,0.36944473,0.2484592
cellid_000000575-1_1,0.15781093,0.110343836,0.16468367,0.35973027,0.35552588,0.28491685,0.2974518,0.22138187,0.23540376,0.2712658,0.26292223,0.22275518,0.24465446,0.16307844,0.20137945,0.12317794,0.16867384,0.54205525,0.18305007,0.21738985,0.23830616,0.17508978,0.09960949,0.22997038,0.2069315,0.16237178,0.1146768
cellid_000000576-1_1,0.09830323,0.089403085,0.120569736,0.3226456,0.30745438,0.26425883,0.2082485,0.20646423,0.2781483,0.16225809,0.15290594,0.18476234,0.16271456,0.13014318,0.16384463,0.12316207,0.14463995,0.1499254,0.13673273,0.12657352,0.17153612,0.14782771,0.13524745,0.15724856,0.13257997,0.1318674,0.07879975
