,q95cell_abundance_w_sf_0,q95cell_abundance_w_sf_1,q95cell_abundance_w_sf_2,q95cell_abundance_w_sf_3,q95cell_abundance_w_sf_4,q95cell_abundance_w_sf_5,q95cell_abundance_w_sf_6,q95cell_abundance_w_sf_7,q95cell_abundance_w_sf_8,q95cell_abundance_w_sf_9,q95cell_abundance_w_sf_10,q95cell_abundance_w_sf_11,q95cell_abundance_w_sf_12,q95cell_abundance_w_sf_13,q95cell_abundance_w_sf_14,q95cell_abundance_w_sf_15,q95cell_abundance_w_sf_16,q95cell_abundance_w_sf_17,q95cell_abundance_w_sf_18,q95cell_abundance_w_sf_19,q95cell_abundance_w_sf_20,q95cell_abundance_w_sf_21,q95cell_abundance_w_sf_22,q95cell_abundance_w_sf_23,q95cell_abundance_w_sf_24,q95cell_abundance_w_sf_25,q95cell_abundance_w_sf_26
cellid_000000009-1_1,0.27624226,0.20781074,1.0859847,0.45354202,0.44082218,0.8311556,0.93086123,0.6272014,0.5039118,1.1374964,0.5886308,0.3338336,0.8143947,0.47705728,0.2958093,0.35985443,0.4968809,0.52845055,0.6562315,0.43765822,0.5291801,0.26063555,0.27382144,0.62836605,0.5762357,0.32933596,0.21176285
cellid_000000053-1_1,0.2723836,0.27047443,0.41262442,0.5492692,0.8190491,0.5190803,0.4640332,0.47673312,0.40930927,0.6047923,0.9495678,0.8656601,0.48649532,0.717986,0.34757856,0.23786275,0.4470123,0.37769538,0.56162405,0.5085386,0.5670249,0.40724456,0.19047937,0.48487687,0.4326227,0.3976531,0.29454777
cellid_000000128-1_1,0.6238389,0.30554974,0.5656017,1.2359185,1.2734772,1.2742567,0.9005662,0.84991914,0.9402454,1.15565,1.4149417,0.54285634,0.9848631,0.7983481,0.7658326,0.59566796,1.1172104,0.97713375,0.7311219,0.9559322,0.6079781,1.0525289,0.590504,0.88328636,0.7350236,1.2468532,0.38864687
cellid_000000172-1_1,0.41574502,0.4881556,0.42935196,0.5358222,1.0564322,0.7691319,0.5817095,0.5525993,0.48837116,0.85512805,0.7094101,0.5861189,0.7824193,0.9428213,0.5533509,0.39439562,0.4757735,0.9841512,1.0459129,0.580692,0.7414085,0.35168013,0.33448073,0.5681899,0.4739891,0.44666943,0.3153947
cellid_000000201-1_1,0.74845266,0.5286316,1.4001797,1.9968941,1.484033,2.2950513,1.2469717,1.0189588,1.0362716,1.4596859,1.2762725,0.952241,1.0680205,1.0525863,0.82777005,0.6187017,1.6373718,1.053168,0.6770173,1.0028384,0.8446176,1.0631377,0.96943873,0.85010004,0.8907931,0.90467083,0.6407552
cellid_000000217-1_1,0.45949817,0.24800919,0.2637046,0.52078974,0.5839896,0.4819281,0.44994918,0.44030437,0.42998108,0.5267121,0.462168,0.60369736,0.42659828,0.31492296,0.48666605,0.29976043,0.5661964,0.49194875,0.4074117,0.49786964,0.36102653,0.3223292,0.35906807,0.46349677,0.4050606,0.25960574,0.19704157
cellid_000000225-1_1,0.5136644,0.34265494,1.0380023,1.5939263,1.0352162,1.2985537,0.5715211,0.7691431,0.76016104,0.89762807,1.0925256,0.77869517,1.0900007,0.6009945,0.7964405,0.36008137,0.8063243,0.678995,0.77099615,0.7982098,0.8936201,0.49576798,0.40265086,0.7549915,0.96899486,0.8172479,0.57355285
cellid_000000240-1_1,0.25999752,0.25190586,0.3231976,0.6232584,0.34128845,0.34817523,0.36130086,0.579893,0.24806406,0.43001318,1.0901648,0.6174785,0.46910152,0.3279065,0.36152166,0.36437273,0.68148136,0.33493707,0.6009071,0.33583844,0.5118654,0.40585065,0.13972226,0.49388102,0.25646397,0.46665344,0.21143238
cellid_000000246-1_1,0.329935,0.5305849,0.87824196,0.5015413,0.5319864,0.5996406,0.4252976,0.9562164,0.3260379,0.6828174,0.57286084,0.36325547,0.4915124,0.5090276,0.4860978,0.6706905,0.38226002,0.5565027,0.39342958,0.41484472,0.41211182,0.48652568,0.23280343,0.4437409,0.46444553,0.33021894,0.28152087
cellid_000000257-1_1,0.8067369,0.2935363,0.61551964,0.5739184,0.5048882,0.32875893,0.4120825,0.7213875,0.46244037,0.6453946,0.8286747,1.0065749,0.56279755,0.54339063,1.1424187,0.41538185,0.7752575,0.43702546,0.7835135,0.9070943,0.5328291,0.5177404,0.43336576,0.5697116,0.43761283,0.6503475,0.39893198
