,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
LOC129348986,1.4262303,0.66463417,0.2810926,0.97523606,1.0360984,0.9433742,0.9499254,0.80424273,1.3883251,0.69539624,0.5088739,0.57374424,0.8373512,0.6382182,0.89047337,0.5606877,1.1934896,1.0403662,1.0814542,1.1352866,0.47601297,0.9697286,1.1851877,1.0810281,1.2385001,1.7950394,1.040373
trip4,0.66443026,0.26134714,0.15071978,0.42765513,0.3350623,0.4826156,0.36715204,0.19969894,0.51811254,0.27047032,0.2430654,0.20354351,0.30616412,0.2917015,0.48289126,0.22091791,0.3469879,0.4286794,0.35168087,0.4718969,0.1942074,0.49796274,0.86419505,0.2912597,0.5342868,0.52882475,0.3944571
chrna7a,0.02397593,0.005799931,0.0009700324,0.03806712,0.01850296,0.05571178,0.01631562,0.007010842,0.0026841443,0.023526415,0.001701797,0.0024856972,0.093831144,0.0024380214,0.009379227,0.041940972,0.0071284305,0.10394195,0.0035310208,0.035673007,0.014308441,0.010693254,0.011011937,0.005206342,0.020459091,0.01529181,0.10714415
cln6a,0.1418867,0.06652879,0.052274045,0.13046972,0.11100393,0.11814892,0.118367694,0.07381512,0.11365187,0.04273548,0.043545984,0.051240627,0.062156644,0.123603225,0.08478306,0.07104118,0.042581048,0.10776693,0.1042754,0.09593958,0.042695016,0.12733121,0.08698279,0.04429983,0.121392995,0.09894457,0.04675601
LOC118470268,0.040133975,0.028396068,0.0013144875,0.033332422,0.0091233365,0.04226669,0.048411466,0.010672893,0.014254275,0.0050931196,0.0029854209,0.004250667,0.007633748,0.0068979,0.017155778,0.03978419,0.010474593,0.015388229,0.0037309625,0.008083592,0.01728278,0.024534786,0.011516388,0.027315361,0.02029186,0.005817754,0.020602774
calml4a,0.012884978,0.0055360305,0.0019743904,0.00921476,0.004701731,0.008438262,0.016656622,0.009056923,0.005157717,0.0035624416,0.0021979525,0.0016203262,0.0035584047,0.003453006,0.011776664,0.013558956,0.0022260093,0.0073113656,0.0060826107,0.0064942786,0.006138041,0.0134507,0.009200678,0.009862322,0.02533078,0.022443457,0.038586672
LOC111568352,0.095113166,0.1670594,0.001284266,0.07438068,0.0048743617,0.07138035,0.08539374,0.036960248,0.011930837,0.032084532,0.0033601767,0.07772905,0.0037351951,0.011439476,0.030190522,0.21163212,0.0058462517,0.026342435,0.009604623,0.0075270664,0.033769652,0.043419573,0.016282188,0.0138761075,0.09990085,0.016051618,0.07482988
rxfp3.3a2,0.030272512,0.00035153175,0.00061827473,0.028321505,0.0010074786,0.02266106,0.09864957,0.0013924782,0.001746889,0.010089319,0.0021353203,0.0015788893,0.002731678,0.0018271279,0.023326851,0.0020299295,0.005453796,0.0030503278,0.0034074013,0.0030753575,0.013605671,0.010265576,0.011522388,0.013376474,0.016173495,0.006445335,0.02511514
rps17,0.10734219,0.049854793,0.034166336,0.05606829,0.063200906,0.083061256,0.07383087,0.027844418,0.069728985,0.047855284,0.038652197,0.0853502,0.031318445,0.054248553,0.06496594,0.071660735,0.07689058,0.0839418,0.06616051,0.08898237,0.055494662,0.07812043,0.17039196,0.08334882,0.093383424,0.07183599,0.10109914
LOC129347713,0.0047292565,0.0010592438,0.0005808571,0.0022278416,0.0012281169,0.003709681,0.0046062223,0.002041255,0.0034645286,0.0030895474,0.002523615,0.0014268506,0.0014061553,0.0015881449,0.004333615,0.009103251,0.0033771757,0.0019532826,0.006125732,0.0026218973,0.0023931256,0.0049426784,0.0051762112,0.0026446686,0.0051542036,0.0086843185,0.018291349
csnk1g1,0.49769828,0.11950021,0.16523686,0.41136423,0.3289963,0.39485142,0.31146285,0.22222331,0.506867,0.21609496,0.2413965,0.16289353,0.21837783,0.2165611,0.3561022,0.14366888,0.54549307,0.37357828,0.46343312,0.3279538,0.17459829,0.38411573,0.8951078,0.1629577,0.4345647,0.41487083,0.26646736
LOC111571203,0.10379627,0.047192268,0.04953467,0.08438724,0.07500202,0.08182931,0.08083005,0.038608145,0.10937125,0.03930015,0.04602534,0.04681804,0.041724212,0.06764474,0.11565233,0.038397335,0.052844137,0.06778567,0.0854042,0.091765255,0.048566863,0.10030365,0.12571035,0.05745812,0.067403115,0.09536972,0.086999364
neo1a,1.7720916,0.96189934,0.12637644,1.3593712,1.5474255,0.7994856,1.0636237,0.75232095,0.41278785,0.7690115,0.8507488,0.35566488,0.8324173,0.19744025,0.34290287,0.72872156,1.815547,2.2281659,1.3395561,0.25741875,0.31594446,1.2615334,2.129312,1.305991,1.4375606,1.0209657,1.2993984
LOC129349243,0.016183194,0.010687415,0.0017977423,0.010437784,0.013721039,0.004987241,0.0075746337,0.010262878,0.003511227,0.00870408,0.012493682,0.0020460975,0.009936595,0.0025947646,0.006787999,0.0034369994,0.017869394,0.013552351,0.012799146,0.003274726,0.0047235624,0.022141082,0.016688162,0.008409102,0.017619986,0.011718028,0.032390986
LOC111567962,0.48582527,0.6184733,0.28529793,0.32693863,0.29333004,0.35138434,0.43492213,0.18644193,0.7007937,0.19575362,0.34566537,0.1553276,0.1683264,0.40768716,0.50798917,0.6678968,0.643888,0.48132637,0.45962727,0.41808182,0.21376467,0.6631183,0.8464551,0.52354914,0.42900646,0.13682993,0.35736126
LOC129347359,0.0013355169,0.000333368,0.000621198,0.000840581,0.0013021389,0.0016643872,0.0018392189,0.0011409319,0.003566143,0.0009451717,0.0014326108,0.0012850128,0.0010793725,0.0015766183,0.003598614,0.0028483134,0.0030823876,0.0015507647,0.0030070534,0.0024679536,0.0023948473,0.0044229194,0.0038821476,0.0054716677,0.003988545,0.014414387,0.015310116
bbs4,0.2669492,0.12752971,0.037303917,0.3029126,0.13721551,0.28574145,0.26115194,0.076094985,0.18974921,0.10482743,0.123223186,0.032787934,0.12040756,0.064261325,0.1714858,0.16320913,0.13371573,0.12813932,0.16126549,0.17067266,0.051714245,0.27942955,0.22323048,0.19972567,0.28250116,0.18909965,0.08411793
scamp2l,0.104715034,0.05693252,0.004717041,0.10901079,0.08914481,0.09642494,0.11247293,0.044124287,0.10963656,0.027263418,0.035756476,0.010988344,0.042001687,0.05822934,0.08002559,0.038208626,0.04941804,0.04841147,0.102273524,0.0843887,0.023592371,0.054233547,0.15788516,0.053008594,0.07976529,0.030010577,0.02958049
LOC129347348,0.005774779,0.009090694,0.0023576648,0.0039615757,0.0027849788,0.0055045704,0.008719564,0.0021486217,0.0077980617,0.0025970999,0.0027487213,0.00256954,0.00516931,0.019482916,0.0056065954,0.008586134,0.004272947,0.0075688884,0.007930503,0.010307504,0.0043560104,0.01830744,0.066894464,0.010805524,0.02165243,0.013344286,0.030094564
myo9aa,0.11082154,0.35197505,0.151819,0.110242605,0.020845069,0.1778912,0.12162405,0.030104762,0.13301817,0.07369705,0.07495232,0.100942664,0.045969203,0.79144764,0.060598597,0.3182793,0.046382137,0.07791094,0.04212915,0.051516768,0.057038095,0.031168437,1.3476691,0.13346043,0.35637203,0.07151699,0.16310336
senp8,0.025533613,0.004558178,0.002905997,0.017797217,0.019042484,0.016223166,0.01896417,0.006295459,0.022149079,0.0053656353,0.0041046315,0.007242618,0.007910404,0.0047253924,0.021517387,0.007811614,0.013398559,0.017099166,0.015277793,0.023044009,0.007589338,0.024168108,0.042790797,0.011508654,0.039336003,0.009434534,0.045047384
LOC111580711,0.06566876,0.015761524,0.0033773894,0.03801966,0.0755621,0.041462973,0.2529621,0.033626497,0.29828784,0.02400858,0.08692381,0.06057846,0.008170645,0.008677695,0.013854435,0.28995767,0.023613987,0.071820594,0.6180772,0.03499202,0.012884609,0.023284353,0.17944273,0.071742706,0.08633332,0.10987947,0.023726864
anp32a,0.06675809,0.03477973,0.021876583,0.034409937,0.05846348,0.04489789,0.034932088,0.037285946,0.06793202,0.03179403,0.021571536,0.008966038,0.021019774,0.03628837,0.032527342,0.034012318,0.026469395,0.038809706,0.06897245,0.025880676,0.013792865,0.040778883,0.113284625,0.033111636,0.05762558,0.053990573,0.08897254
coro2ba,0.57563835,0.388076,0.10091629,0.34443113,0.38974983,0.3107949,0.207152,0.3435496,1.0130805,0.2313606,0.48012894,0.05517379,0.10891047,0.094614275,0.3010354,0.32028627,0.12142063,0.5781353,0.78068,0.33660808,0.08703102,0.25601503,1.4467349,0.09551673,0.38830823,0.18845904,0.25697267
itga11a,0.082198486,0.026406348,0.0087468885,0.028276874,0.2786371,0.043652058,0.033225503,0.009711212,0.057851296,0.0166693,0.017994216,0.008396466,0.0081403935,0.021802234,0.0119916685,0.020625882,0.045696493,0.011006334,0.034272015,0.008092193,0.008395989,0.056535684,0.036824603,0.03033637,0.045868576,0.124696106,0.08434669
