"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"A12D",463,419,349,557,225,282,352,8,36,103,65,97,90,165,105,5,76,6,60,64,67,55,100,64,49,26,40,27,19,8,1,10
"A22D",255,273,121,0,113,186,188,219,166,116,60,73,29,65,46,91,36,26,53,44,57,11,22,27,42,23,22,14,12,7,3,9
"A25D",278,173,257,286,156,100,168,10,73,55,54,53,50,66,59,82,33,6,38,35,36,29,56,24,27,25,32,28,8,14,0,10
"B21F",266,332,180,0,144,145,145,64,22,65,44,82,67,111,42,2,74,64,54,54,45,41,40,20,32,26,17,0,19,12,3,13
"B21M",225,209,93,109,66,16,4,148,141,60,39,52,33,2,16,23,19,38,36,24,16,24,10,24,35,12,9,15,6,4,0,8
"B23F",155,300,177,1,82,98,337,6,0,62,27,84,57,35,56,0,53,2,31,38,47,29,29,21,10,26,32,0,5,60,132,2
"B23M",125,198,121,97,98,139,39,2,25,64,58,49,63,20,48,5,41,16,24,32,31,25,25,18,5,21,16,10,12,3,0,4
"C13F",408,416,233,99,391,164,172,486,296,232,215,92,72,0,117,239,41,188,71,76,54,33,23,37,74,58,48,17,36,19,4,19
"C13M",406,454,217,270,117,180,32,11,5,141,93,92,100,23,61,5,91,105,63,50,41,50,64,54,13,58,16,35,43,12,5,22
"C14F",252,209,151,203,133,36,21,13,62,96,112,57,72,51,49,4,47,22,46,47,21,49,39,43,31,32,10,12,17,5,0,10
"C14M",307,303,186,274,123,159,82,221,108,82,57,60,61,86,49,86,53,81,56,43,25,32,34,23,30,29,23,28,17,17,2,9
"C15F",265,243,103,23,133,83,1,24,86,49,49,63,71,1,34,8,43,2,38,42,27,22,25,31,23,25,12,18,19,1,2,5
"C15M",280,258,153,213,102,58,19,4,70,62,17,40,44,70,40,1,42,0,43,35,29,31,21,22,21,18,18,23,6,9,0,10
"C21D",272,284,158,167,127,70,134,14,45,24,24,49,28,87,54,0,57,13,47,38,38,29,25,37,20,16,8,27,15,15,1,8
"D4F",378,257,198,201,127,268,174,129,96,127,67,63,46,52,70,112,51,38,43,42,34,37,22,42,30,37,16,25,15,22,7,9
"D4M",271,230,116,67,75,55,18,199,145,120,57,43,20,52,33,104,43,92,38,33,15,21,16,18,26,27,26,13,20,14,0,12
"GH",272,370,186,226,55,307,417,1,3,3,5,2,42,124,36,0,90,4,50,40,78,29,25,24,7,1,8,17,11,24,3,3
"T11D",221,227,219,65,281,34,9,40,62,65,91,54,51,29,71,106,37,69,44,38,20,39,64,19,16,28,40,19,19,30,0,6
"T13D",267,238,130,138,114,49,0,176,150,97,53,40,37,3,34,52,28,80,40,34,11,26,11,44,30,37,11,20,17,8,0,7
"T14D",132,173,150,174,53,106,122,0,1,0,1,5,44,22,44,1,21,0,20,33,33,28,26,10,1,1,26,15,2,34,41,1
"T17D",341,275,197,334,144,18,20,297,168,97,65,54,52,33,56,121,45,118,61,40,18,52,13,29,37,24,14,27,27,9,0,9
"T19D",300,263,142,192,82,38,46,177,84,80,50,64,59,61,42,74,37,62,41,40,25,40,23,35,26,16,21,15,18,16,1,9
"T5D",239,195,121,175,101,16,37,29,34,52,40,67,45,67,26,0,37,48,37,34,14,29,22,29,25,24,8,20,13,8,0,9
