"","A12D","A22D","A25D","B21F","B21M","B23F","B23M","C13F","C13M","C14F","C14M","C15F","C15M","C21D","D4F","D4M","GH","T11D","T13D","T14D","T17D","T19D","T5D"
"0",463,255,278,266,225,155,125,408,406,252,307,265,280,272,378,271,272,221,267,132,341,300,239
"1",419,273,173,332,209,300,198,416,454,209,303,243,258,284,257,230,370,227,238,173,275,263,195
"2",349,121,257,180,93,177,121,233,217,151,186,103,153,158,198,116,186,219,130,150,197,142,121
"3",557,0,286,0,109,1,97,99,270,203,274,23,213,167,201,67,226,65,138,174,334,192,175
"4",225,113,156,144,66,82,98,391,117,133,123,133,102,127,127,75,55,281,114,53,144,82,101
"5",282,186,100,145,16,98,139,164,180,36,159,83,58,70,268,55,307,34,49,106,18,38,16
"6",352,188,168,145,4,337,39,172,32,21,82,1,19,134,174,18,417,9,0,122,20,46,37
"7",8,219,10,64,148,6,2,486,11,13,221,24,4,14,129,199,1,40,176,0,297,177,29
"8",36,166,73,22,141,0,25,296,5,62,108,86,70,45,96,145,3,62,150,1,168,84,34
"9",103,116,55,65,60,62,64,232,141,96,82,49,62,24,127,120,3,65,97,0,97,80,52
"10",65,60,54,44,39,27,58,215,93,112,57,49,17,24,67,57,5,91,53,1,65,50,40
"11",97,73,53,82,52,84,49,92,92,57,60,63,40,49,63,43,2,54,40,5,54,64,67
"12",90,29,50,67,33,57,63,72,100,72,61,71,44,28,46,20,42,51,37,44,52,59,45
"13",165,65,66,111,2,35,20,0,23,51,86,1,70,87,52,52,124,29,3,22,33,61,67
"14",105,46,59,42,16,56,48,117,61,49,49,34,40,54,70,33,36,71,34,44,56,42,26
"15",5,91,82,2,23,0,5,239,5,4,86,8,1,0,112,104,0,106,52,1,121,74,0
"16",76,36,33,74,19,53,41,41,91,47,53,43,42,57,51,43,90,37,28,21,45,37,37
"17",6,26,6,64,38,2,16,188,105,22,81,2,0,13,38,92,4,69,80,0,118,62,48
"18",60,53,38,54,36,31,24,71,63,46,56,38,43,47,43,38,50,44,40,20,61,41,37
"19",64,44,35,54,24,38,32,76,50,47,43,42,35,38,42,33,40,38,34,33,40,40,34
"20",67,57,36,45,16,47,31,54,41,21,25,27,29,38,34,15,78,20,11,33,18,25,14
"21",55,11,29,41,24,29,25,33,50,49,32,22,31,29,37,21,29,39,26,28,52,40,29
"22",100,22,56,40,10,29,25,23,64,39,34,25,21,25,22,16,25,64,11,26,13,23,22
"23",64,27,24,20,24,21,18,37,54,43,23,31,22,37,42,18,24,19,44,10,29,35,29
"24",49,42,27,32,35,10,5,74,13,31,30,23,21,20,30,26,7,16,30,1,37,26,25
"25",26,23,25,26,12,26,21,58,58,32,29,25,18,16,37,27,1,28,37,1,24,16,24
"26",40,22,32,17,9,32,16,48,16,10,23,12,18,8,16,26,8,40,11,26,14,21,8
"27",27,14,28,0,15,0,10,17,35,12,28,18,23,27,25,13,17,19,20,15,27,15,20
"28",19,12,8,19,6,5,12,36,43,17,17,19,6,15,15,20,11,19,17,2,27,18,13
"29",8,7,14,12,4,60,3,19,12,5,17,1,9,15,22,14,24,30,8,34,9,16,8
"30",1,3,0,3,0,132,0,4,5,0,2,2,0,1,7,0,3,0,0,41,0,1,0
"31",10,9,10,13,8,2,4,19,22,10,9,5,10,8,9,12,3,6,7,1,9,9,9
