"","D","E","F","M","NF","NRM"
"0",1743,684,1724,1614,341,272
"1",1599,646,1757,1652,275,370
"2",1079,568,1042,886,197,186
"3",1132,622,527,1030,334,226
"4",746,506,1010,581,144,55
"5",565,316,794,607,18,307
"6",695,361,850,194,20,417
"7",625,48,722,585,297,1
"8",553,98,562,494,168,3
"9",424,168,631,529,97,3
"10",282,156,514,321,65,5
"11",351,151,441,336,54,2
"12",292,141,385,321,52,42
"13",371,194,250,253,33,124
"14",305,176,368,247,56,36
"15",300,111,365,224,121,0
"16",249,113,309,289,45,90
"17",235,75,316,332,118,4
"18",276,104,283,260,61,50
"19",258,102,299,217,40,40
"20",214,87,228,157,18,78
"21",192,94,211,183,52,29
"22",185,164,178,170,13,25
"23",206,83,194,159,29,24
"24",171,65,200,130,37,7
"25",142,54,204,165,24,1
"26",128,80,135,108,14,8
"27",139,46,72,124,27,17
"28",85,38,111,104,27,11
"29",102,38,119,59,9,24
"30",46,1,148,7,0,3
"31",53,16,58,65,9,3
