"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kiss1r.17",0,3.11524267590305,0.515,0.092,0,"19","Kiss1r"
"Hmx3.14",0,7.31438977455006,0.407,0.005,0,"19","Hmx3"
"Ush2a.18",0,3.52729051782706,0.358,0.036,0,"19","Ush2a"
"Hmx2.1",0,6.91783427489537,0.229,0.002,0,"19","Hmx2"
"Rorb.16",0,3.91018123043799,0.209,0.021,0,"19","Rorb"
"Eomes.1",0,6.03540533537056,0.122,0.003,0,"19","Eomes"
"Prlh",0,7.30416245223709,0.119,0.004,0,"19","Prlh"
"Pgr",0,6.58435966846143,0.112,0.002,0,"19","Pgr"
"Prdm13.1",0,6.02875520791269,0.086,0.001,0,"19","Prdm13"
"Zfhx4.18",2.85247431885687e-303,1.86898943863723,0.708,0.216,3.16253827731661e-299,"19","Zfhx4"
"Ar.2",6.81390789016665e-278,4.2005593741061,0.113,0.007,7.55457967782777e-274,"19","Ar"
"Ecel1.18",8.82825601907966e-250,2.38285851830836,0.376,0.078,9.78788744835363e-246,"19","Ecel1"
"Prkd1.19",1.75326564260795e-245,2.20296192906475,0.547,0.16,1.94384561795943e-241,"19","Prkd1"
"Baiap3.18",2.46388160408439e-240,1.8370253769903,0.672,0.232,2.73170553444836e-236,"19","Baiap3"
"Pcdh17.18",1.99249538125993e-225,1.94021559395314,0.816,0.379,2.20907962920288e-221,"19","Pcdh17"
"Npr2.16",4.36245575121519e-222,2.95025134039912,0.287,0.052,4.83665469137228e-218,"19","Npr2"
"Zfhx3.17",1.48007331309377e-219,1.39549123154097,0.701,0.246,1.64095728222707e-215,"19","Zfhx3"
"Trhr.16",2.54532926272024e-205,3.89274197893945,0.302,0.062,2.82200655357793e-201,"19","Trhr"
"Nptx2.17",5.65604298232528e-199,2.98649141204067,0.334,0.076,6.27085485450404e-195,"19","Nptx2"
"Cacna2d1.17",3.39300984608928e-193,2.21058739534875,0.663,0.265,3.76183001635918e-189,"19","Cacna2d1"
"Dscam.18",6.4386303904049e-184,0.252129478790289,0.822,0.371,7.13850951384191e-180,"19","Dscam"
"Vwa5b1.19",2.96854415497421e-183,2.31485149875718,0.328,0.076,3.2912249046199e-179,"19","Vwa5b1"
"Foxg1.18",3.22255634790137e-178,2.00835796167884,0.341,0.082,3.57284822291825e-174,"19","Foxg1"
"Gal.16",8.56010125735026e-170,6.6728928027304,0.228,0.043,9.49058426402423e-166,"19","Gal"
"Insm1.16",1.85317292226969e-158,2.59402126637058,0.232,0.046,2.0546128189204e-154,"19","Insm1"
"Grid1.19",9.78068226957885e-152,1.47746378418894,0.973,0.718,1.08438424322821e-147,"19","Grid1"
"Trpc7.18",5.20598977882347e-145,2.77318143121162,0.238,0.052,5.77188086778158e-141,"19","Trpc7"
"Lrfn5.18",3.6762683536776e-142,1.34102899838962,0.715,0.373,4.07587872372236e-138,"19","Lrfn5"
"Nfix.19",7.73254929037418e-141,-5.25191318818342,0.138,0.542,8.57307739823786e-137,"19","Nfix"
"Fam131c.15",1.36079673963489e-140,3.23492619750129,0.167,0.028,1.5087153452332e-136,"19","Fam131c"
"Id4.19",3.0599963323743e-140,1.84322677505026,0.444,0.154,3.39261793370338e-136,"19","Id4"
"Fxyd6.16",1.35556200488202e-136,1.30744673792196,0.713,0.365,1.5029115948127e-132,"19","Fxyd6"
"Itga3.13",1.23408454324783e-134,2.05873461498339,0.311,0.086,1.36822953309887e-130,"19","Itga3"
"Lrfn3.19",1.65350975712481e-133,1.25799459730349,0.751,0.395,1.83324626772428e-129,"19","Lrfn3"
