"","cluster","mean_continuum_score","se","p_value","issignif","Linearity"
"1",0,0.593749123388021,0.0573542062258164,0.841240949992987,NA,"Intermediate"
"2",1,0.607363625435737,0.097331566592132,0.829610057902342,NA,"Intermediate"
"3",2,0.274180598011499,0.031941051370316,0.444692962979913,NA,"Nonlinear"
"4",3,0.722388960069297,0.104380295180935,0.94621959527912,NA,"Linear"
"5",4,0.597275212206757,0.0797286718367681,0.126574519907107,NA,"Intermediate"
"6",5,0.785908057940784,0.0632582478321598,0.925398812934731,NA,"Linear"
"7",6,0.554880275209634,0.097117258735679,0.973693901511318,NA,"Intermediate"
"8",7,0.638724556382717,0.115583493033566,0.94909559249859,NA,"Intermediate"
"9",8,0.595839056346691,0.110061811599512,0.751605636869786,NA,"Intermediate"
"10",9,0.321893402870522,0.0715907412138014,2.49443770991009e-05,"*","Nonlinear"
"11",10,0.540755668139964,0.10794056044969,0.0780146076718117,NA,"Intermediate"
"12",11,0.419125590799796,0.109459060534143,0.272345962440577,NA,"Intermediate"
"13",12,0.519590911438282,0.0872488322223528,2.09134136401889e-05,"*","Intermediate"
"14",13,0.378706177686732,0.0964607008958438,0.842074278353174,NA,"Intermediate"
"15",14,0.700713958240579,0.0765909807639704,0.746724353898907,NA,"Linear"
"16",15,0.515409249163731,0.125874875869405,0.559967447117458,NA,"Intermediate"
"17",16,0.205819695121924,0.0470530880649528,0.0471257208847604,"*","Nonlinear"
"18",17,0.375193673876344,0.109308430085305,0.978897360665224,NA,"Intermediate"
"19",18,0.439636560434238,0.0514014375642084,0.0356921572388672,"*","Intermediate"
"20",19,0.421737534720816,0.0627430008707412,0.0330761115592422,"*","Intermediate"
"21",20,0.693463024389038,0.0744766671326355,0.142923804002514,NA,"Linear"
"22",21,0.564965444145995,0.0774173238215501,0.0565120753720484,NA,"Intermediate"
"23",22,0.586081579583599,0.0437062340964052,0.470290816649563,NA,"Intermediate"
"24",23,0.717038885703858,0.0791232668248364,0.0278072581653929,"*","Linear"
"25",24,0.547483668931734,0.0784874819712285,0.00272435192422649,"*","Intermediate"
"26",25,0.371662759708168,0.0543453292471212,0.0342441535525325,"*","Intermediate"
"27",26,0.507871973611473,0.0505655771774259,0.0105315852206482,"*","Intermediate"
"28",27,0.387738888897127,0.0748831215983575,0.571583976880816,NA,"Intermediate"
"29",28,0.195017159965035,0.0827186762459688,0.0146957556258769,"*","Nonlinear"
"30",29,0.899751201614542,0.0465176207995706,0.940832091928505,NA,"Linear"
"31",30,0.616901546719883,0.0862044364260292,0.877520837786822,NA,"Intermediate"
"32",31,0.398214974073542,0.101002137687423,0.800135866145262,NA,"Intermediate"
