"","individual","Status","pcdh17","vps54","fras1","LOC111589160","dennd4c"
"1","A12D","E",0.213141808593531,0.0410222701783635,0.722426972255277,0.030226326817966,0
"2","A22D","D",0,0,0.914363283353321,0.128587945526258,0
"3","A25D","D",0,0.0637630053434245,0.78301509410336,0.313519658886849,0.0408281339405081
"4","B21F","F",0.0476307313699901,0.216714621695376,0.71276576615804,0.171220067221024,0.247895590161162
"5","B21M","M",0.159689532458562,0.0434960585059608,0.413187085386695,0.0783772039779074,0.0585731222509678
"6","B23F","F",0.128246098224417,0.328612247376499,0.811316083580146,0.119431820951002,0.196700061679335
"7","B23M","M",0.26709588828731,0.061953431818161,0.612271126906684,0,0
"8","C13F","F",0.0480067513298179,0.295920975831825,0.85807732373607,0.0408037202556611,0.132922049610544
"9","C13M","M",0.119813271984683,0.0428322358597091,0.313769739277155,0,0.0428322358597091
"10","C14F","F",0.0688961074946564,0.0711239817143338,1.07985708096509,0.241052997570589,0.122084875754301
"11","C14M","M",0.0736770426061149,0.0715286218251412,0.0573330081400154,0,0
"12","C15F","F",0.0776096500551184,0.0847489713827377,0.856225348856617,0.160857578203324,0.194866355340378
"13","C15M","M",0.277278388256148,0,0.406419803808043,0.10591265131098,0.0866727100193799
"14","C21D","D",0.141505201992578,0.090789747288159,0.487784057180574,0.369850978429489,0.0977486272706799
"15","D4F","F",0,0.218138791646424,0.552810949692995,0.0555353479833726,0.111120435976155
"16","D4M","M",0.688399813099904,0.0350743993629205,0.756343079376583,0.0921417757358911,0
"17","T11D","E",0.0249803748616471,0.189656125628552,0.297465522364594,0.10586434132302,0.15130814598622
"18","T13D","D",0.217542160749042,0,0.928573170093412,0.179497158589708,0
"19","T14D","D",0.0923760262202467,0.0583272651576572,0.297873975181336,0.430405183135336,0
"20","T17D","NF",0.0994519289575136,0.0961956883768154,0.70012501568921,0.22682020190667,0.107404308405625
"21","T19D","D",0.0207978027238669,0.126732896952081,0.719427822590065,0.219154847803229,0.0553036693925871
"22","T5D","D",0.0814630388351673,0.0300808241087422,0.816541732742332,0.197900120603336,0
