"","individual","Status","slit3","shisa9a"
"1","A12D","E",0.0918750003100101,0.259322148358533
"2","A22D","D",0.185540966893597,0.792775948040285
"3","A25D","D",0,0.603986445809335
"4","B21F","F",0.876162624599515,0.978059301127372
"5","B21M","M",0.462736998351773,0
"6","B23F","F",0.417559749777312,0.862502298908395
"7","B23M","M",0.276460119210176,0.676150973339868
"8","C13F","F",0.495342782949483,0.33188689142978
"9","C13M","M",0.208030178589021,0.513919957355981
"10","C14F","F",0.259937292904438,0.796869919083467
"11","C14M","M",0.43579797040769,0.550565215771691
"12","C15F","F",0.351574237789712,1.29235089742314
"13","C15M","M",0.382837340299728,0.584789220257514
"14","C21D","D",0.166838306100837,0.895494612938588
"15","D4F","F",0.500411198179834,0.247011253712332
"16","D4M","M",0.192701418494859,0.530405139013613
"17","T11D","E",0.279624545792582,0.637195591460166
"18","T13D","D",0.0868172371859198,0.667643843328818
"19","T14D","D",1.2959954953709,0.844715743896544
"20","T17D","NF",0.327591177324482,0.885147008582058
"21","T19D","D",0,0.423852317188212
"22","T5D","D",0.0642872307380408,0.784275938500039
