"","individual","Status","ncln","micos13","znf362a","caln1","ostn","si:dkeyp-97a10.2","carmil3","acaca","LOC111577954","LOC118470016","rdh10a","zc3h13"
"1","A12D","E",0.116868300541817,0.045921504445208,0.226895406153965,0,0,0.0700645472853048,0.0445635021469293,0.159821224913855,0.0501556707220137,0.355233016578894,0.597447510741387,0.0531770416186344
"2","A22D","D",0.181171862340944,0.0134634681911523,0.176628970690737,0.0343650710190042,0.0252813205747157,0.0556930469112315,0.0130823428035065,0.162818740128849,0.13000902887904,0.107540831997392,0.641568100934569,0.0820108110143677
"3","A25D","D",0.219117767811313,0.0152184896499535,0.0440275388549485,0.0188184035070041,0.0294325161635002,0.0662191295615953,0.0118980844697871,0.0404374248840603,0.0674919239608748,0.18724158289058,0.495336798535859,0.118245111317147
"4","B21F","F",0.107020636866772,0.0608006027117104,0.0700613369895923,0.0407851198375508,0.120139217152622,0.0659971840401003,0.098214174329588,0.147772577785341,0.0432147229319577,0.376009243258438,0.42019834095503,0.0222759866222522
"5","B21M","M",0.196425963271576,0.0687394122357859,0.0980292142877588,0.0296113795898565,0.0174465890337048,0.102659578339257,0.0389379948444841,0.307987623818656,0.175545527429209,0.256786692743795,0.785559931227022,0.131535779563137
"6","B23F","F",0.0774184220705827,0.0701806671429604,0.0931855492619029,0.0351327987603355,0.0408282879778189,0.0298425587462305,0.0491499814532442,0.0905997571707003,0.0326980137460339,0.229601845060843,0.625543517829808,0.043475237879019
"7","B23M","M",0.229583284170594,0.0639898691099897,0.185144673838901,0.0161051966734851,0.0289009217516477,0.160207693957967,0.0598874623669614,0.34999890548319,0.219322955570547,0.185839803524647,0.512025644039655,0.164362896649393
"8","C13F","F",0.0749364937797121,0.0489003707330657,0.012620266200061,0.0593897300309492,0.0611637755490771,0.0703545734318662,0.0585325492778893,0.129925552884924,0.0488405673644405,0.153149815573444,0.261421696016611,0.0758380551746621
"9","C13M","M",0.0679182160227341,0.0159247506537015,0.158094675391706,0.00990965750412799,0,0.127952121104901,0.0737159483414133,0.181172300306384,0.0705796115786936,0.165149564134913,0.630573211576059,0.128569319417634
"10","C14F","F",0.191222239931313,0.072447109167071,0.0995926138772157,0.0369937300203766,0.0673582767910799,0.00627607636061223,0.0413073367744027,0.171946988692199,0.0525564455951224,0.140194966417682,0.655501305783605,0.0991826230180053
"11","C14M","M",0.24511858151987,0.0969436490509018,0.207048283112404,0.0148094268150604,0,0.141830411612812,0.0341739294003884,0.343892126489563,0.131908350784951,0.0834628768490383,0.570665528210352,0.213728629680648
"12","C15F","F",0.050849888661567,0.0948563205133149,0.0766881728868398,0.0813685693221894,0.118327774385311,0.062555466865175,0.0637300255368254,0.148392747566458,0.0441161778141271,0.256193832725627,0.294553133311807,0.0135964265282014
"13","C15M","M",0.141878732811693,0,0.124196656329924,0.0244765465486986,0,0.302931454156437,0,0.211242374801188,0.124983432319859,0.136450652869761,0.82911206524234,0.124780899436126
"14","C21D","D",0.240984324914157,0.0239574589216837,0.0654181405077894,0.0201023607196292,0,0.162106372060636,0,0.311151126285883,0.106750071995135,0.0604204953886915,0.767293847852581,0.0745288346212617
"15","D4F","F",0.0740604506834314,0.157039288291994,0.0607496570738534,0.118889036541089,0.0268646438247099,0.071936558809051,0.108007508624168,0.137525099261983,0.0765923043746079,0.190098810729244,0.256344683364412,0.0747172291298398
"16","D4M","M",0.157646203500449,0.0193194436839643,0.176816987930273,0,0,0.0768906897572954,0,0.254017374345014,0.0953694000487036,0.238258184735872,0.814742766103555,0.147130123239704
"17","T11D","E",0.245827059338941,0.0542099632531828,0.0168904216461886,0.0561274757040106,0.0429409708795322,0.0697482305045846,0.0282056161291664,0.251469812520913,0.161129901520278,0.113243705190498,0.607652297756578,0.13299910442701
"18","T13D","D",0.100655806921804,0.0331520067628749,0.248046827063561,0,0,0.155601911400152,0.0424885310543546,0.189380182515989,0.0211456657109386,0.246189470161559,0.604751109924378,0.0635141387812347
"19","T14D","D",0.518607276372772,0,0,0,0.132914898385928,0.172124212577361,0,0.216495311762308,0.161742878869609,0.249982630360922,0.437159370986866,0
"20","T17D","NF",0.0838730352542792,0.053360732789372,0.0501127742635958,0.0212907529664301,0.0272544527033868,0.0964917213219344,0.0222430197012313,0.143818793883664,0.0480100640729676,0.103048533593248,0.644985247197405,0.103276792509138
"21","T19D","D",0.170156327378671,0,0.0771762836123722,0.0144572461241118,0,0.0705919559900113,0.04250669042425,0.138011523415605,0.0949420368851256,0.110554798188146,0.578659240380185,0.111996022229982
"22","T5D","D",0.194632659075877,0.0462103503213561,0.180455235557608,0.0314655897114496,0.0535470699133397,0.185427732723702,0.0151379236126525,0.171219115521316,0.0592287204038827,0.10134732664534,0.743021856416943,0.102800316347215
