"","individual","Status","tcf7l2"
"1","A12D","E",0.105775151082608
"2","A22D","D",0.138610132525882
"3","A25D","D",0.058594219302812
"4","B21F","F",0.181680462871978
"5","B21M","M",0.24151089600624
"6","B23F","F",0.0916644790451343
"7","B23M","M",0.279017438872156
"8","C13F","F",0.0998372224632643
"9","C13M","M",0.161494063118859
"10","C14F","F",0.152195361620882
"11","C14M","M",0.247486432101601
"12","C15F","F",0.0969627245556173
"13","C15M","M",0.351806791002198
"14","C21D","D",0.164670106293127
"15","D4F","F",0.188149815486509
"16","D4M","M",0.481472530730425
"17","T11D","E",0.0357192997505739
"18","T13D","D",0.0349870958499878
"19","T14D","D",0.18384586590914
"20","T17D","NF",0.202941978282767
"21","T19D","D",0.128899940696277
"22","T5D","D",0
