"","individual","Status","grm8b","LOC111584347"
"1","A12D","E",0.213835217699237,0.160534080846161
"2","A22D","D",0.303059014114581,0
"3","A25D","D",0.474543429080754,0.0732473899469255
"4","B21F","F",0.466250014092212,0.0911610882734145
"5","B21M","M",0.238194090578111,0
"6","B23F","F",0.742689302532846,0.0821741568729216
"7","B23M","M",0.0504714014734679,0.132234782099668
"8","C13F","F",0.586674090540322,0.158294903138472
"9","C13M","M",0.261325801940137,0.018303932834286
"10","C14F","F",0.631356111721945,0.147373802592828
"11","C14M","M",0.356830584744105,0.0734789154949533
"12","C15F","F",0.770486613258905,0.138216851887426
"13","C15M","M",0.225571526522565,0.131190768156898
"14","C21D","D",0.355203866557078,0
"15","D4F","F",0.377903462200197,0.0798760060027098
"16","D4M","M",0.164698629257635,0.119545855755338
"17","T11D","E",0.326641005336567,0
"18","T13D","D",0.179642482092553,0.0740788944045085
"19","T14D","D",0,0
"20","T17D","NF",0.338359759573149,0.131113551702814
"21","T19D","D",0.198834713805176,0.076583253558147
"22","T5D","D",0.478030628839492,0.0819354346814995
