"","individual","Status","cpne2"
"1","A12D","E",0.143138187357292
"2","A22D","D",0.532417499819924
"3","A25D","D",0.382407654840821
"4","B21F","F",0
"5","B21M","M",0.227259328257625
"6","B23F","F",0.301629897744889
"7","B23M","M",0.267588907926092
"8","C13F","F",0
"9","C13M","M",0.338038240160051
"10","C14F","F",0.455035393963525
"11","C14M","M",0.523477267362015
"12","C15F","F",0
"13","C15M","M",0.640970052816231
"14","C21D","D",0.120433157013775
"15","D4F","F",0.0951861816441098
"16","D4M","M",0.547233908912927
"17","T11D","E",0.212694817590473
"18","T13D","D",0.626941839541124
"19","T14D","D",0.0858773668079634
"20","T17D","NF",0.564098792606808
"21","T19D","D",0.348289402051475
"22","T5D","D",0.596621671486822
