"","individual","Status","hspa4a","slc4a11"
"1","A12D","E",0.0705388642719448,0.931002909597519
"2","A22D","D",0,1.52901604965628
"3","A25D","D",0.140969546320487,1.17372699176165
"4","B21F","F",0,1.6813436766407
"5","B21M","M",0.346784952455023,1.79443424592389
"6","B23F","F",0.73042422034918,2.03873789135972
"7","B23M","M",0.211682060085398,0.653391102423773
"8","C13F","F",0.0598771468003734,1.91112169083766
"9","C13M","M",0.182654090029047,1.21015100517502
"10","C14F","F",0.106544853502254,1.13191085024439
"11","C14M","M",0.0570065977259801,0.57528685968472
"12","C15F","F",0.369905925687945,1.05846864973427
"13","C15M","M",0.235254623778697,0.793427614278417
"14","C21D","D",0.384537136790944,1.26234434777562
"15","D4F","F",0.2237672826434,1.29003840969828
"16","D4M","M",0.0710734457036512,1.57185306036058
"17","T11D","E",0.0979017824621656,0.894305414417822
"18","T13D","D",0,0.74321703959761
"19","T14D","D",0.112138866967192,0.594980934149699
"20","T17D","NF",0.212336770389062,0.971204030534721
"21","T19D","D",0.146795372435949,1.15437487506017
"22","T5D","D",0.111095420097147,0.86805716598044
