"","individual","Status","kif5ab","pdlim5a","LOC129349487","efna2a","chst11","LOC129348286"
"1","A12D","E",0.276490511355043,0.24864927947167,0.187750627732839,0.016637497951626,0.0601522946176707,0.136360199127285
"2","A22D","D",0.432288150333605,0.147152467844942,0.0221316469879561,0.0385839014306797,0.189127896369499,0.171434880945576
"3","A25D","D",0.480351488817478,0.15178519195945,0.0575160493100403,0.029990746542891,0.167628964902028,0.132677782833762
"4","B21F","F",0.211399365165191,0.340611233676477,0.212421631118789,0.0964749442333461,0.112813209034538,0.207698362251845
"5","B21M","M",0.417954768973683,0.238848113471727,0.117340591059222,0.0984178810349089,0.198422482418966,0.161071778366499
"6","B23F","F",0.203113372502085,0.449566174556097,0.126717681818588,0.0819724323966467,0.0782559400968956,0.282429039848407
"7","B23M","M",0.325393009023009,0.345031706382472,0.182929839902524,0.0121100523381019,0.0813791062181082,0.0982528501372886
"8","C13F","F",0.134543480090105,0.223223337743601,0.0680071605585642,0.140114926161743,0.106493866986959,0.336617058475757
"9","C13M","M",0.22734874867822,0.250342524937214,0.106107191097326,0.03737365053182,0.0815022027792422,0.0408587390845875
"10","C14F","F",0.246932963281409,0.320134761954376,0.0928852751729169,0.124098437701388,0.0781816255751791,0.179268632963248
"11","C14M","M",0.295109959777122,0.0981484806986122,0.09757698231553,0.069721177485108,0.0501648444717812,0.0366783401003789
"12","C15F","F",0.357910442670044,0.170770956531184,0.157271276108438,0.114737028108504,0.162807017048101,0.422879876510474
"13","C15M","M",0.336276420792328,0.0965693000486444,0.0278716718522895,0.0385807587302184,0.0146375986821845,0.127699786964984
"14","C21D","D",0.400438430113727,0.0460558059245136,0.0848399716419484,0.122592423184738,0.17742580115051,0.030756328869087
"15","D4F","F",0.120991377729662,0.231544280244812,0.100525635122674,0.0484857508464146,0.0898337749128302,0.212747129250537
"16","D4M","M",0.207963474027595,0.172474271454889,0.195297664523576,0.0118820916342808,0.0552400845446648,0.139214593161505
"17","T11D","E",0.392065063088661,0.367897026626366,0.165187238955885,0.038454109653785,0.132087939628178,0.0890943247615851
"18","T13D","D",0.34104060416825,0.151420918676176,0.0342983092565967,0.031023995887469,0.189840611357638,0.243291041294962
"19","T17D","NF",0.317574004186233,0.235995054237071,0.0969229651635032,0,0.0460175782868826,0.0730967715590883
"20","T19D","D",0.325226827277124,0.086945801613227,0.0223813820232441,0,0.11713809364683,0.0198930447837222
"21","T5D","D",0.18292546645406,0.207557144143902,0.102608721957939,0,0.123950085925909,0.334932739800343
