"","individual","Status","LOC129349321","ostn","carmil3","LOC118471098","cacng5b","LOC118470016","rdh10a"
"1","A12D","E",0.14920613355436,0,0.0445635021469293,0.173736068992431,0.223760916759577,0.355233016578894,0.597447510741387
"2","A22D","D",0.0600302112233711,0.0252813205747157,0.0130823428035065,0.0283178779171331,0.485643945299453,0.107540831997392,0.641568100934569
"3","A25D","D",0.0980351289664387,0.0294325161635002,0.0118980844697871,0.192660199492394,0.296649837942806,0.18724158289058,0.495336798535859
"4","B21F","F",0.128364943334717,0.120139217152622,0.098214174329588,0.248085428513995,0.191346499422714,0.376009243258438,0.42019834095503
"5","B21M","M",0.0562203085018711,0.0174465890337048,0.0389379948444841,0.320844518639547,0.309199977899024,0.256786692743795,0.785559931227022
"6","B23F","F",0.0780594355143033,0.0408282879778189,0.0491499814532442,0.432468157257868,0.209615212889816,0.229601845060843,0.625543517829808
"7","B23M","M",0.0711607577242858,0.0289009217516477,0.0598874623669614,0.354929762572917,0.274274295070157,0.185839803524647,0.512025644039655
"8","C13F","F",0.136206106304243,0.0611637755490771,0.0585325492778893,0.228280757008136,0.182893418250054,0.153149815573444,0.261421696016611
"9","C13M","M",0.142097706925355,0,0.0737159483414133,0.2381392245034,0.21461937437747,0.165149564134913,0.630573211576059
"10","C14F","F",0.219011733961329,0.0673582767910799,0.0413073367744027,0.35608643741179,0.302624493534129,0.140194966417682,0.655501305783605
"11","C14M","M",0.0525329725412308,0,0.0341739294003884,0.300996464005318,0.316869109868753,0.0834628768490383,0.570665528210352
"12","C15F","F",0.123503529551832,0.118327774385311,0.0637300255368254,0.16611110095741,0.165808772368526,0.256193832725627,0.294553133311807
"13","C15M","M",0.123068947080803,0,0,0.235895430388512,0.190987811911598,0.136450652869761,0.82911206524234
"14","C21D","D",0.0181912809789438,0,0,0.125228184996737,0.433730114833758,0.0604204953886915,0.767293847852581
"15","D4F","F",0.0726002166744224,0.0268646438247099,0.108007508624168,0.264180327117326,0.190921045170851,0.190098810729244,0.256344683364412
"16","D4M","M",0.0801602588773928,0,0,0.390059790454698,0.290043176959846,0.238258184735872,0.814742766103555
"17","T11D","E",0.429390752228838,0.0429409708795322,0.0282056161291664,0.366732073744043,0.311064369880677,0.113243705190498,0.607652297756578
"18","T13D","D",0,0,0.0424885310543546,0.165837661809758,0.523011522692315,0.246189470161559,0.604751109924378
"19","T14D","D",0,0.132914898385928,0,0.424984716916475,0.682482663232855,0.249982630360922,0.437159370986866
"20","T17D","NF",0.0434093887172085,0.0272544527033868,0.0222430197012313,0.0938988949054717,0.422025027436465,0.103048533593248,0.644985247197405
"21","T19D","D",0,0,0.04250669042425,0.20304471460008,0.317908034708425,0.110554798188146,0.578659240380185
"22","T5D","D",0.053273081047822,0.0535470699133397,0.0151379236126525,0.150422312133695,0.255065036371915,0.10134732664534,0.743021856416943
