"","individual","Status","dync1li2","shc2","LOC111568755","LOC111567884","LOC129348661","LOC111568891","LOC111583456","LOC129348769","LOC118469187","LOC111574349","ddr2l","unga","gpat2","LOC129349178","ywhae1","LOC129349297","LOC111572069","LOC118471263","lig1","slc35f1","LOC129350154","LOC111563592","apool","gpx3","LOC111582645","LOC111564926","chrac1","LOC111565980","hs3st3b1b","shisa8b","LOC111588432","LOC118471785","igf2bp1","mrps7","rragd","senp2","LOC111585948","gng2","LOC111565840","tmbim4","hhla2b.1","ppargc1a","cnpy4","LOC111587507","LOC111585988"
"1","A12D","E",0.316830619278207,0.079050141311748,0.864807921528963,0.470440208871666,0.0158126192009329,0.0362079481313188,0.0201500227547075,0.00537163080356413,0.0143524633825766,0.0738315676383334,0.00526404086714419,0.00459200221370579,0.0170916936816129,0.0381787159003982,0.284204926261655,0.0289839348222182,1.42762500359887,0.0158632214749402,0.0711222943900356,0.120699471224335,0.0732580529595673,0.0166955238920045,0.116313742616119,0.398329897774698,0.0213490161502234,0.0224686789352742,0.0283370628618658,0.073301542878325,0.101363788762592,0.042993242374213,0.0305406467642136,0.0740696579282959,0.0248316494229919,0.0586618199285851,0.081727251823664,0.118493541051829,0.162275032310141,0.290480461934162,0.285476201035862,0.19524449810005,0.0288867633641645,0.729289609680856,0.0664877464086912,0.0100639021522252,0.067121396136704
"2","A22D","D",0.395747352390216,0.0817478033748903,0.99399647684582,0.466564961523374,0.0341304720190821,0.0650291339938186,0.01254106087033,0.00348372142296452,0.00700067875352544,0.131368067908651,0.0039910314016453,0,0.0365935232010282,0.0266283863939231,0.370462756974596,0.0270919541651048,1.60020714872785,0.0182370390966308,0.0636064150206524,0.113889654530878,0.0226832758283578,0.0252590517349675,0.122139795336033,0.50433835525435,0.00383823921528242,0.0164021349333147,0.0368188265765633,0.136827607146681,0.0767411100949361,0.0660654336797927,0.0521991392472868,0.063769769558481,0.0570748465607027,0.0579584260868839,0.0442044990503863,0.112584350477745,0.236531873300193,0.337385180991678,0.271469219247715,0.311862006940147,0.0205105841329883,0.847998491291017,0.0925167319909771,0.00572653043554392,0.0224121942073085
"3","A25D","D",0.384905082496233,0.139932442862362,0.902050980718757,0.375223676502038,0.00410183550695209,0.0367866399668307,0.0177773551548461,0.0102669926610677,0.0147256729875642,0.147444142153683,0.00802424080922534,0,0.0261302459161891,0.0607988189591113,0.47058879014871,0.0189453497386531,1.81174528146639,0.0121199371637755,0.0662887570545285,0.10415362046865,0.0278186743077546,0.0209447621812227,0.127144344700304,0.372541206748208,0.0138715960016319,0.0188389485226025,0.0209987596259249,0.15785505258592,0.144482429914836,0.0805016781506186,0.0444057881038334,0.107649972535185,0.0292000365359394,0.0828407706066366,0.0552181694626769,0.108443455214771,0.226435098762277,0.361707900109116,0.356721341809638,0.267093256711774,0.0271942699710742,0.936032336809952,0.0845750847670825,0.0146211992781907,0.0174674013184732
"4","B21F","F",0.446907080228494,0.144848742400874,1.19608384534504,0.419959420944132,0.0182263592969861,0.123029229972953,0.0312054420929462,0.00765826691740329,0.016665838187901,0.205933267961692,0.00283756052486427,0.00935966128159653,0.0487806104928703,0.027136134098,0.367704383737325,0.0420444577822893,1.48740343233704,0.0127767767867241,0.0916795850280554,0.140693806621363,0.0610554223012303,0.00933738811722993,0.131351550634869,0.65586275418183,0.0503327269969182,0.0303587894526526,0.0751753641431171,0.0452112458378112,0.134741861720957,0.050108552860592,0.0521263832123681,0.052662180329864,0.0178195879992217,0.0388572020409953,0.0832365032446468,0.143173156667283,0.226364602799632,0.282613959084717,0.21954868562691,0.346890526867779,0.00834236795493185,0.715622996255844,0.0337840812738973,0.00334902125948167,0.010353102151657
"5","B21M","M",0.387527796444107,0.116559391345514,0.923657406593063,0.539934087002963,0.0229336647079699,0.0541385177532426,0.0382322999045642,0.0196734017739357,0,0.176342056106367,0.0137591971119411,0,0.0345339903033992,0.0547284060124403,0.450263523248081,0.0266550358315774,1.54201285142671,0.0166485277454987,0.120924905387367,0.129461533291367,0.0498515520909239,0.0213631172129668,0.120160413586579,0.45301891495689,0.00609408300946972,0.0069188475094594,0.0305495807366119,0.0782137261384367,0.074500327529347,0.0757134872328887,0.0117379699955292,0.075574128702949,0.0858782169230813,0.0601357860889499,0.0423515489536094,0.0869623155917513,0.246004034834937,0.369172444489022,0.446872496800069,0.261646261230514,0.0344959868443298,0.777393855673533,0.0507091848540298,0.0309331292334865,0.0014462358755808
"6","B23F","F",0.467211560715382,0.175107695948416,1.06926870260812,0.524625691048615,0.0451842299144912,0.130912354542901,0.0330005049798015,0.0158282680677561,0.0203964117693642,0.145740483476421,0,0.0215245065953229,0.0408389380056991,0.0171771763841131,0.227884403107799,0.0324292271602184,1.40700970071832,0.0136792418759461,0.0993631058072935,0.220664265355635,0.0430460905214662,0.0156383339961494,0.155594454384994,0.554960395409457,0.0711105575619457,0.0140876018454028,0.0599246680346882,0.0646807504893866,0.0854414315459022,0.0301134075869668,0.033694606923076,0.0414253432931479,0.00370748808088498,0.0277184269712213,0.10846003841066,0.137415836872839,0.209582673897635,0.322452180598324,0.324303831476713,0.273337689036351,0.0139466642088144,0.791820154386767,0.0319487878111288,0.00561821546553177,0.0215544910382057
"7","B23M","M",0.41619383375601,0.0679082365041288,0.940995287251569,0.515451990230237,0.0179419208797658,0.0632798799986708,0.0274761116737192,0.0455299229885967,0,0.139033464911545,0.0108400535592292,0,0.0427995512660958,0.0694937645854939,0.462382183731778,0.0386726621974167,1.59106194955152,0.0381156460389258,0.08813004986388,0.12193154357768,0.0822205097332342,0.0193921522802334,0.108567244394355,0.463560326292259,0.0353139819157738,0.0157785838346679,0.0431528326602892,0.166026618988717,0.0799122431038552,0.110429901473631,0.0279438056189231,0.0619328674526864,0.0368251311506095,0.0452421711719791,0.0976421761982606,0.111721243820786,0.339291713170268,0.490843650115723,0.4738477369906,0.293743912852704,0.0461345350168866,0.794102803059575,0.0354407999620426,0,0.0190065339437907
"8","C13F","F",0.465304558880958,0.139754021807334,1.08920444247186,0.468830495819966,0.049006936685715,0.108335623766914,0.0122103966247998,0.00222115730824698,0.011027754134157,0.100893974282659,0.00241263018631357,0.00329009216025907,0.0240596275034711,0.0426454530858472,0.256741473702028,0.0394068022355891,1.28204442515422,0.00317146849831794,0.0944852212278718,0.115506090306621,0.0588979243397061,0.00373638273922535,0.148075722738971,0.451161311380029,0.0333985431826275,0.0283615186855891,0.0448539505221803,0.0402209438635187,0.103821141594865,0.0477228006058955,0.0480522038581033,0.0483021424111681,0.0151850907472405,0.0149947076385658,0.104435504860982,0.180207665458108,0.197088678128196,0.286090969633255,0.278553272208544,0.266747915748958,0.0143268990711975,0.70531599768287,0.0805642979548595,0.00205157488013856,0.0495071797797934
"9","C13M","M",0.362946415602502,0.0881305535666023,0.898179265495196,0.531641551830396,0.0107809115216217,0.022144098409161,0.0245164376390556,0.0213499901716923,0.0160414481714012,0.168039173186577,0.00867606486986416,0.00701625208894001,0.0165791461832012,0.0260555399343321,0.385965076226844,0.0272796963133364,1.47904806437917,0.020104138540785,0.0668344748899182,0.0789876480326513,0.0180526150995653,0.0378246075725775,0.0928260983003613,0.445880732093147,0.0174125517351862,0.0164159738522438,0.0264959663172421,0.0970718829862494,0.102629354414227,0.0995004809329719,0.0239225039292624,0.0592862603116468,0.0398604902688004,0.0548617822421449,0.0486027388022335,0.118467556447502,0.225623505594101,0.326349012725341,0.322272769995253,0.294330586348231,0.0230068570092476,0.763964065599511,0.0165012047598074,0.0248879774338921,0.0135537497873825
"10","C14F","F",0.501757745336638,0.139058475367613,1.06656030710483,0.407376558900541,0.0459268291654537,0.0739263712509149,0.0308190447730826,0.0086926765278195,0.0113982120200619,0.135827998443691,0,0.00966704216107321,0.0781736192118122,0.0197882652389985,0.375123027639131,0.0736180736464625,1.49776774078811,0.0197372398304186,0.110507640402851,0.175670597618379,0.044155457389618,0.0103135528986937,0.187609069174025,0.486127692697612,0.0369344003107459,0.027074018431107,0.036852142617673,0.0280352584423882,0.156230865362126,0.0592895749346114,0.0190136510432027,0.0280610255671909,0.0057423096145308,0.0470391584768114,0.123577117478644,0.165328877533926,0.162775575241926,0.279225750925826,0.323736512378282,0.349502787102913,0.016841902810578,0.760835053459398,0.116787208070875,0.0126162454316447,0.0607660521649224
