"","individual","Status","LOC111577946","cmtm7","st18","zic3","spag9b","med15","fsip1","mkln1","LOC111580292"
"1","A12D","E",0.074955590714933,0.0510677031789964,0.0248204718498803,0.739621351049351,0.184104822137516,0.0251902968823401,0,0.126292265949307,0.25455200121281
"2","A22D","D",0,0.0332989440453223,0.0499188234508322,1.16729186611281,0.29234917852397,0.0361078462482679,0,0.245947160305502,0.368335818966201
"3","A25D","D",0,0.117209993824433,0.0323902520013419,0.918359230149325,0.385101616831366,0.0441858247173149,0.0420917507052004,0.105383768025684,0.461752185336928
"4","B21F","F",0.176842703063874,0.06059310308204,0.147706405206216,0.834932803551064,0.42015291466359,0.0156008852391205,0,0.155909188650379,0.406803600975038
"5","B21M","M",0.0859234861283516,0,0.0536367107142245,0.969427653016302,0.279348788656339,0,0.121658566342585,0.108972303099383,0.142063316131329
"6","B23F","F",0.128849281126365,0.0945372691661546,0.12726110881146,0.852792854969437,0.355164209403716,0.221630564605751,0.0398676808582249,0.133518050549952,0.327151804061201
"7","B23M","M",0.247729807235336,0.0282272332102565,0,0.722279333603693,0.202301185873852,0.0914596889019846,0.147815163326104,0.659793562263899,0.189035356356655
"8","C13F","F",0.156018132870812,0.116646445579906,0.134909358827018,0.788656182771035,0.355322754187624,0.14094830129512,0.0763834016992459,0.195940400380556,0.442934119204369
"9","C13M","M",0.186343284192449,0,0.0319741248024111,0.608150468281113,0.0875452640865015,0.0548892421527939,0.136107591044189,0.359464568037094,0.111848775727203
"10","C14F","F",0.0796096647453912,0.108020724613972,0.0524367228461358,1.06411431069316,0.42491690178604,0.133233270776458,0.0473650269734062,0.347895681142727,0.64724609935272
"11","C14M","M",0.212350027613054,0,0.0302563346578416,0.624168106710489,0.22915532794754,0.0302563346578416,0.165591162022341,0.366884175877782,0.113564364969706
"12","C15F","F",0.117046149891328,0.143836633588895,0.0727982459325581,1.12727417352731,0.361981241294295,0.239985532962997,0.0634163423573285,0.177705997735303,0.349006234610981
"13","C15M","M",0.14603278206649,0.0878438080102548,0,0.497487183637184,0.181370914741192,0.0953755967490536,0.0413985507543871,0.372342295063214,0.157964002412426
"14","C21D","D",0.0579345358379066,0.0696445925951138,0.0326206474846086,0.964875805084286,0.58367241719004,0.0533825628219081,0,0.386006561107683,0.728340509098113
"15","D4F","F",0.0380881660806656,0.237030170839171,0.0561449906375572,1.22552616670434,0.59204864035261,0.149948348569914,0.178493290589647,0.36655417298941,0.311277066228197
"16","D4M","M",0.11044185566322,0,0,0.543961292176252,0.261883609523083,0,0.208271229204054,0.244188821489224,0.552431130740213
"17","T11D","E",0.159343621370267,0.0653440837458409,0,0.642151231282283,0.446854320658986,0.0191647980146681,0.0731188910856118,0.133944821668106,0.49266363040357
"18","T13D","D",0,0,0,0.931627586095127,0.321524173782839,0,0,0.240458949808644,0.401713223747767
"19","T14D","D",0.0752160817072513,0.0295733108038128,0.0292457794008854,0.775497374163948,0.57007469968462,0.0763953821529212,0.0377492209295204,0.229163360488793,0.445676783657048
"20","T17D","NF",0.184472779421358,0.0290463222703814,0,1.32561334708368,0.454616875558046,0.10435160259377,0.238528954115192,0.249586775684733,0.267098094841121
"21","T19D","D",0.132466411479635,0.0992422126761704,0.0251941198184394,0.98079622930585,0.547112977298044,0.0292799900226798,0.0337467240629794,0.148686696153604,0.381528856838263
"22","T5D","D",0.125221448665849,0,0.0391414540573796,1.1412599323869,0.344940276109702,0,0.0688134107836374,0.228455996742484,0.523492021779522
