"","individual","Status","ttn.2"
"1","A12D","E",1.05911891904877
"2","A22D","D",1.0974550133294
"3","A25D","D",1.21907661730607
"4","B21F","F",1.60192230709659
"5","B21M","M",1.21620982097383
"6","B23F","F",1.50097236353337
"7","B23M","M",1.22046067558318
"8","C13F","F",1.32107361727335
"9","C13M","M",0.449101044330968
"10","C14F","F",1.52186562166488
"11","C14M","M",1.00998202971428
"12","C15F","F",1.32792037795622
"13","C15M","M",0.643179569436859
"14","C21D","D",0.957867613246567
"15","D4F","F",1.15869424189516
"16","D4M","M",1.05023618864602
"17","T11D","E",1.40215277085563
"18","T13D","D",1.03081195961989
"19","T14D","D",0.890674535982592
"20","T17D","NF",1.03815101587716
"21","T19D","D",1.83235780493836
"22","T5D","D",1.1351833202591
