"","individual","Status","slc6a8","faua"
"1","A12D","E",0.0413220775367613,0.177985828251105
"2","A22D","D",0,0.0789371998337987
"3","A25D","D",0,0.155869143473814
"4","B21F","F",0,0.247639480291166
"5","B21M","M",0.142453373764127,0.455074396862812
"6","B23F","F",0.0390154285881717,0.182777615733843
"7","B23M","M",0.351218722176988,0.674171556743246
"8","C13F","F",0,0.0431753853412182
"9","C13M","M",0.031962922873225,0.221360940524717
"10","C14F","F",0.0964175125796484,0.0472350365559758
"11","C14M","M",0.180673743336669,0.2281630009667
"12","C15F","F",0.100060926815036,0
"13","C15M","M",0.100457845459068,0.435112362434289
"14","C21D","D",0,0.313564476809028
"15","D4F","F",0.0551976730101787,0.0737587496648902
"16","D4M","M",0.0927920769743612,0.407038679625073
"17","T11D","E",0,0.365115446841877
"18","T13D","D",0,1.06607698344743
"19","T14D","D",0.074782531647378,0.332281492377836
"20","T17D","NF",0.097381048190391,0.669911075661584
"21","T19D","D",0,0.197661883242103
"22","T5D","D",0.110462957863825,0.448196498602443
