"","individual","Status","si:ch211-51h4.2","LOC111567884","sdc4","LOC111564475","apoeb","cd74a","adcy2b","LOC111583030","psmb6"
"1","A12D","E",0.187344924762398,0.80315970242035,0.0849783059172209,0.298935180286792,0.0272119739942109,0,0.100121213757335,0,0.0568681029430925
"2","A22D","D",0.472746425208012,0.879314441276309,0.106086298402861,0.334476327691907,0.165958390570033,0,0.165146094431056,0.0303938712689639,0
"3","A25D","D",0.65236812916839,0.393181476839453,0.0930861093139614,0.300879236574504,0.0540964212150183,0,0,0.0456039984850795,0.111602602461788
"4","B21F","F",0.1433624383009,0.9530492335789,0.278771996107523,0.516388527697339,0.195156159726585,0.194253926332945,0,0.0679460349322597,0.10206622702253
"5","B21M","M",0.45132549640275,0.95525342905981,0.0859319791608496,0.397218400280116,0.0587477361084073,0,0.144262927502481,0.229187304063352,0.320571680232976
"6","B23F","F",0.262424873507563,0.51010365789199,0.263830526351381,0.640007012620738,0.0605988073529922,0.0673668181615385,0.154323933540134,0,0
"7","B23M","M",0.150537491845384,1.15917040633051,0.157348689802739,0.276628427374466,0,0,0.520347746710145,0.122504737216062,0.340740284233872
"8","C13F","F",0.293932309070426,0.533196707325992,0.0893523869456773,0.378822333457841,0.145548006219527,0.159852777675919,0.117547713791448,0,0.0276719141927953
"9","C13M","M",0.392482428389862,1.12268952235182,0.02607351010706,0.153273549077775,0,0.0218521536648529,0.203020212817822,0.151518591932946,0.244713397010043
"10","C14F","F",0.247329618955701,1.01646832078002,0.202698731260546,0.559048642624336,0.12650609111149,0.0645826307038462,0.0404999449871434,0.0339466452269313,0.0475153938568604
"11","C14M","M",0.73287818792908,1.64839787565082,0,0.270957221869768,0.144292340801676,0.0600903583618283,0.0704885437108957,0.262691104256087,0.134645650239368
"12","C15F","F",0.330579804066354,0.641186725874787,0.201895512448215,0.756362127886792,0.176096227653119,0.0784593745447116,0.0295339972253755,0,0.0321144299834517
"13","C15M","M",0.519875036606335,1.3778058322342,0.107408932732884,0.171999046852064,0.0392330707917835,0,0.381266140782389,0.154042025231086,0.122112876217862
"14","C21D","D",0.634058511431974,0.700547670849292,0.0692059748270007,0.58636589187492,0.110760490717884,0.0323537347345483,0.152250571961884,0.259502267499186,0.205426520931085
"15","D4F","F",0.257128328610683,0.494591340227468,0.230243215562096,0.580890480742099,0.243583441783968,0.189134599541442,0,0.0960477691854985,0
"16","D4M","M",0.335849578646404,0.654680201002011,0,0.318983611840194,0,0.0803281431161977,0.165114957673895,0.073943171873848,0.270106329648164
"17","T11D","E",0.537795186837366,0.863304487064075,0.226970914871541,0.17808570157327,0,0,0.140989303295724,0.136130338790005,0.0906881780326821
"18","T13D","D",0.612075510836501,0.60605284839445,0.0320872170860697,0.414132335754349,0.0819891338085502,0.110115350694263,0.0215064367167747,0.0618783223188652,0.200226668369294
"19","T14D","D",0.503471262381079,0.861629062589007,0,0.696437074360268,0.131481269643516,0,0.253819297711859,0,0.310803198949236
"20","T17D","NF",0.47432818024507,0.588982931067059,0.178551722143735,0.441723493035105,0.0401713941810848,0,0.12402135222981,0.0418498991968837,0.0786653786823701
"21","T19D","D",0.442075292933464,0.95772254807666,0.180906840877265,0.407454584411255,0,0,0.0495654888380413,0.0341812277762292,0.144070089437579
"22","T5D","D",0.777664983385551,0.683581645192595,0.0478136012462378,0.766617464679747,0,0,0.134430128063107,0,0.236388074681228
