"","individual","Status","lrig1","zgc:92606","LOC111569479","LOC111575390","pcdh1a","exd3","LOC111573495","usp6nl","LOC111587492"
"1","A12D","E",0.350075829941771,0.196176727683296,0.377552661629088,0.0571458773251569,0.666630288132699,0.0503804802833726,0.544061157416834,0.0931326619025207,0.171027076291804
"2","A22D","D",0.203465525640038,0.0900440147083768,0.273763613883759,0,0.628776520863298,0,0.745316926711231,0.123246369793219,0.0985605674402625
"3","A25D","D",0.22670366153781,0.224034366830355,0.182778274729215,0,0.388372477417378,0.0411543757103899,0.715899748253439,0.102003987550923,0.224478449270311
"4","B21F","F",0.590849577874408,0.359739299755581,0.56531766980366,0.161682788397689,0.737526738010422,0.0735081956638638,0.656333883825029,0.433062641842161,0.257229160906319
"5","B21M","M",0.0244551741720399,0.536684469596838,0.243852314258769,0,0.430080412507957,0.0895681095707721,0.197803455228423,0.222879741553005,0.0997885351361753
"6","B23F","F",0.0843770620206252,0.0508357862602792,0.295364578154337,0.282368173795812,0.387786143739061,0.501958075858305,0.0843770620206252,0.249452086476693,0.28616108574991
"7","B23M","M",0.289032530795011,0,0.246073123136469,0,0.626677651934377,0,0.269773893351605,0.353115992729257,0
"8","C13F","F",0.561103438438867,0.234164611536624,0.490237534374997,0.138295327185438,0.664754778190723,0.178316020334439,0.705152068485403,0.33660686996416,0.247574422765521
"9","C13M","M",0.189250721139857,0.673538837814108,0.258741461522371,0.226028937244204,0.348027290839025,0,0.185443460274258,0,0.126844752274851
"10","C14F","F",0.461720588584937,0.217277256970491,0.582821600243257,0.183455200127356,0.80560011398292,0.169595546134689,0.529874935319114,0.181005439138604,0.424367002367872
"11","C14M","M",0.361020787094606,0.479556960049008,0.311127819128255,0.0443386028970475,0.384684117380996,0,0.213422701065536,0.0551706177820637,0.204213811204498
"12","C15F","F",0.501820082469976,0.224598804718876,0.330445380387976,0.0575227918490633,0.803039554158928,0.220472336539829,0.785443917219789,0.228475799467206,0.279239814772976
"13","C15M","M",0.125735427335269,0.368842394326551,0.2393742562024,0.0741351385359641,0.225753615911188,0,0.276130246358948,0.208966960129592,0.0436791532206633
"14","C21D","D",0.33554041257587,0.217487646779117,0.385217278709141,0.0524646564765177,0.834675643329148,0,0.532456496226457,0.12518712783021,0.0557161127117959
"15","D4F","F",0.661810406351978,0.384641515292111,0.47185335722629,0.147983848393241,0.426192996114117,0.0479747766110389,0.564404095114604,0.349238150226844,0.169100815359118
"16","D4M","M",0.32982337501486,0.668661907035946,0.351521274048888,0,0.143987172962584,0,0.426466709745051,0.161352669636918,0.0360741476338024
"17","T11D","E",0.544722161027742,0.49569805563498,0.576699424095202,0.0983135304623497,0.560625158328022,0,0.498789666821776,0.044169882813982,0.0708543563471179
"18","T13D","D",0.488219259435206,0.193110171054287,0.137246422348987,0,0.62217498578368,0.047156772713077,0.450629324456373,0.228170170314406,0.0873640218524023
"19","T14D","D",0.88907164629886,0,0,0,0.88907164629886,0.88907164629886,0.88907164629886,0,0.88907164629886
"20","T17D","NF",0.0716343652034537,0.195755050064392,0.456381080232755,0.115557451960293,0.598484154415833,0.0383981244347996,0.497922487180597,0.0548638283458342,0.169181560436426
"21","T19D","D",0,0.178058522912707,0.224337961222158,0,0.499260586869951,0,0.619376283540874,0,0.103267397364133
"22","T5D","D",0.276481764344073,0.129717553283624,0.367812499501956,0.0776692776566088,0.520477733843723,0.106639574562552,0.510880673140857,0.146577465558005,0
