"","individual","Status","b4galnt4a","cpne2","rtn4rl2b"
"1","A12D","E",0.147313359407082,0.143138187357292,0
"2","A22D","D",0.710306419329384,0.532417499819924,0
"3","A25D","D",0.261847993719192,0.382407654840821,0
"4","B21F","F",0,0,0.37266387654694
"5","B21M","M",0,0.227259328257625,0.234277937203939
"6","B23F","F",0.20180606229767,0.301629897744889,0.223808347401511
"7","B23M","M",0.160576187657784,0.267588907926092,0
"8","C13F","F",0,0,0.187743336882783
"9","C13M","M",0.422211475381192,0.338038240160051,0
"10","C14F","F",0.20887135638331,0.455035393963525,0
"11","C14M","M",0.581939389810522,0.523477267362015,0
"12","C15F","F",0.358973047383219,0,0
"13","C15M","M",0.581500980644782,0.640970052816231,0
"14","C21D","D",0.834705507318313,0.120433157013775,0
"15","D4F","F",0.258155574114456,0.0951861816441098,0.128446918402556
"16","D4M","M",0.428737575849002,0.547233908912927,0.170856261465827
"17","T11D","E",0.141322930660092,0.212694817590473,0.141619348669691
"18","T13D","D",0.595559893841122,0.626941839541124,0
"19","T14D","D",0.0905566380733956,0.0858773668079634,0.0806290718955478
"20","T17D","NF",0.678050100196891,0.564098792606808,0
"21","T19D","D",0.598423285396338,0.348289402051475,0
"22","T5D","D",0.627228581471871,0.596621671486822,0
