"","individual","Status","spns2"
"1","A12D","E",0.497561442423702
"2","A22D","D",0.866501161182801
"3","A25D","D",0.515093880340127
"4","B21M","M",0.278595348289409
"5","B23M","M",1.09596408211978
"6","C13F","F",0.853068964662592
"7","C13M","M",0.445564673424622
"8","C14F","F",0.612803839622508
"9","C14M","M",0.323231743919378
"10","C15F","F",0.716989303407927
"11","C15M","M",0.253825752957174
"12","C21D","D",0.732441717568961
"13","D4F","F",0.499137174574399
"14","D4M","M",0.607865273883993
"15","T11D","E",0.781971429536934
"16","T13D","D",0.562066014927089
"17","T14D","D",0.875066874742287
"18","T17D","NF",0.77198295809209
"19","T19D","D",0.594992097960858
"20","T5D","D",0.748797204365927
