"","individual","Status","pax6b","slc4a11"
"1","A12D","E",0.222674808120118,0.931002909597519
"2","A22D","D",0,1.52901604965628
"3","A25D","D",0,1.17372699176165
"4","B21F","F",0,1.6813436766407
"5","B21M","M",0,1.79443424592389
"6","B23F","F",0,2.03873789135972
"7","B23M","M",0,0.653391102423773
"8","C13F","F",0.293478568366329,1.91112169083766
"9","C13M","M",0,1.21015100517502
"10","C14F","F",0.10008245006867,1.13191085024439
"11","C14M","M",0.0823277349907076,0.57528685968472
"12","C15F","F",0.40696197588082,1.05846864973427
"13","C15M","M",0,0.793427614278417
"14","C21D","D",0.11015971042864,1.26234434777562
"15","D4F","F",0.177212438394152,1.29003840969828
"16","D4M","M",0,1.57185306036058
"17","T11D","E",0.234892097907667,0.894305414417822
"18","T13D","D",0,0.74321703959761
"19","T14D","D",0.0519482556885918,0.594980934149699
"20","T17D","NF",0,0.971204030534721
"21","T19D","D",0.119498923526776,1.15437487506017
"22","T5D","D",0,0.86805716598044
