"","individual","Status","camk2n1a","LOC111567431"
"1","A12D","E",0.330075913162577,0.395746998022168
"2","A22D","D",0.413781049944251,0
"3","A25D","D",0.341505013529262,0.0841098634334844
"4","B21F","F",0.281250573435554,0.324265750564672
"5","B21M","M",0.815822175539049,0.248086601124225
"6","B23F","F",1.62408826255329,0
"7","B23M","M",0,0
"8","C13F","F",0.554666315187132,0.504504097728953
"9","C13M","M",0.527906820444373,0.114073483561941
"10","C14F","F",0.210838097667037,0.896740206631824
"11","C14M","M",0.295445306150142,0.123584777105418
"12","C15F","F",0.600465755900635,0
"13","C15M","M",0.532130112891956,0
"14","C21D","D",0.543108450693593,0.350846718502434
"15","D4F","F",0,0.525265677943132
"16","D4M","M",0.945446831738063,0
"17","T11D","E",0.519074279110283,0
"18","T13D","D",0.577246851279096,0
"19","T14D","D",0,0
"20","T17D","NF",0.930974669274825,0.191247113408402
"21","T19D","D",0.13387854970197,0.164452933035661
"22","T5D","D",1.01811502033292,0.170643484264782
