"","individual","Status","hprt1l","srpk1b","hecw2a","wdr3","zgc:110319","b3galnt2","pik3ap1","mettl9","bhlha15","igf2bp1","dhrs7b","hus1"
"1","A12D","E",0.131977683640333,0.196032456162791,0.294461764043447,0.0797366883260454,0.0674654373657259,0.078380089414919,0.0212022350650913,0.0985229904289532,0.0298888735975065,0.022875530859571,0.0168867774692133,0.0184949969324955
"2","A22D","D",0.151175281766718,0.154655871523351,0.283534448884311,0,0.10775690944097,0.0615000450847739,0.0574248922737426,0.0297025897192796,0.0261696865503741,0.05819250235327,0.0567745649127955,0
"3","A25D","D",0.209501814588465,0.116771152056313,0.327067223987601,0.0497163883801111,0.165764182246279,0.130022557394736,0.0392650222426178,0.0616036603391348,0.0453440501968542,0.0522206714074557,0.0411999023102074,0.0147849380973286
"4","B21F","F",0.323603706283021,0.293202267308533,0.431548241884912,0.0413962467219869,0.152726060083845,0.0524604162552312,0.0385429218772052,0.170565561916278,0.132450462892015,0.00524790489598904,0.0914021572510883,0.0516383453091254
"5","B21M","M",0.208372771199951,0.121935095176352,0.353451801390318,0,0.110125554081585,0.203163832725159,0,0.161170424433768,0.0916861634251667,0.118587291368065,0.0618283792713797,0.0177381759125395
"6","B23F","F",0.193102188125367,0.255347918373915,0.283538133599181,0.107147525590061,0.0901666830773684,0.1644206648874,0.0793615118791434,0.144606452896074,0.0903642626678105,0,0.150526490482529,0.0539308541756054
"7","B23M","M",0.185697983322603,0.284948526100236,0.447385037056184,0.0571797983666404,0.0688028093983199,0.130174906948677,0.0254706149987459,0.11110234375784,0.0322281333518388,0.0940799062389909,0.0769835383564423,0.0163743338003262
"8","C13F","F",0.200608660180676,0.303881316338474,0.372527216229493,0.0405445084664874,0.210239687199101,0.0570621663409006,0.0569402264415409,0.139478684293211,0.115632245776222,0.0100685380180889,0.11493517887319,0.0406598724335681
"9","C13M","M",0.114371486821021,0.18850124566857,0.268243185498963,0.00313246358359214,0.032286220802807,0.110827019126819,0.0373194000259007,0.0949660829254568,0.0503964774809815,0.046008384342944,0.0719137804224457,0.00801500724026456
"10","C14F","F",0.482620860429456,0.339525484156574,0.360321425761127,0.0657108936987374,0.155498585431349,0.120353963263217,0.0267748032743512,0.112242067535536,0.0410609867344394,0,0.117541547987428,0.0364828459438309
"11","C14M","M",0.184829625184515,0.1425804884444,0.249422050907865,0.0102454859978491,0.0658176550649305,0.174771851586505,0.0513149143069235,0.084178099907336,0.0698770413032614,0.0574597556284632,0.0219521181510255,0.0182119859690677
"12","C15F","F",0.199799294898198,0.199100599592318,0.375527942726083,0.0296232737800269,0.117558796567703,0.10932097005177,0.163776197526322,0.0987063838827475,0.10090804651725,0,0.105671454331743,0.0230286379916127
"13","C15M","M",0.184547004026043,0.148401459545071,0.181630769383149,0.0271329223049503,0.0855382600267342,0.142994113359777,0.0187005201020925,0.0781868353874125,0.0305237652643668,0.0398841447186113,0.0126307934076602,0
"14","C21D","D",0.173270816420104,0.196925868811384,0.272371865004551,0.00721491438256199,0.108849120693639,0.103528532565065,0.0324600249333971,0.0817033738956333,0.0474569575107924,0.0915923719589449,0.0319403022443075,0
"15","D4F","F",0.355566817147912,0.324889608710346,0.558349570808833,0.13347993273806,0.190881158564211,0.0970680819167517,0.110876490262787,0.0782639106851616,0.104500209438133,0.0251672797277717,0.0356618553421505,0.0293390012699579
"16","D4M","M",0.123192192991182,0.293444039314004,0.275901719314344,0.0107259637469692,0.0760655673620271,0.136870196276341,0.011756717357893,0.0556522529274412,0.0627511787752716,0.0530645102607512,0.0610072911160116,0.0167939708774198
"17","T11D","E",0.117094014799604,0.268128617346322,0.432485867915235,0.0354041522622156,0.111856225327737,0.127286141362224,0.0518540972314398,0.155464228238367,0.105846755583976,0,0.0131753292927958,0.0512146866443481
"18","T13D","D",0.214105372742122,0.190088452063622,0.271666943508547,0.0393449982852398,0.0720399802166838,0.0743501116001357,0.0424334761289151,0.0515268808549722,0.00870085183917217,0.0394758091621946,0.0541992876932987,0
"19","T14D","D",0.108304641134811,0.23065494781622,0.417725168392263,0.0306481705116767,0.0396691000715197,0.0773223973345706,0.0235259788707373,0.125879054292389,0.0632694240882702,0.0307932490104808,0.0755132296526654,0.0352527184204263
"20","T17D","NF",0.222354340009617,0.144041139239786,0.233329334547452,0.0220603550602688,0.122690673594159,0.135866677005754,0.0267068318531425,0.0998827174557375,0.144328526916502,0.0174542116927809,0.109000997163193,0.00673004719999465
"21","T19D","D",0.0664944748597363,0.266774210445303,0.279733824315791,0.0354752704666045,0.0484772208375044,0.0593006895883062,0.0155593096063872,0.108604113453794,0.0622279470290098,0.048952979956074,0.0187548864624739,0.0102377280677313
"22","T5D","D",0.186702449073455,0.223115111905985,0.229371291937341,0.0248201216010612,0.124101763207724,0.094748202690448,0.0130587605272076,0.126156106385171,0.0751145454601715,0.0233216664561468,0.0578517931309156,0.00769741095669779
