"","individual","Status","LOC111567884","LOC111564031","slc6a11b","kcnd1","st18","shox","mgat4b","rgs12a","vgf"
"1","A12D","E",0.423666941708993,0.1050334592538,0.110198340202915,0.118383436381346,0.0553345170257104,0.348298505069218,0.456464812162824,0.270859815867966,0.178796999350032
"2","A22D","D",0.280621211061304,0.20658438728564,0.267310909882379,0.195399333174226,0.0900144756671472,0.475762032656138,0.56633629088614,0.322094352266204,0.336888852800753
"3","A25D","D",0.153745985879529,0.104660017762967,0.527353821048852,0.258729966417394,0.104348572664041,0.389206767420118,0.599272449095266,0.338538207179628,0.261213140245592
"4","B21F","F",0.425020807298953,0.219280354543804,0.213887066624306,0.0762317036825285,0.116910086376743,0.376282577440153,0.649419102688486,0.269874565715541,0.356866384418845
"5","B21M","M",0.621551561877687,0.145827498188145,0.108040544631272,0.183140776990924,0.0708364854806014,0.327294747353386,0.308021199891226,0.108225468522635,0.491484091740852
"6","B23F","F",0.478804539714213,0.273248080672585,0.188095092545305,0.170798498183454,0.0779494793248972,0.244863032846493,0.413597473968244,0.369952611472959,0.201454835463495
"7","B23M","M",0.730426738851164,0.0785125119633869,0.0927765374618791,0.364209687001586,0.056073815538915,0.306142810988878,0.425691644228017,0.222332887531754,0.48135526331239
"8","C13F","F",0.345564240521852,0.177824178609738,0.174803435777422,0.116256994465369,0.0759144931620699,0.419330871802173,0.524821385279986,0.26889585523845,0.397320068527245
"9","C13M","M",0.368814401592517,0.0423479658463228,0.178907737996399,0.120154836849696,0.134193614745921,0.208300278183153,0.342651964491733,0.161258764302826,0.328562986115314
"10","C14F","F",0.38155368759143,0.244465727140887,0.243867080919991,0.062380394797043,0.111959615893858,0.623735851297554,0.663321806356788,0.367192565557543,0.310448027702274
"11","C14M","M",0.50660454837133,0.146974633462035,0.127291975456612,0.135789439021261,0.0758865675046382,0.24282028572644,0.495886647644827,0.225006956815671,0.558561046219177
"12","C15F","F",0.418174330936138,0.150307924828243,0.255949089758061,0.0392040342053877,0.0581927703367241,0.389308217357018,0.484777513802976,0.237549789470618,0.547843796815086
"13","C15M","M",0.598005528934137,0.120038629574376,0.0945600909848034,0.208417012063168,0.18049324843932,0.258194969830487,0.345486057409561,0.216173335785484,0.564419348859425
"14","C21D","D",0.154706538077131,0.117059016065252,0.287441909994816,0.186689412398406,0.0959656670527549,0.564937718353688,0.64909929660645,0.277141876386797,0.268480914899775
"15","D4F","F",0.325199422984433,0.189936635160174,0.145015106647734,0.1621771261218,0.0337999681909395,0.405626145325279,0.773598117989319,0.282551168768029,0.400890750476679
"16","D4M","M",0.282099598053532,0.127706131126659,0.180313133884678,0.300176798582646,0.140101450417644,0.294808330152789,0.481854023616313,0.164969601069743,0.447932497017318
"17","T11D","E",0.455860955780794,0.195190038619544,0.216139230279244,0.214028106430838,0.0771231073263472,0.646415950782033,0.504475233843793,0.368906038661267,0.416693525804002
"18","T13D","D",0.312268821900411,0.0862020961518091,0.155168389099824,0.180343803422077,0.113608910694266,0.546558024929033,0.504744854590739,0.334307592114146,0.24005030915107
"19","T14D","D",0.449954230485106,0.099619490206854,0.281538549739332,0.307905619577603,0,0.307089963519657,0.508567089335612,0.324473842118464,0.236245499358023
"20","T17D","NF",0.342774270325107,0.133986430673236,0.182628969331159,0.17493788553728,0.107252070850956,0.317280283669204,0.543667861379867,0.300554947680645,0.409026675724201
"21","T19D","D",0.464189011618202,0.149591323382385,0.156776149571625,0.288907858323067,0.103161915941964,0.242066701187532,0.652874693293954,0.261732308105015,0.269916595880035
"22","T5D","D",0.235649819409473,0.153816544737449,0.290851821740684,0.136543656532355,0.0661597779488627,0.571924386709304,0.453191814647574,0.283847775539886,0.408176470125744
