"","individual","Status","trim66","LOC111567996","LOC111576154","ptprfa","ell","zgc:92140","nudt4a","LOC111568896","mxi1","LOC111564250","tacr3a","LOC111562847","pcdh18a","cntn4","LOC111562654","LOC111565100","ca16b","LOC111576659","zmat4a","LOC111576468","si:dkey-178e17.1","serpini1","LOC111562717","pgr","LOC111577100","bcan","LOC111587111","rgs5b","pde1cb","wdfy2","sik1","osbpl6","xpo4","nmbr","chgb","LOC111568069","npy7r","LOC111575683","grm5a","LOC111587180","gabra3","LOC111572204","kcnk9","sdc2","camk2g2","LOC111580719","LOC111567620","LOC111583967","LOC111567440","LOC111566726","LOC111566724","LOC111563870","LOC111584897","cacnb1","LOC111588913","stxbp6","ltk","pim3","LOC111565841","LOC111565832","drd3","LOC111585095","htra3b","LOC111571714"
"1","A12D","E",0.113233541248954,0.0905452537563865,0.2832013552417,0.985781490592963,0.123711228719635,0.164416738191011,0.0351452480385838,0.117681179369006,0.543478430962932,0.333598581717807,0.0163388267598251,0.884055591900718,0.0772307952226224,0.770411286374558,0.0516310656482448,0.137896188935725,0.979617542246945,0.394322447333946,0.0928915808540275,0.0334131477947929,0.0143813108655445,0.861107644954166,0.067891805520573,0.229735246683381,0.0932227352326976,0.117226408870923,0.831635466591199,0.113988666902297,0.20745462917726,0.397285823627675,0.139381040168595,0.318172185349323,0.337012193931143,0.374442844507117,1.30897151216945,0.236455816459218,0,0.071835483974371,0.7827649847579,0.1245056025261,0.932865312824935,0.139892878275844,0.27615612579634,0.213811273528589,0.988423688113152,0.12858397480913,0.071401494968339,0.0581190943972471,0.347193633150402,0.250259059380172,0.138979867672156,0.887492677254659,0.0667851241539437,0.893731252915913,0.698731711435496,0.277650190060924,0.130434825709201,0.0836624761997465,0.049892745722553,0.0564427707473431,0.0466025614449463,0.421819894024602,0.0672751494623756,0.199966966967498
"2","A22D","D",0.0884623768155833,0.0730761815062019,0.168211554624747,1.32510184814983,0.223574106849081,0.203363243935632,0.0982566426664761,0.135513285629628,0.350620971117649,0.150871873818771,0.290995972032024,0.811359676692813,0.445456264087795,0.834010420217801,0,0.140700699914816,0.817471684236757,0.786812921997949,0.113513120182792,0,0,0.736539105724015,0.134659862813526,0.140419827215756,0.0584553415116414,0.254713419878032,0.582405070445134,0.108630000890093,0.0670720375082277,0.25404115929151,0.0537592957292766,0.188846261446721,0.14806500821496,0.358444061082548,1.17867183455954,0.0859205214127853,0.0195805871114944,0.155799466210438,0.359266639304564,0.104837799275985,0.78404774314883,0,0.27194269351422,0.253614362269013,0.81662757722551,0.151124140854368,0.219251894181062,0.504899982497412,0.253649501011436,0.413527624145499,0.052860120025742,1.61703682405094,0.0393922592451115,0.982209930648039,0.427058440350311,0.14491913739301,0.118883709089164,0,0.0214043212183904,0.0424450152606229,0.0637964172742686,0.261078250330453,0,0.179948135169055
"3","A25D","D",0.196265055102998,0.123574004799981,0.330718585694725,1.1793163583266,0.144092763381558,0.380583743252397,0.131775666213314,0.0803618556008661,0.598740558684931,0.239865487722842,0.252567337057256,1.1622688106394,0.387268355437768,0.603967828632744,0.0307492913214965,0.0312240169933598,0.85351058979068,0.697695717373776,0.111952616101924,0.1170452208804,0,0.768904315777961,0.0486408359964584,0,0.0350197381260861,0.341773713638203,0.450661745160628,0.342250278538637,0.274369103639724,0.299235846918498,0.0767192502287162,0.244150266984122,0.433839314891002,0.471297049742483,0.800046235043903,0.0337871555323112,0.00802026510642263,0.041366577278726,0.284261310189093,0.133041921759842,0.810313872522498,0,0.322076681251967,0.152618801091468,1.0065076156501,0.0518890912836288,0.407808374652263,0.27123133412103,0.167877003183799,0.305244907829662,0,1.65697351618362,0.0279989970871032,0.904079091727678,0.567935258975765,0.583718960722773,0.15995449685347,0.109760003048971,0.0230145309247058,0.0704294094343948,0.0997158137523509,0.158319155531365,0,0.0600990999437592
"4","B21F","F",0.312158013789224,0.0579302553194443,0.257238066008396,0.884257661561813,0.121673674232752,0.207810632928277,0.108636375819244,0.149834201468734,0.515448064068773,0.120306958804936,0.0407745768211368,1.40102845305601,0.249799900917639,0.91364896470844,0.10460958037024,0.150809012734932,0.995651551105371,0.435205602330045,0.118672497499469,0.0597640992777653,0.0163261300654265,0.91109470546832,0.0620127521100875,0.318354566059857,0.206013972123982,0.100930179441031,0.692405211279488,0.214655179971469,0.156534824707919,0.696405821614952,0.129003521315246,0.314804128752205,0.246590433737265,0.364800046576015,1.64361864994989,0.121068413585439,0.0362815122922509,0.250662400441972,0.702758450999062,0.0699819094457974,0.743134350317835,0.0434230991238111,0.24766367097713,0.337838584883624,0.898026177378819,0.0857063202596366,0.0295078865449307,0.193886179255658,0.347215084341176,0.430505762840882,0.0771017176211919,0.995595415367037,0.15268844433894,1.0489245361046,0.483872762836207,0.288430396846462,0.254675636794444,0.130916327735577,0.0702622505535656,0.0735882827776954,0.0941099243146512,0.439820663047684,0.0623974256946516,0.25411010631754
"5","B21M","M",0.0420769544898616,0.0795685672138362,0.146265948517613,0.961511112675388,0.226717666187493,0.350113854756025,0,0.0417945143776694,0.613112960205487,0.0994679452803119,0.177295344604148,0.833697712053382,0.220858233284098,0.893448180999021,0.108786846221721,0.239165599637853,0.407866163502304,0.740062916592652,0.263306149383694,0.167709564628462,0,0.977037054881624,0.224467038355468,0.128498541215003,0,0.440080933297078,0.824761837239958,0.0955125699614823,0.214667390268689,0.37972906325027,0.173201456915342,0.129534056333095,0.0622261591384957,0.668563815714134,1.75690014645007,0.133581895662425,0.060096241945669,0.101890756323338,0.561698502723927,0.206774092099895,1.03219539341596,0,0.416647415510378,0.475896789567601,1.20243605321839,0.31921935339532,0.114830169883224,0.163342608052592,0.211271796809484,0.215498825558403,0.0454976916452433,1.62483816021215,0.099354601636493,1.16000776616043,0.462826761494815,0.68669506217374,0.537417461413271,0.114081521849715,0.145075713055159,0.141640532749177,0.0369253991916746,0.422435332147977,0,0.168545110898048
"6","B23F","F",0.219412482939506,0.0215650519183231,0.330632301869229,1.37612127697318,0.0930570093051635,0.215090821856099,0.0237518239378834,0.10810190934521,0.434081772063684,0.254189910305962,0.0791657120676075,1.53509200584379,0.178291560185513,0.921599514466031,0.030899355048614,0.245837643347593,0.815214477913908,0.388529594733557,0.0617162243416759,0.0233670166478801,0,0.924237997333432,0.044043025963008,0.225209681295484,0.269255382929417,0.105609604193701,0.784069880364641,0.129877771184982,0.291839083088508,0.572923046086859,0.0212438327329131,0.309975948378408,0.335393223654506,0.376196737137904,1.90896528142708,0.0986472064736953,0,0.211823282285586,0.97929522477759,0.0770447648237165,0.684767137807106,0.115598067902508,0.221368948275884,0.45879001961827,0.892969424854147,0.110176153603244,0.126854428214916,0.132731991378987,0.353580573104671,0.435013916425463,0.202295242479185,0.855543031241073,0.179959175966189,0.95028930199836,0.704939529731932,0.20154893953254,0.164482265448097,0.102741605604595,0.11772235386229,0.0409934924536187,0.124066815769578,0.382033385739188,0.0415067351578658,0.385779081548569
"7","B23M","M",0.240202947081011,0.107900301675064,0.167079817244164,0.873632788259608,0.189275820060147,0.443198694145817,0.0181906836391351,0.0565971731131137,0.570763581737548,0.0196830490159728,0.352813572528489,0.919898792793516,0.288843772576241,0.774515379502072,0.0314705626103072,0.036033045912439,0.558851248455604,0.443292871847304,0.186223708492978,0.0602122547552257,0.0698158611116509,0.740348758231959,0.18739060652011,0.0374138159872416,0.162375012117959,0.541916739322617,0.602850348854112,0.100394541115856,0.249288742309944,0.390055522489543,0.33489161164144,0.308701471258838,0.197550184981371,0.539455487714472,1.08487349537971,0.0476366663142563,0.0720671490991926,0.153233241288781,0.443653583109043,0.117843969600795,1.11037236802347,0,0.461002702185646,0.352366002674711,0.972797502367221,0.305321655962968,0.258344481177701,0.538968535356238,0.250569463383103,0.259288131255042,0.0489489080973528,1.75352099545014,0.0138235697679223,1.12253249803894,0.549056656622531,0.457096934699432,0.256301398953596,0.267992764302393,0.156804747650612,0.306026359068874,0,0.209887072183819,0.0331126682238982,0.0742928804656495
"8","C13F","F",0.147587611683558,0.0463219275471743,0.341071489596521,1.1159028044348,0.0591179984970708,0.259842507071919,0.0405086406580867,0.154345578434894,0.448700555748429,0.270069228290279,0.0320473873641335,1.28566593575224,0.0889467454935834,0.910865641313268,0.0726214412393695,0.131641802463352,0.766266805746749,0.405353088639346,0.0989388117609675,0,0.0199983382014175,0.754881581804829,0.0602689212793231,0.197287517190544,0.179990410640444,0.0348756775489479,0.770257744548868,0.253224297899047,0.202945441920421,0.592521467446593,0.0415661593583635,0.312729176121259,0.275369986810413,0.361171443919735,1.55884453198178,0.18253894151443,0.0216063007242768,0.162190685593122,0.629418721452622,0,0.56124194306227,0.0936132127642388,0.139639818211156,0.373314053403965,0.819937549851277,0.15820860958339,0.0934750521926001,0.0946724633508727,0.191418542742057,0.321159715663531,0.123604908162073,0.893972366330033,0.070222500678607,0.822301571707914,0.430608066922972,0.111103685267654,0.148053541918518,0.187797962900307,0.0219539195334318,0.0641944255388354,0.143118278467113,0.200561581124841,0.0708430809058707,0.202773685287343
"9","C13M","M",0.097201504406794,0.108336297257599,0.244819073836986,0.523778188532238,0.189929886238114,0.339489359505092,0.0312465060247834,0.0448449941638377,0.489030494257752,0.108284352644174,0.0916139883902233,0.742189133153636,0.28005689840019,0.638209678375437,0.0505317896491214,0.0513292793203759,0.487787354485451,0.480391207961274,0.100039999618075,0.0849817776890813,0.0342121431076764,0.506104422899325,0.301714238142442,0.228075375782325,0.115542141544945,0.0963647201074914,0.748794436643786,0.150531641768217,0.385754785717106,0.282909302959548,0.413812160890905,0.224446114523413,0.171988656018127,0.648281924462667,1.32428867205992,0.0344427905155064,0.0655226824867418,0.0891497147115662,0.506681999670846,0.105489045778943,1.01426226189703,0,0.392432048765093,0.230755357769083,1.16298512565435,0.257827187136726,0.090033866511184,0.271330347825924,0.171836481377364,0.240382241491448,0.0499187225282201,1.15281762239411,0.0716476126447323,1.18260777865048,0.363204182763012,0.454973054858769,0.244011753077088,0.322174977273416,0.024157792702253,0.166820875329885,0.0261493316415156,0.292908613005923,0,0.221058670681162
"10","C14F","F",0.155004787432114,0.0732054741177621,0.368320663687469,0.955768033752293,0.151766829098669,0.289015180905817,0.0368716664009711,0.104878378193066,0.439876482906608,0.200476082345507,0.0821562116027807,1.24671863974296,0.13057040802214,0.783727263943783,0.0908368069453124,0.211156841832908,0.792225944465634,0.371125724169396,0.0710804597625179,0.0225368516027779,0.022503431089107,1.10137739026087,0.147491180090517,0.219386125492339,0.147007469788897,0.0976483225076771,0.620351837169174,0.228351690529586,0.124454076661894,0.603917301682673,0.206905797642379,0.422324722231462,0.290519092641506,0.325181676268901,1.76185398763429,0.257067407384846,0,0.212498674351315,0.9731651874602,0.0800593334577571,0.868560715847289,0.0373453782408973,0.239783571777816,0.451796999258881,0.963505883573767,0.186186039959032,0.043183400575873,0.376321657828668,0.322493644667881,0.418389661205844,0.070992471156304,1.17584323683098,0.101904684084428,1.114687902287,0.495320551682714,0.240410235956359,0.108215464759383,0.157744773546577,0.102288056332787,0.0626930565918733,0.0589751537869161,0.36030724406966,0.0938341160836432,0.358350239532767
