"","individual","Status","ppiab"
"1","A12D","E",0.410381702442393
"2","A22D","D",0.693576327123698
"3","A25D","D",0.644607662539187
"4","B21F","F",0.535749709093076
"5","B21M","M",0.255114882793723
"6","B23F","F",0.373524533997342
"7","B23M","M",0.403495970988532
"8","C13F","F",0.413388214824335
"9","C13M","M",0.417957484239938
"10","C14F","F",0.631361146743104
"11","C14M","M",0.215755224075872
"12","C15F","F",0.529012469368455
"13","C15M","M",0.372449976197518
"14","C21D","D",1.04112268442636
"15","D4F","F",0.765597621995231
"16","D4M","M",0.489897047991652
"17","T11D","E",0.483643959117083
"18","T13D","D",1.05505391263676
"19","T14D","D",0
"20","T17D","NF",0.273595757264048
"21","T19D","D",0.603125622046887
"22","T5D","D",0.859211426154047
