"","individual","Status","znf362a","ostn","carmil3","LOC118470016","rdh10a"
"1","A12D","E",0.226895406153965,0,0.0445635021469293,0.355233016578894,0.597447510741387
"2","A22D","D",0.176628970690737,0.0252813205747157,0.0130823428035065,0.107540831997392,0.641568100934569
"3","A25D","D",0.0440275388549485,0.0294325161635002,0.0118980844697871,0.18724158289058,0.495336798535859
"4","B21F","F",0.0700613369895923,0.120139217152622,0.098214174329588,0.376009243258438,0.42019834095503
"5","B21M","M",0.0980292142877588,0.0174465890337048,0.0389379948444841,0.256786692743795,0.785559931227022
"6","B23F","F",0.0931855492619029,0.0408282879778189,0.0491499814532442,0.229601845060843,0.625543517829808
"7","B23M","M",0.185144673838901,0.0289009217516477,0.0598874623669614,0.185839803524647,0.512025644039655
"8","C13F","F",0.012620266200061,0.0611637755490771,0.0585325492778893,0.153149815573444,0.261421696016611
"9","C13M","M",0.158094675391706,0,0.0737159483414133,0.165149564134913,0.630573211576059
"10","C14F","F",0.0995926138772157,0.0673582767910799,0.0413073367744027,0.140194966417682,0.655501305783605
"11","C14M","M",0.207048283112404,0,0.0341739294003884,0.0834628768490383,0.570665528210352
"12","C15F","F",0.0766881728868398,0.118327774385311,0.0637300255368254,0.256193832725627,0.294553133311807
"13","C15M","M",0.124196656329924,0,0,0.136450652869761,0.82911206524234
"14","C21D","D",0.0654181405077894,0,0,0.0604204953886915,0.767293847852581
"15","D4F","F",0.0607496570738534,0.0268646438247099,0.108007508624168,0.190098810729244,0.256344683364412
"16","D4M","M",0.176816987930273,0,0,0.238258184735872,0.814742766103555
"17","T11D","E",0.0168904216461886,0.0429409708795322,0.0282056161291664,0.113243705190498,0.607652297756578
"18","T13D","D",0.248046827063561,0,0.0424885310543546,0.246189470161559,0.604751109924378
"19","T14D","D",0,0.132914898385928,0,0.249982630360922,0.437159370986866
"20","T17D","NF",0.0501127742635958,0.0272544527033868,0.0222430197012313,0.103048533593248,0.644985247197405
"21","T19D","D",0.0771762836123722,0,0.04250669042425,0.110554798188146,0.578659240380185
"22","T5D","D",0.180455235557608,0.0535470699133397,0.0151379236126525,0.10134732664534,0.743021856416943
