,individual,status,prediction,cluster
0,A12D,E,0.5622758528473822,0
1,A22D,D,0.4404107255051393,0
2,A25D,D,0.2685596670801089,0
3,C21D,D,0.24637814147049103,0
4,T11D,E,0.4656748534645082,0
5,T13D,D,0.44327106756262685,0
6,T14D,D,0.5309999680902872,0
7,T17D,NF,0.19584425368938904,0
8,T19D,D,0.17487836643625207,0
9,T5D,D,0.5129432209540583,0
0,A12D,E,0.24879359542385868,1
1,A22D,D,0.1907688327675159,1
2,A25D,D,0.03997803401422393,1
3,C21D,D,0.08934598472892019,1
4,T11D,E,0.5569534465564365,1
5,T13D,D,0.11008327550003966,1
6,T14D,D,0.1731108359937992,1
7,T17D,NF,0.12385378885335395,1
8,T19D,D,0.1428566791578967,1
9,T5D,D,0.24355017522218836,1
0,A12D,E,0.47213564291401194,2
1,A22D,D,0.5906375551462318,2
2,A25D,D,0.5216115285936246,2
3,C21D,D,0.5370266947124733,2
4,T11D,E,0.41640058800925556,2
5,T13D,D,0.6871354749331249,2
6,T14D,D,0.6355075078317256,2
7,T17D,NF,0.5198891897116723,2
8,T19D,D,0.5031795801070367,2
9,T5D,D,0.6696214943617129,2
0,A12D,E,0.33700711943237305,3
1,A22D,D,0.4555137145661842,3
2,A25D,D,0.5488672011896915,3
3,C21D,D,0.4336377621120402,3
4,T11D,E,0.43334226290785194,3
5,T13D,D,0.41858687874360323,3
6,T14D,D,0.29241829310813683,3
7,T17D,NF,0.4744306656730571,3
8,T19D,D,0.2732509507378184,3
9,T5D,D,0.435464952080707,3
0,A12D,E,0.4733048045895469,4
1,A22D,D,0.3204939053022327,4
2,A25D,D,0.3843987687597673,4
3,C21D,D,0.33119980416983297,4
4,T11D,E,0.3735171083459983,4
5,T13D,D,0.43193829739695316,4
6,T17D,NF,0.3528608730100866,4
7,T19D,D,0.16284627109013836,4
8,T5D,D,0.4812478645043852,4
0,A12D,E,0.44868532896684177,5
1,A22D,D,0.6704010768149112,5
2,A25D,D,0.8792185631991524,5
3,C21D,D,0.7532711661923189,5
4,T11D,E,0.5301699304241516,5
5,T13D,D,0.515728145926057,5
6,T14D,D,0.5533915865731153,5
7,T17D,NF,0.5621605438773042,5
8,T19D,D,0.48244954602619233,5
9,T5D,D,0.6892613920597609,5
0,A12D,E,0.8178541108092048,6
1,A22D,D,0.31576521286654086,6
2,A25D,D,0.14937416974230605,6
3,C21D,D,0.12151699513109628,6
4,T11D,E,0.5659559693823221,6
5,T13D,D,0.2448605398840517,6
6,T14D,D,0.15017055737927246,6
7,T17D,NF,0.8043716869526243,6
8,T19D,D,0.22285149126105017,6
9,T5D,D,0.1563583136660711,6
0,A12D,E,0.48054046816390367,7
1,A22D,D,0.6180185767987794,7
2,A25D,D,0.5949538368307653,7
3,C21D,D,0.7626385959293582,7
4,T11D,E,0.5166792254861536,7
5,T13D,D,0.767580691118611,7
6,T14D,D,0.2915293851059595,7
7,T17D,NF,0.41389373193873835,7
8,T19D,D,0.5750773853858386,7
9,T5D,D,0.6917063858911647,7
0,A12D,E,0.3155952656771912,8
1,A22D,D,0.30784582767051893,8
2,A25D,D,0.5378127261145399,8
3,C21D,D,0.34518366407866713,8
4,T11D,E,0.5665901847107874,8
5,T13D,D,0.2657052044246525,8
6,T14D,D,0.754240365484533,8
7,T17D,NF,0.47727404517879096,8
8,T19D,D,0.44374771906546717,8
9,T5D,D,0.3200763184746565,8
0,A12D,E,0.40187261762752147,9
1,A22D,D,0.3424539668638527,9
2,A25D,D,0.19274249797785223,9
3,C21D,D,0.3765176596929898,9
4,T11D,E,0.7077796471191453,9
5,T13D,D,0.37264312001916833,9
6,T14D,D,0.4573276420775132,9
7,T17D,NF,0.27900645397766677,9
8,T19D,D,0.3393645528203716,9
9,T5D,D,0.4552546907037134,9
0,A12D,E,0.3791093299838309,10
1,A22D,D,0.42983767767745085,10
2,A25D,D,0.4079471328007788,10
3,C21D,D,0.416456719811228,10
4,T11D,E,0.3352785430115282,10
5,T13D,D,0.3198794653409451,10
